,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2731,2829,2037,2438,3241,3047,4370,4501,5512,6096,7269,5003,-,-,-,-
1,Market Cap Growth,-7.16%,-7.16%,-53.38%,-45.82%,-41.20%,-50.02%,-39.88%,-10.03%,-,-,-,-,-,-,-,-
2,Enterprise Value,3215,3476,2893,3182,3984,3761,4917,4866,5877,6235,6979,5050,-,-,-,-
3,Last Close Price,26.10,30.35,21.83,26.13,34.73,32.65,46.83,47.77,59.34,65.62,78.25,53.55,-,-,-,-
4,PE Ratio,261.60,313.46,175.39,-92.67,-,-37.78,-,-,-,49.77,52.03,42.94,-,-,-,-
5,Forward PE,-,38.37,38.37,38.37,38.37,38.37,38.37,38.37,32.74,36.20,-,-,-,-,-,-
6,PS Ratio,1.03,1.24,0.78,0.87,1.10,1.05,1.58,1.59,2.11,2.47,3.18,2.65,-,-,-,-
7,PB Ratio,1.80,2.07,1.54,1.82,2.46,2.37,3.42,3.36,4.16,-,5.51,3.82,-,-,-,-
8,P/TBV Ratio,2.11,2.11,1.57,1.85,2.51,2.42,3.49,3.43,4.24,-,5.63,3.89,-,-,-,-
9,P/FCF Ratio,15.13,15.67,36.90,-,-8.87,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,7.57,7.57,8.54,-,-20.93,-13.94,-,-,-7.97,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.41,1.52,1.11,1.14,1.35,1.29,1.78,1.72,2.24,2.52,3.05,2.67,-,-,-,-
12,EV/EBITDA Ratio,41.67,37.75,30.72,67.68,-,-76.32,-,-,-,36.29,36.95,31.64,-,-,-,-
13,EV/EBIT Ratio,211.81,101.55,74.42,-884.35,-,-39.67,-,-,-,44.25,44.45,38.36,-,-,-,-
14,EV/FCF Ratio,17.81,19.25,52.41,-,-10.91,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.72,0.72,0.73,0.81,0.78,0.82,0.84,0.96,0.43,-,0.28,0.26,0.34,0.34,0.27,0.15
16,Debt / EBITDA Ratio,12.80,7.47,9.49,5.98,-,7.51,-,-,-,-,1.49,1.75,1.57,1.57,1.43,0.57
17,Debt / FCF Ratio,5.47,5.47,17.63,-,-2.80,-,-,-,-,-,-,-,-2.82,-2.44,-,-
18,Asset Turnover,0.74,0.80,0.80,0.97,1.15,1.01,1.01,-,-,1.53,1.15,1.43,1.60,-,-,
19,Inventory Turnover,6.12,5.58,4.82,4.97,6.46,6.78,5.33,4.33,-,-,7.42,6.91,8.68,8.40,-,-
20,Quick Ratio,2.20,2.20,2.04,1.90,2.16,1.92,1.66,1.42,1.15,-,1.56,1.74,1.38,1.38,1.47,-
21,Current Ratio,2.61,2.61,2.66,2.53,2.71,2.50,2.20,2.06,1.82,-,2.27,2.32,1.81,1.81,2.22,-
22,Return on Equity (ROE),0.05%,1.78%,7.51%,-6.77%,0.86%,-9.78%,-10.53%,-,-,13.51%,12.69%,16.56%,17.28%,12.69%,-,
23,Return on Assets (ROA),1.83%,0.40%,2.89%,-2.00%,2.15%,-3.19%,-3.37%,-,-,5.95%,5.95%,5.96%,6.67%,-,-,
24,Return on Capital (ROIC),2.12%,0.47%,3.39%,-2.38%,2.60%,-3.82%,-4.20%,-,-,7.58%,7.79%,8.05%,8.62%,7.77%,-,
25,Return on Capital Employed (ROCE),0.78%,1.77%,2.01%,-0.18%,-,-4.84%,-,-,-,-,11.28%,9.56%,15.56%,11.62%,8.47%,-
26,Earnings Yield,0.33%,0.32%,0.57%,-1.08%,-2.66%,-2.65%,-1.59%,0.16%,1.36%,2.01%,1.92%,2.33%,-,-,-,-
27,FCF Yield,6.61%,6.38%,2.71%,-15.51%,-11.27%,-12.50%,-14.46%,-19.40%,-15.15%,-13.32%,-7.52%,-3.47%,-,-,-,-
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,0.67%,-,-,-,-,-,-,-
29,Payout Ratio,340.92%,2518.39%,45.60%,41.28%,-,347.42%,-,-,-,24.58%,89.25%,6.50%,-,-,-,3.59%
30,Buyback Yield / Dilution,2.28%,1.00%,4.96%,-0.12%,3.27%,-0.71%,-3.24%,-32.33%,-31.63%,-34.31%,-32.85%,-0.14%,-,-,-,-
31,Total Shareholder Return,2.28%,1.00%,4.96%,-0.12%,3.27%,-0.71%,-3.24%,-32.33%,-30.96%,-34.31%,-32.85%,-0.14%,-,-,-,-
