,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Operating Revenue,333.08,257.35,223.7,297.48,249.94,245.09,160.58,236.99,269.79,240.92,157.51,213.3,225.03,193.29,161.6,70.88
1,Other Revenue,-6.38,6.38,-,19.07,-0.35,0.35,-,17,-4.21,4.21,-,5.81,-2.74,1.68,1.07,0.64
2,Revenue,326.7,263.74,223.7,316.55,249.59,245.44,160.58,253.99,265.58,245.13,157.51,219.11,222.29,194.96,162.67,71.52
3,Revenue Growth (YoY),30.89%,7.46%,39.31%,24.63%,-6.02%,0.12%,1.95%,15.92%,19.48%,25.73%,-3.17%,206.38%,-,-,-,-
4,Cost of Revenue,209.92,205.91,166.66,247.33,189.32,218.56,145.77,221.01,220.07,186.72,113.42,184.05,138.55,126.25,103.17,58.77
5,Gross Profit,116.78,57.83,57.05,69.22,60.27,26.88,14.81,32.98,45.51,58.41,44.09,35.07,83.74,68.71,59.5,12.75
6,"Selling, General & Admin",24.48,25.82,22.18,24.12,24.76,24.52,13.67,24.56,25.92,17.53,13.42,18.43,15.7,15.52,11.91,13.57
7,Research & Development,31,27.32,26.18,21.64,25.54,28.89,20.25,20.08,20.89,20.27,15.15,21.31,21.38,18.39,14.18,6.6
8,Other Operating Expenses,1.46,1.27,1.25,1.05,-4.78,-2.98,-15.94,24.9,-9.06,0.12,-8.2,3.81,0.08,-0.57,1.37,0.19
9,Operating Expenses,63.27,56.43,49.67,51.34,46.86,53.09,15.63,70.18,37.31,38.66,19.92,43.64,37.77,33.26,27.39,20.81
10,Operating Income,53.51,1.39,7.38,17.88,13.42,-26.22,-0.82,-37.2,8.2,19.75,24.16,-8.58,45.97,35.46,32.12,-8.07
11,Interest Expense,-3.06,-1.89,-10.46,-3.68,-2.52,-0.5,-6.29,-4.58,-0.64,-2.38,-1.68,-1.22,-0.71,-0.65,-0.56,-0.1
12,Interest & Investment Income,3.04,4.25,9.22,8.31,3.68,7.39,3.68,3.51,0.58,0.04,0.03,0.02,0.01,0.45,0.28,0.18
13,Currency Exchange Gain (Loss),-4.81,4.81,-,1.09,-2.87,2.87,-,6.38,-2.38,2.38,-,-1.18,0.4,-0.45,0.04,0.09
14,Other Non Operating Income (Expenses),2.57,-6.78,4.55,-9.43,1.46,-2.67,1.37,-7.26,6.07,0.73,-0.22,0.34,-0.15,-0.44,0.01,-0.21
15,EBT Excluding Unusual Items,51.25,1.79,10.69,14.17,13.16,-19.13,-2.06,-39.15,11.84,20.53,22.29,-10.62,45.52,34.37,31.89,-8.1
16,Gain (Loss) on Sale of Investments,-0.09,-0.84,0.92,-0.18,0.67,-0.33,-,0.33,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.14,-0.15,-1.07,2.24,0.06,-0,-,-0.01,-,-,-,-,-,-0.06,-,-0.46
18,Asset Writedown,-19.99,2.89,-2.89,9.44,-11,3.05,-3.05,1.72,-1.72,-2.68,2.68,10.3,-10.3,-,-,-
19,Other Unusual Items,0.56,2.65,2,4.82,0.01,-0.01,-,19.36,-0.08,0.08,-,5.6,0.13,-1.59,1.45,0.11
20,Pretax Income,31.87,6.34,9.65,30.5,2.91,-16.42,-5.11,-17.74,10.04,17.92,24.97,5.27,35.35,32.72,33.34,-8.45
21,Income Tax Expense,-0.64,-4.13,-1.33,2.91,-3.62,-7.27,-3.78,-7.07,-1.62,-0.49,1.55,-1.35,2.22,2.13,2.97,-1.26
22,Net Income,32.51,10.47,10.98,27.59,6.53,-9.15,-1.33,-10.67,11.66,18.41,23.42,6.62,33.14,30.59,30.37,-7.19
23,Net Income to Common,32.51,10.47,10.98,27.59,6.53,-9.15,-1.33,-10.67,11.66,18.41,23.42,6.62,33.14,30.59,30.37,-7.19
24,Net Income Growth,398.11%,-,-,-,-44.02%,-,-,-,-64.82%,-39.82%,-22.87%,-,-,-,-,-
25,Shares Outstanding (Basic),69,70,71,89,58,73,67,69,60,53,53,53,53,53,53,51
26,Shares Outstanding (Diluted),69,70,71,89,58,73,67,69,60,53,53,53,53,53,53,51
27,Shares Change (YoY),19.58%,-4.14%,5.96%,27.99%,-2.42%,38.87%,25.19%,31.63%,11.33%,-0.12%,-0.08%,2.27%,-,-,-,-
28,EPS (Basic),0.47,0.15,0.16,0.31,0.11,-0.13,-0.02,-0.15,0.20,0.35,0.44,0.13,0.62,0.58,0.57,-0.14
29,EPS (Diluted),0.47,0.15,0.16,0.31,0.11,-0.13,-0.02,-0.15,0.20,0.35,0.44,0.13,0.62,0.58,0.57,-0.14
30,EPS Growth,316.57%,-,-,-,-42.63%,-,-,-,-68.40%,-39.74%,-22.81%,-,-,-,-,-
31,Free Cash Flow,-61.19,-46.23,-27.22,38.81,13.5,-63.01,-19.62,25.75,-54.9,-67.22,-12.72,0.35,-58.92,-50.46,-14.18,-60.28
32,Free Cash Flow Per Share,-0.88,-0.66,-0.39,0.44,0.23,-0.86,-0.29,0.37,-0.92,-1.28,-0.24,0.01,-1.10,-0.96,-0.27,-1.17
33,Dividend Per Share,-,0.150,-,0.150,-,-,-,0.100,-,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,50.00%,-,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,35.75%,21.93%,25.50%,21.87%,24.15%,10.95%,9.22%,12.99%,17.14%,23.83%,27.99%,16.00%,37.67%,35.24%,36.58%,17.82%
36,Operating Margin,16.38%,0.53%,3.30%,5.65%,5.38%,-10.68%,-0.51%,-14.65%,3.09%,8.06%,15.34%,-3.91%,20.68%,18.19%,19.74%,-11.28%
37,Profit Margin,9.95%,3.97%,4.91%,8.71%,2.61%,-3.73%,-0.83%,-4.20%,4.39%,7.51%,14.87%,3.02%,14.91%,15.69%,18.67%,-10.06%
38,Free Cash Flow Margin,-18.73%,-17.53%,-12.17%,12.26%,5.41%,-25.67%,-12.22%,10.14%,-20.67%,-27.42%,-8.08%,0.16%,-26.50%,-25.88%,-8.72%,-84.28%
39,EBITDA,68.89,18.06,22.75,33.26,24.61,-11.13,10.38,-26,18.38,29.93,34.25,-0.39,54.67,44.16,40.47,-2.65
40,EBITDA Margin,21.09%,6.85%,10.17%,10.51%,9.86%,-4.53%,6.46%,-10.24%,6.92%,12.21%,21.75%,-0.18%,24.59%,22.65%,24.88%,-3.70%
41,D&A For EBITDA,15.38,16.67,15.38,15.38,11.2,15.09,11.2,11.2,10.18,10.18,10.09,8.18,8.7,8.7,8.35,5.42
42,EBIT,53.51,1.39,7.38,17.88,13.42,-26.22,-0.82,-37.2,8.2,19.75,24.16,-8.58,45.97,35.46,32.12,-8.07
43,EBIT Margin,16.38%,0.53%,3.30%,5.65%,5.38%,-10.68%,-0.51%,-14.65%,3.09%,8.06%,15.34%,-3.91%,20.68%,18.19%,19.74%,-11.28%
44,Effective Tax Rate,-,-,-,9.55%,-,-,-,-,-,-,6.21%,-,6.27%,6.52%,8.92%,-
45,Revenue as Reported,326.7,263.74,223.7,316.55,249.59,245.44,160.58,253.99,265.58,245.13,157.51,219.11,222.29,357.64,-,-
