,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Market Capitalization,4256,2961,2615,2402,2943,3014,3585,4148,3650,4060,-,-,-,-,-,-,-
1,Market Cap Growth,-1.76%,-1.76%,-27.07%,-42.08%,-19.38%,-25.76%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4043,2677,2265,1986,2526,2602,3047,3371,2873,4195,-,-,-,-,-,-,-
3,Last Close Price,60.75,41.82,36.77,33.65,41.22,42.22,50.12,57.98,51.03,56.76,-,-,-,-,-,-,-
4,PE Ratio,55.63,36.31,47.06,66.84,124.54,-205.99,-,-,-,67.54,-,-,-,-,-,-,-
5,PS Ratio,4.01,2.62,2.48,2.32,3.03,3.31,3.87,4.48,3.96,4.58,-,-,-,-,-,-,-
6,PB Ratio,2.55,1.78,1.59,1.46,1.79,1.86,2.22,2.55,2.24,2.48,-,-,-,-,-,-,-
7,P/TBV Ratio,1.78,1.78,1.60,1.47,1.79,1.87,2.23,2.56,2.25,2.49,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-97.06,-69.48,-,-,-33.46,-,-,-,-,-,-,-,-
9,P/OCF Ratio,29.55,-,17.79,21.64,39.20,44.18,-,-463.07,781.73,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.58,2.37,2.15,1.92,2.60,2.86,3.29,3.64,3.12,4.73,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,29.36,18.72,22.96,28.58,44.23,-1216.65,-,103.11,-,51.06,-,-,-,-,-,-,-
12,EV/EBIT Ratio,77.22,33.39,56.55,159.47,593.56,-51.19,-,-,-,96.35,-,-,-,-,-,-,-
13,EV/FCF Ratio,-42.19,-,-,-,-83.33,-59.97,-,-,-26.33,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.38,0.38,0.31,0.29,0.29,0.29,0.24,0.18,0.15,0.06,0.37,0.29,0.29,-,-,0.09,0.02
15,Debt / EBITDA Ratio,4.64,2.32,4.80,5.23,2.64,4.84,-,7.02,-,1.36,1.91,1.38,15.32,-,-,0.29,-
16,Debt / FCF Ratio,-,-,-,-,-15.51,-10.98,-,-,-2.26,-,-,-,-1.46,-,-,-,-
17,Asset Turnover,0.51,0.43,0.36,0.51,0.42,0.42,0.28,0.47,0.63,0.80,0.55,-,-,-,-,-,
18,Inventory Turnover,3.34,3.53,3.59,2.90,4.09,2.96,3.29,2.15,3.27,3.34,2.99,2.08,-,-,-,-,-
19,Quick Ratio,1.42,1.42,1.62,1.61,1.70,1.59,1.68,1.88,2.18,2.64,0.65,0.68,0.74,-,-,-,1.32
20,Current Ratio,1.75,1.75,2.02,2.01,2.08,1.96,2.13,2.47,2.83,3.34,1.13,1.22,1.16,-,-,-,2.25
21,Return on Equity (ROE),7.86%,2.55%,2.67%,6.75%,1.61%,-2.26%,-0.33%,-2.61%,4.06%,11.32%,14.88%,-,-,-,-,-,
22,Return on Assets (ROA),5.24%,0.14%,0.75%,1.81%,1.40%,-2.83%,-0.09%,-4.26%,1.21%,4.04%,5.24%,-,-,-,-,-,
23,Return on Capital (ROIC),6.00%,0.16%,0.87%,2.12%,1.64%,-3.34%,-0.11%,-5.15%,1.55%,5.70%,7.42%,-,-,-,-,-,
24,Return on Capital Employed (ROCE),2.98%,4.57%,2.28%,0.71%,0.24%,-3.03%,-,-,-,2.60%,11.65%,14.20%,-,-,-,-,-
25,Earnings Yield,1.92%,2.75%,2.13%,1.50%,0.80%,-0.49%,-0.26%,0.44%,1.17%,1.48%,-,-,-,-,-,-,-
26,FCF Yield,-2.25%,-3.24%,-0.81%,-1.58%,-1.03%,-1.44%,-3.12%,-2.80%,-2.99%,-3.31%,-,-,-,-,-,-,-
27,Dividend Yield,0.24%,-,0.82%,-,0.36%,-,-,-,0.20%,-,-,-,-,-,-,-,-
28,Payout Ratio,33.91%,38.01%,108.77%,19.52%,6.38%,125.60%,-,-,-,48.46%,-,-,-,5.82%,-,-,-
29,Buyback Yield / Dilution,-11.86%,-19.58%,4.14%,-5.96%,-27.99%,2.42%,-38.87%,-25.19%,-31.63%,-11.33%,0.12%,0.08%,-2.27%,-,-,-,-
30,Total Shareholder Return,-11.62%,-19.58%,4.96%,-5.96%,-27.62%,2.42%,-38.87%,-25.19%,-31.43%,-11.33%,0.12%,0.08%,-2.27%,-,-,-,-
