,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,645.05,491.23,524.07,555.04,591.65,803.87,529.62,473.54,514.24,68.96,83.14,84.59,-,-,-,53.63
1,Trading Asset Securities,207.11,300.09,301.09,300.17,300.67,-,300.33,300.33,362.87,38.6,38.6,25,-,-,-,-
2,Cash & Short-Term Investments,852.16,791.32,825.16,855.21,892.32,803.87,829.95,773.87,877.1,107.56,121.74,109.59,-,-,119.18,53.63
3,Cash Growth,-4.50%,-1.56%,-0.58%,10.51%,1.73%,647.39%,581.72%,606.12%,-,-,2.15%,104.36%,-,-,-,-
4,Accounts Receivable,362.65,304.45,278.28,352.51,307.51,296.03,218.26,276.15,291.86,263.92,196.61,253.73,-,-,-,116.5
5,Other Receivables,51.67,44.15,12.17,8.89,17.78,19.3,6.15,6.82,6.92,6.97,8.93,3.86,-,-,-,1.97
6,Receivables,414.32,348.59,290.45,361.4,325.29,315.33,224.41,282.97,298.78,270.9,205.54,257.59,-,-,-,118.48
7,Inventory,245.97,230.2,228.38,231.99,251.22,259.68,271.18,271.32,270.14,256.86,242.94,194.3,-,-,-,112.69
8,Other Current Assets,42.99,46.21,49.74,41.17,34.28,36.86,58.88,46.08,38.15,23.18,18.9,14.77,-,-,-,8.18
9,Total Current Assets,1555,1416,1394,1490,1503,1416,1384,1374,1484,658.5,589.12,576.25,-,-,-,292.98
10,"Property, Plant & Equipment",754.28,698.37,656.51,660.9,616.99,602.35,622.97,592.63,554.36,534.63,528.32,510.2,-,-,-,202.48
11,Long-Term Investments,220.73,220.73,250.73,250.73,240.36,235.56,202.6,198.6,-,-,-,-,-,-,-,-
12,Other Intangible Assets,7.17,7.39,7.61,6.19,5.82,5.8,5.98,5.02,5.2,5.48,5.12,4.85,-,-,-,0.47
13,Long-Term Deferred Tax Assets,38.48,38.31,43.14,42.57,33.22,29.5,23.06,24.9,10.92,9.49,8.8,8.9,-,-,-,5.89
14,Long-Term Deferred Charges,34.01,34.18,37.64,36.77,32.8,34.41,25.94,34.36,23.4,22.62,23.04,-,-,-,-,11.6
15,Other Long-Term Assets,35.03,42.77,51.2,16.68,10.04,14.72,30.28,13.79,39.9,47.66,13.53,36.22,-,-,-,13.49
16,Total Assets,2645,2458,2441,2504,2442,2338,2295,2244,2118,1278,1168,1136,-,-,-,526.92
17,Accounts Payable,250.45,223.27,209.09,273.36,237.1,216.24,281.06,261.92,280.16,280.62,115.39,272.04,-,-,-,65.72
18,Accrued Expenses,29.47,30.88,23.96,30.09,23.36,28.75,23.59,27.07,24.45,34.03,41.06,25.61,-,-,-,16.07
19,Short-Term Debt,506,370,360,300,427.5,290,190,130,80,224,169,170,-,-,-,9.5
20,Current Portion of Long-Term Debt,70.98,31,-,45,-,47.5,-,-,-,11,11,-,-,-,-,-
21,Current Portion of Leases,-,20.18,51.13,20.45,20.04,20.67,20.41,20.73,15.16,3.18,3.33,3.42,-,-,-,-
22,Current Income Taxes Payable,5.71,0.89,4.31,0.48,3.2,0,8.33,-,13.18,1.11,1.64,0.47,-,-,-,1.01
23,Current Unearned Revenue,18.55,12.9,14.27,6.97,17.07,21.56,18.39,10.42,16.76,11.35,6.86,3.58,-,-,-,0.98
24,Other Current Liabilities,9.44,12.84,30.8,39.45,36.71,41.14,19.08,35.23,14.96,15.13,136.34,22.21,-,-,-,37.05
25,Total Current Liabilities,890.6,701.96,693.56,715.81,765,665.86,560.87,485.37,444.67,580.43,484.63,497.32,-,-,-,130.34
26,Long-Term Debt,-,24,-,30,-,-,50,50,-,-,-,-,-,-,-,-
27,Long-Term Leases,62.66,61.86,64.75,74.66,28.61,33.19,30.76,45.89,4.8,4.91,5.45,6.19,-,-,-,-
28,Long-Term Unearned Revenue,25.68,26.81,27.94,26.14,27.21,26.84,27.87,28.91,13.41,13.91,14.38,14.86,-,-,-,4.19
