,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,301.65,240.04,248.21,226.5,437.7,496.87,685.73,262.36,52.39,4.83
1,Short-Term Investments,-,39.13,-,16.73,-,9.53,-,2.56,-,0.98
2,Cash & Short-Term Investments,301.65,279.17,248.21,243.23,437.7,506.39,685.73,264.92,52.39,5.8
3,Cash Growth,21.53%,14.78%,-43.29%,-51.97%,-36.17%,91.15%,1209.00%,4465.98%,411.33%,-68.11%
4,Accounts Receivable,1211,1057,958.37,686.15,562.38,269.64,164.79,69.52,76.67,13.74
5,Other Receivables,6.65,10.61,8,11.86,6.92,5.36,1.35,1.35,-,0.36
6,Receivables,1217,1068,966.37,698.01,569.3,275,166.14,70.87,76.67,14.1
7,Inventory,9.08,4.4,1.71,17.09,-,-,-,-,-,-
8,Prepaid Expenses,173.89,89.29,185.71,97.75,170.32,41.35,62.22,45.39,43.84,3.1
9,Other Current Assets,14.86,14.84,14.35,207.84,-,-,-,-,-,-
10,Total Current Assets,1717,1456,1416,1264,1177,822.74,914.08,381.17,172.9,23
11,"Property, Plant & Equipment",89.58,83.85,64.15,67.27,77.27,49.43,29.11,23.96,25.2,1.4
12,Long-Term Investments,63.25,63.27,61.08,59.69,63.68,48.32,4.66,-,-,-
13,Goodwill,1155,1170,1160,1184,1215,607.3,604.8,603.82,611.67,77.89
14,Other Intangible Assets,418.94,301.8,421.39,218.73,362.06,25.24,77.07,32.78,61.36,3.52
15,Long-Term Deferred Tax Assets,73.99,86.62,91.97,93.79,87.46,83.6,57.3,62.24,36.22,4.27
16,Long-Term Deferred Charges,-,134.89,-,169.33,-,86.21,-,48.37,-,5.85
17,Other Long-Term Assets,203.32,209.73,194.54,203.21,197.14,47.31,2.22,1.19,1.05,0.04
18,Total Assets,3721,3506,3410,3260,3180,1770,1689,1154,908.39,115.95
19,Accounts Payable,465.06,450.88,479.62,279.69,319.78,136.22,49.18,50.96,48.09,5.7
20,Accrued Expenses,-,29.24,-,30.45,-,12.45,-,11.79,-,2.6
21,Current Portion of Long-Term Debt,328.33,135.98,62.24,657.33,-,-,-,-,14.53,1.5
22,Current Portion of Leases,6.67,8.4,10.09,11.5,11.24,9.47,9.87,8.12,7.86,0.75
23,Current Income Taxes Payable,27.19,43.28,21.6,34.61,16.37,20.09,-,-,-,-
24,Current Unearned Revenue,-,3.71,-,4.71,-,2.41,-,0.4,-,0.53
25,Other Current Liabilities,117.25,65.24,150.7,35.93,63.59,10.85,45.7,26.52,101.1,3.18
26,Total Current Liabilities,944.5,736.73,724.25,1054,410.98,191.49,104.75,97.78,171.58,14.25
27,Long-Term Debt,505.74,546.95,484.58,448.24,964.91,-,88.31,238.03,367.18,48.5
28,Long-Term Leases,17.44,5.14,11.23,9.7,14.51,14.79,18.28,14.85,15.44,0.24
29,Long-Term Deferred Tax Liabilities,71.61,77.48,67.83,74.54,27.76,27.54,14.77,14.02,-,-
30,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,17.86
31,Total Liabilities,1539,1366,1288,1587,1418,233.83,226.11,364.67,554.2,80.85
32,Common Stock,0.45,0.44,0.44,0.42,0.42,0.42,0.38,0.36,0.33,0.04
33,Additional Paid-In Capital,1873,1879,-,1406,1414,1414,1258,610.93,221.9,27.19
34,Retained Earnings,12.32,-29.15,-,-21.33,-39.67,-63.33,-17.59,-40.66,-47.09,-15.6
35,Treasury Stock,-2.41,-32.6,-51.07,-79.89,-86.03,-62.44,-14.97,-21.98,-21.82,-2.56
36,Comprehensive Income & Other,111.71,136.67,1993,187.66,215.73,247.26,237.1,240.22,200.87,26.02
37,Total Common Equity,1995,1954,1942,1492,1505,1536,1463,788.87,354.2,35.1
38,Minority Interest,186.52,185.65,179.76,181.19,257.27,-,-,-,-,-
39,Shareholders' Equity,2182,2140,2122,1674,1762,1536,1463,788.87,354.2,35.1
40,Total Liabilities & Equity,3721,3506,3410,3260,3180,1770,1689,1154,908.39,115.95
41,Total Debt,858.17,696.48,568.13,1127,990.66,24.26,116.46,260.99,405.01,50.99
42,Net Cash (Debt),-556.53,-417.3,-319.92,-883.53,-552.95,482.13,569.27,3.93,-352.62,-45.19
43,Net Cash Growth,-,-,-,-,-,12167.86%,-,-,-,-
44,Net Cash Per Share,-0.23,-0.19,-0.13,-0.37,-0.24,0.25,0.29,0.00,-0.20,-0.03
45,Filing Date Shares Outstanding,2272,2229,2210,2089,2086,2092,1917,1801,1685,1668
46,Total Common Shares Outstanding,2272,2229,2210,2089,2086,2092,1917,1801,1685,1668
47,Working Capital,772.41,718.84,692.1,209.71,766.35,631.25,809.33,283.39,1.32,8.75
48,Book Value Per Share,0.88,0.88,0.88,0.71,0.72,0.73,0.76,0.44,0.21,0.02
49,Tangible Book Value,421.25,481.97,360.44,89.32,-72.55,903.79,781.27,152.27,-318.84,-46.31
