,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1101,8700,8480,7984,6745,7158,7131,6911,7709,7256,6915
1,Market Cap Growth,8.97%,8.97%,25.71%,11.54%,-5.41%,3.59%,-7.50%,-4.76%,11.47%,98.61%,77.62%
2,Enterprise Value,1030,9033,8665,8220,7005,7090,6632,6744,7543,7145,6561
3,Last Close Price,0.40,3.16,3.08,2.90,2.45,2.60,2.59,2.51,2.80,2.77,2.64
4,PE Ratio,-,-,-,42.81,21.12,20.09,61.65,72.34,79.83,96.18,572.88
5,PS Ratio,2.39,25.03,13.97,10.51,11.04,11.85,13.81,17.13,15.30,15.44,18.54
6,PB Ratio,0.59,4.63,4.39,3.64,3.14,3.20,3.58,3.70,4.29,5.80,5.55
7,P/TBV Ratio,7.23,7.23,6.83,5.26,4.68,5.26,6.51,7.24,11.69,20.78,23.77
8,P/FCF Ratio,19.47,153.79,31.88,20.88,91.32,-,-23.78,-,-,34.68,99.59
9,P/OCF Ratio,122.93,122.93,31.37,18.82,30.44,36.72,33.17,-271.88,-,33.90,94.88
10,EV/Sales Ratio,2.40,25.99,14.27,10.82,11.46,11.74,12.85,16.71,14.97,15.21,17.59
11,EV/EBITDA Ratio,107.35,-,-,30.98,88.74,31.95,32.68,49.92,33.11,28.65,41.62
12,EV/EBIT Ratio,-,-,-,48.84,-,-,74.69,-,52.54,37.22,47.87
13,EV/FCF Ratio,18.21,159.68,32.57,21.50,94.84,-,-22.12,-,-,34.15,94.48
14,Debt / Equity Ratio,0.01,0.01,0.21,0.21,0.21,0.12,0.06,0.00,0.04,0.06,0.05
15,Debt / FCF Ratio,0.22,0.22,1.52,1.20,6.25,-,-0.37,-,-,0.34,0.92
16,Return on Capital Employed (ROCE),-,-,-,6.84%,-,-,4.35%,-,7.37%,13.36%,8.28%
17,Earnings Yield,-27.79%,-3.52%,-1.90%,2.34%,4.73%,4.98%,1.62%,1.38%,1.25%,1.04%,0.17%
18,FCF Yield,5.14%,0.65%,3.14%,4.79%,1.10%,-0.95%,-4.21%,-5.37%,1.56%,2.88%,1.00%
19,Buyback Yield / Dilution,-,-,-,-,-,-5.38%,-5.48%,-0.10%,1.90%,-0.38%,
20,Total Shareholder Return,-,-,-,-,-,-5.38%,-5.48%,-0.10%,1.90%,-0.38%,
