,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,2.34,20.14,43.85,41.43,104.9,4.17,418.65,177.1,337.08,166.85,Upgrade
1,Trading Asset Securities,-,-,-,-,-,-,-,-,-,0.87,Upgrade
2,Cash & Short-Term Investments,2.34,20.14,43.85,41.43,104.9,4.17,418.65,177.1,337.08,167.72,Upgrade
3,Cash Growth,-94.67%,-51.40%,-58.20%,894.65%,-74.94%,-97.65%,24.20%,5.59%,1208.29%,774.01%,Upgrade
4,Accounts Receivable,33.24,30.03,16.34,39.74,47.78,30.3,29.55,39.57,42.32,40.31,Upgrade
5,Other Receivables,29.68,335.49,448.57,457.94,556.77,121.49,508.98,385.81,232.91,157.59,Upgrade
6,Receivables,65.7,369.19,472.35,505.02,617.39,198.09,584.81,495,328.52,238.88,Upgrade
7,Inventory,16.68,1068,879.12,1265,1320,19.06,1805,1578,1326,30.32,Upgrade
8,Prepaid Expenses,-,53.56,-,38.42,-,-,-,14.97,-,6.27,Upgrade
9,Other Current Assets,-,154.82,170.64,211.64,271.18,3341,-,-,-,-,Upgrade
10,Total Current Assets,84.71,1666,1566,2062,2313,3562,2808,2265,1991,443.19,Upgrade
11,"Property, Plant & Equipment",92.07,95.83,65.98,66.87,74.9,180.65,196.62,203.44,205.21,211.65,Upgrade
12,Long-Term Investments,557.02,530.97,552.84,893.38,1021,609.21,1164,1201,1144,1170,Upgrade
13,Total Assets,733.8,2294,2188,3025,3416,4352,4169,3670,3340,1825,Upgrade
14,Accounts Payable,30.14,59.29,59.54,69.62,105.23,27.51,24.08,21.52,24.26,22.72,Upgrade
15,Accrued Expenses,-,432.24,-,245.43,-,-,-,114.47,-,63.37,Upgrade
16,Short-Term Debt,-,-,-,-,513.78,244.85,240.34,237.66,451.75,4.54,Upgrade
17,Current Portion of Long-Term Debt,77.06,1323,1347,1344,1079,314.03,974.86,1034,973.69,230.62,Upgrade
18,Current Portion of Leases,0.77,1.12,1.07,1.03,1.89,5.97,13.53,10.76,2.85,6.23,Upgrade
19,Current Income Taxes Payable,5.8,139.92,145.19,136.92,140.55,6.08,6.04,6.02,5.77,5.8,Upgrade
20,Current Unearned Revenue,-,171.92,-,176.13,-,-,-,364.76,-,-,Upgrade
21,Other Current Liabilities,74.1,11.75,540.29,19.71,571.51,2654,825.99,13.27,76.12,1.76,Upgrade
22,Total Current Liabilities,187.86,2139,2093,1993,2412,3252,2085,1803,1534,335.03,Upgrade
23,Long-Term Debt,250,21.21,18.61,19.54,24.34,-,740.23,347.66,318.12,89.7,Upgrade
24,Long-Term Leases,-,0.2,0.77,1.31,7.17,0.16,8.56,16.45,0.58,0.74,Upgrade
25,Long-Term Deferred Tax Liabilities,14.06,17.83,18,48.37,51.47,13.71,60.38,77.67,70.63,11.52,Upgrade
26,Total Liabilities,451.92,2179,2130,2062,2495,3266,2894,2245,1924,436.99,Upgrade
27,Common Stock,0.51,0.51,0.51,0.43,0.43,0.43,0.43,0.43,0.43,0.43,Upgrade
28,Additional Paid-In Capital,-,1526,1526,1505,1505,-,1505,1505,1505,1505,Upgrade
29,Retained Earnings,-,-1180,-1175,-480.73,-584.6,-,-318.65,-202.35,-162.55,-148.56,Upgrade
30,Comprehensive Income & Other,281.37,-53.05,-41.78,-50.31,-12.02,1066,58.4,81.17,27.59,31.12,Upgrade
31,Total Common Equity,281.88,293.07,309.48,974.13,908.55,1066,1245,1384,1370,1388,Upgrade
32,Minority Interest,-,-178.02,-251.4,-11.59,12.81,19.75,29.63,40.9,46.38,0.45,Upgrade
33,Shareholders' Equity,281.88,115.05,58.08,962.54,921.36,1086,1275,1425,1417,1388,Upgrade
34,Total Liabilities & Equity,733.8,2294,2188,3025,3416,4352,4169,3670,3340,1825,Upgrade
35,Total Debt,327.83,1346,1367,1366,1626,565,1978,1647,1747,331.82,Upgrade
36,Net Cash (Debt),-325.49,-1326,-1323,-1325,-1521,-560.83,-1559,-1470,-1410,-164.1,Upgrade
37,Net Cash Per Share,-0.03,-0.10,-0.11,-0.12,-0.14,-,-0.15,-0.14,-0.13,-,Upgrade
38,Filing Date Shares Outstanding,12824,12824,12824,10722,10722,10722,10722,10722,10722,10722,Upgrade
39,Total Common Shares Outstanding,12824,12824,12824,10722,10722,10722,10722,10722,10722,10722,Upgrade
40,Working Capital,-103.15,-473.72,-526.76,68.31,-98.83,309.71,723.16,462.57,456.74,108.16,Upgrade
41,Book Value Per Share,0.02,0.02,0.02,0.09,0.08,0.10,0.12,0.13,0.13,0.13,Upgrade
42,Tangible Book Value,281.88,293.07,309.48,974.13,908.55,1066,1245,1384,1370,1388,Upgrade
43,Tangible Book Value Per Share,0.02,0.02,0.02,0.09,0.08,0.10,0.12,0.13,0.13,0.13,Upgrade
44,Land,-,56.64,-,56.61,-,-,-,59.06,-,53.15,Upgrade
45,Machinery,-,90.84,-,91.27,-,-,-,94.63,-,88.75,Upgrade
46,Leasehold Improvements,-,2.1,-,2.1,-,-,-,1.86,-,1.86,Upgrade
