,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Operating Revenue,64.02,63.46,83.79,123.81,745.82,-,44.15,77.04,72.73,-,Upgrade
1,Other Revenue,0.51,0.97,0.28,2.62,0.65,-,2.42,2.44,2.49,-,Upgrade
2,Revenue,64.53,64.43,84.07,126.43,746.48,-,46.57,79.48,75.22,-,Upgrade
3,Revenue Growth (YoY),-23.24%,-49.04%,-88.74%,-,1502.88%,-,-38.08%,-,-26.60%,-,Upgrade
4,Cost of Revenue,50.85,54.18,78.26,75.14,548.34,-,39.77,57.44,52.48,-,Upgrade
5,Gross Profit,13.68,10.25,5.81,51.29,198.13,-,6.8,22.04,22.73,-,Upgrade
6,"Selling, General & Admin",27.54,41.17,33.38,49.57,67.56,-,90.1,57.9,52.33,-,Upgrade
7,Other Operating Expenses,-0.77,-0.88,-0.2,-0.47,-1.73,-,-1.36,-1.47,-4.18,-,Upgrade
8,Operating Expenses,26.77,8.52,33.18,49.1,65.82,-,88.74,90.47,48.15,-,Upgrade
9,Operating Income,-13.08,1.73,-27.37,2.19,132.31,-,-81.93,-68.43,-25.42,-,Upgrade
10,Interest Expense,-7.36,-116.92,-74.73,-54.54,-30.08,-,-16.84,-5.54,-10.28,-,Upgrade
11,Interest & Investment Income,-,5.21,5.29,5.49,9.19,-,-,1.61,-,-,Upgrade
12,Earnings From Equity Investments,-0.36,-45.67,-21.87,-13.49,-24.71,-,-28.3,26.16,-24.92,-,Upgrade
13,Currency Exchange Gain (Loss),-,0.6,0.67,0.64,-,-,-,-,-,-,Upgrade
14,Other Non Operating Income (Expenses),-16.09,36.79,-102.72,-2.48,-,-,-,-,-,-,Upgrade
15,EBT Excluding Unusual Items,-36.88,-118.26,-220.74,-62.19,86.71,-,-127.08,-46.19,-60.62,-,Upgrade
16,Gain (Loss) on Sale of Investments,-,38.37,-327.14,-75.86,-,-,-,0.35,-0.35,-,Upgrade
17,Gain (Loss) on Sale of Assets,-,208.82,-405.27,0.13,-,-,-,-0.8,-0.17,-,Upgrade
18,Asset Writedown,-,-0,-,-0.02,-,-,-,-,-,-,Upgrade
19,Other Unusual Items,-,-68.16,-,250.99,-,-,-,-2.98,42.77,-,Upgrade
20,Pretax Income,-36.88,60.78,-953.15,113.05,86.71,-,-127.08,-49.62,-18.38,-,Upgrade
21,Income Tax Expense,0.07,-0.17,-24.09,33,134.25,-,0,-0.81,-,-,Upgrade
22,Earnings From Continuing Operations,-36.95,60.94,-929.06,80.05,-47.54,-,-127.09,-48.81,-18.38,-,Upgrade
23,Earnings From Discontinued Operations,-52.21,-,-,-,-,-,-,-,-,-,Upgrade
24,Net Income to Company,-89.15,60.94,-929.06,80.05,-47.54,-,-127.09,-48.81,-18.38,-,Upgrade
25,Minority Interest in Earnings,-,-66.08,234.85,23.82,12.8,-,10.78,9.02,4.39,-,Upgrade
26,Net Income,-89.15,-5.14,-694.21,103.87,-34.74,-,-116.31,-39.8,-13.99,-,Upgrade
27,Net Income to Common,-89.15,-5.14,-694.21,103.87,-34.74,-,-116.31,-39.8,-13.99,-,Upgrade
28,Shares Outstanding (Basic),12824,12822,12356,10722,10722,-,10722,10722,10722,-,Upgrade
29,Shares Outstanding (Diluted),12824,12822,12356,10722,10722,-,10722,10722,10722,-,Upgrade
30,Shares Change (YoY),3.79%,19.59%,15.24%,-,-,-,-,-,2.04%,-,Upgrade
31,EPS (Basic),-0.01,-0.00,-0.06,0.01,-0.00,-,-0.01,-0.00,-0.00,-,Upgrade
32,EPS (Diluted),-0.01,-0.00,-0.06,0.01,-0.00,-,-0.01,-0.00,-0.00,-,Upgrade
33,Free Cash Flow,-,-35.2,14.08,-83.16,13.58,-,65.4,73.09,-120.61,-,Upgrade
34,Free Cash Flow Per Share,-,-0.00,0.00,-0.01,0.00,-,0.01,0.01,-0.01,-,Upgrade
35,Operating Margin,-20.27%,2.69%,-32.56%,1.73%,17.72%,-,-175.93%,-86.09%,-33.80%,-,Upgrade
36,Profit Margin,-138.15%,-7.97%,-825.75%,82.15%,-4.65%,-,-249.74%,-50.07%,-18.60%,-,Upgrade
37,Free Cash Flow Margin,-,-54.63%,16.74%,-65.78%,1.82%,-,140.42%,91.96%,-160.35%,-,Upgrade
38,EBITDA,-,3.68,-25.43,-32.13,170.52,-,-62.57,-79.07,23.94,-,Upgrade
39,D&A For EBITDA,-,1.95,1.95,-34.32,38.21,19.36,19.36,-10.64,49.36,-,Upgrade
40,EBIT,-13.08,1.73,-27.37,2.19,132.31,-,-81.93,-68.43,-25.42,-,Upgrade
41,Revenue as Reported,64.53,64.43,84.07,126.43,746.48,-,46.57,79.48,75.22,-,Upgrade
