,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,50.37,71.69,78.46,87.41,75.86,92.31,78.09,98.49,117.45,112.15,72.89,133.19,152.49,121.99,121.94,159.07
1,Other Revenue,-0.23,0.23,-,0.63,-,-,-,0.07,-,-,-,-,-,-,-,-
2,Revenue,50.14,71.92,78.46,88.04,75.86,92.31,78.09,98.56,117.45,112.15,72.89,133.19,152.49,121.99,121.94,159.07
3,Revenue Growth (YoY),-33.91%,-22.08%,0.48%,-10.67%,-35.41%,-17.69%,7.13%,-26.00%,-22.98%,-8.07%,-40.23%,-16.27%,-,-,-,-
4,Cost of Revenue,27.47,43.85,47.49,34.4,22.24,22.01,27.54,28.71,31.53,22.81,9.64,20.53,15.55,12.41,11.93,15.77
5,Gross Profit,22.67,28.08,30.97,53.64,53.63,70.29,50.55,69.86,85.92,89.34,63.25,112.66,136.94,109.58,110.01,143.3
6,"Selling, General & Admin",31.57,29.4,33.35,48.44,51.37,54.12,48.21,60.6,71.75,80.03,60.38,91.88,112.24,86.5,84.16,110.06
7,Research & Development,11.57,3.4,3.02,9.24,2.35,5.56,6.84,13.35,3.83,4.61,4.66,6.71,8.26,4.76,4.34,6.93
8,Other Operating Expenses,0.25,0.61,0.34,0.93,-2.6,-6.75,0.03,12.77,-0.11,-0.49,-7.52,5.89,1.86,1.27,-2.43,29.48
9,Operating Expenses,44.06,33.07,36.79,55.68,51.17,54.83,55.08,86.62,78.4,85.24,56.3,104.78,123.71,92.42,85.89,146.82
10,Operating Income,-21.39,-4.99,-5.82,-2.04,2.46,15.46,-4.54,-16.76,7.52,4.1,6.95,7.88,13.22,17.16,24.11,-3.52
11,Interest Expense,-1.51,-1.35,-1.41,-0.79,-0.82,-0.68,-0.83,-0.33,-0.64,-0.22,-0.17,-0.24,-0.3,-0.35,-0.29,-0.37
12,Interest & Investment Income,3.25,2.84,3.74,3.47,5.32,1.56,3.01,1.17,3.11,2.37,2.65,0.95,0.1,0.07,0.05,0.04
13,Other Non Operating Income (Expenses),-0.01,-0.07,-0.01,0,-0.81,1.01,0.02,0.13,-0.05,-0.24,-0.05,0.37,-0.13,-0.22,-0.09,0.48
14,EBT Excluding Unusual Items,-19.66,-3.58,-3.5,0.65,6.15,17.36,-2.33,-15.79,9.94,6.02,9.38,8.96,12.89,16.66,23.78,-3.36
15,Impairment of Goodwill,0,-0,-,-0,-,-,-,-,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Investments,0.28,0.25,-,0.07,-,-,-,-,-,-,-,-0.2,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.05,-0.02,-,0.06,0.03,-0.01,-,-,0,-0,-,-,0,-0,-,-0.79
18,Asset Writedown,0.46,0,-0,0.77,-0.77,-,-,-0.06,0.07,-0.01,-,0.01,-0.01,0,-0,0.1
