,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,255.4,271.69,326.22,405.27,426.52,476.64,500.49,425.76,534.62,586.4,563.77,610.93,637.38,-,-,104.49
1,Trading Asset Securities,141.53,141.25,187.07,77.57,80,60,60,80,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,396.93,412.94,513.29,482.84,506.52,536.64,560.49,505.76,534.62,586.4,563.77,610.93,637.38,-,104.49,104.49
3,Cash Growth,-21.63%,-23.05%,-8.42%,-4.53%,-5.26%,-8.49%,-0.58%,-17.21%,-16.12%,-,439.53%,484.67%,-,-,-,-
4,Accounts Receivable,96.89,105,83.22,85.51,70.77,69.55,75.4,92.3,93.26,90.15,73.46,100.33,97.05,-,-,104.63
5,Other Receivables,9.7,9.9,13.65,11.2,11.96,9.26,7.69,7.88,33.31,9.35,8.39,2.28,6.15,-,-,3.7
6,Receivables,106.59,114.9,96.87,96.7,82.73,78.81,83.09,100.18,126.57,99.49,81.85,102.6,103.21,-,-,108.33
7,Inventory,60.12,43.82,31.37,33.13,30.43,19.3,21.01,32.77,13.82,18.16,12.04,9.82,7.29,-,-,14.83
8,Prepaid Expenses,-,0.05,-,0.05,-,-,-,0.06,-,-,-,0.06,-,-,-,-
9,Other Current Assets,51.62,39.63,40.84,36.23,57.13,32.2,11.41,8.66,24.44,14.75,34.73,5.64,8.37,-,-,10.81
10,Total Current Assets,615.26,611.34,682.37,648.95,676.81,666.95,676,647.43,699.46,718.8,692.4,729.05,756.25,-,-,238.46
11,"Property, Plant & Equipment",212.22,214.36,209.56,209.8,200.76,104.81,108.29,110.68,109.2,110.38,99.74,103.41,106.19,-,-,112.12
12,Long-Term Investments,170.85,166.21,165.85,155.36,159.85,131.23,120.67,112.62,51,16,16,-,-,-,-,-
13,Goodwill,3.89,3.89,3.88,3.69,3.04,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,33.38,33.66,33.93,34.19,34.58,21.29,21.3,21.24,21.41,21.23,16.74,16.85,16.97,-,-,17.32
15,Long-Term Deferred Tax Assets,1.19,1.21,1.3,1.25,1.42,0.81,0.58,0.78,0.64,0.6,0.97,0.65,0.65,-,-,0.54
16,Long-Term Deferred Charges,2.72,2.78,3.35,2.7,0.93,0.79,0.33,0.33,1.21,0.89,1.18,1.46,1.74,-,-,2.58
17,Other Long-Term Assets,30.51,17.08,16.18,16.33,5,28.18,5,5.8,4.5,4.5,15,-,-,-,-,-
18,Total Assets,1070,1051,1116,1072,1082,954.06,932.16,898.87,887.41,872.41,842.03,851.42,881.8,-,-,371.01
19,Accounts Payable,42.3,23.67,18.06,26.77,19.97,3.91,8.46,12.13,48.62,40.19,6.85,23.01,38.66,-,-,65.48
20,Accrued Expenses,3.92,6.25,3.03,8.58,3.21,6.21,2.88,13.09,4.36,12.12,2.93,10.46,4.1,-,-,17.34
21,Short-Term Debt,25.02,25.02,74.94,50.13,176.19,162.73,150.42,100.06,60,60,20.09,20,30.03,-,-,35.05
22,Current Portion of Long-Term Debt,46.6,3,11.6,11.01,-,-,-,-,-,-,-,-,-,-,-,-
23,Current Portion of Leases,-,0.6,-,0.6,0.29,0.29,-,0.29,0.51,0.5,0.48,0.48,-,-,-,-
24,Current Income Taxes Payable,0.67,0.85,2.87,2.41,3.9,1.24,5.09,1.35,10.7,1.9,9.05,2.87,7.79,-,-,4.5
25,Current Unearned Revenue,2.4,2.06,3.25,5.08,14.15,2.49,2.63,4.16,1.99,2.38,4.22,3.72,2.62,-,-,5.6
26,Other Current Liabilities,12.71,12.05,11.96,24.6,36.44,1.88,3.14,13.49,4.01,2.65,1.66,2.25,27.63,-,-,2.3
27,Total Current Liabilities,133.63,73.5,125.71,129.18,254.16,178.74,172.62,144.57,130.17,119.72,45.27,62.79,110.82,-,-,130.28
28,Long-Term Debt,165.07,188.12,188.22,118.08,-,-,-,-,-,-,-,-,-,-,-,-
29,Long-Term Leases,2.18,2.18,0.31,0.31,0.33,0.61,0.74,0.88,-,-,-,-,0.92,-,-,-
30,Long-Term Unearned Revenue,2.09,2.1,2.11,2.12,2.13,-,-,-,-,-,-,-,-,-,-,-
31,Long-Term Deferred Tax Liabilities,0.89,0.89,0.9,0.9,0.04,0.06,-,-,-,-,-,-,-,-,-,-
32,Total Liabilities,303.86,266.8,317.25,250.59,256.67,179.41,173.36,145.45,130.17,119.72,45.27,62.79,111.74,-,-,130.28
33,Common Stock,80,80,80,80,80,80,80,80,80,80,80,80,80,-,-,60
34,Additional Paid-In Capital,509.05,509.08,509.12,509.22,509.5,509.5,509.5,509.5,509.18,513.65,513.65,520.5,520.5,-,-,58.45
35,Retained Earnings,155.23,169.03,179.63,182.17,182.56,177.61,160.9,163.32,165.31,156.65,201.33,192.42,173.25,-,-,123.91
36,Treasury Stock,-20.99,-20.99,-20,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,0.68,0.68,0.8,0.68,6.61,6.61,6.61,-1.3,-,-,-,-,-,-,-,-
38,Total Common Equity,723.97,737.8,749.55,772.06,778.66,773.72,757.01,751.53,754.48,750.3,794.97,792.92,773.75,-,242.36,242.36
39,Minority Interest,42.18,45.93,49.64,49.61,47.07,0.93,1.79,1.89,2.76,2.39,1.78,-4.28,-3.7,-,-,-1.64
40,Shareholders' Equity,766.15,783.73,799.18,821.68,825.73,774.65,758.8,753.41,757.24,752.69,796.76,788.63,770.06,-,240.72,240.72
41,Total Liabilities & Equity,1070,1051,1116,1072,1082,954.06,932.16,898.87,887.41,872.41,842.03,851.42,881.8,-,-,371.01
42,Total Debt,238.88,218.92,275.08,180.12,176.81,163.62,151.16,101.24,60.51,60.5,20.57,20.48,30.95,-,35.05,35.05
43,Net Cash (Debt),158.05,194.02,238.21,302.72,329.71,373.02,409.33,404.53,474.12,525.9,543.2,590.45,606.43,-,69.44,69.44
44,Net Cash Growth,-52.06%,-47.99%,-41.80%,-25.17%,-30.46%,-29.07%,-24.65%,-31.49%,-21.82%,-,682.27%,750.31%,-,-,-,-
45,Net Cash Per Share,1.97,2.45,2.82,4.16,4.03,4.72,5.08,5.43,6.06,6.44,6.70,7.34,9.95,-,1.15,1.15
46,Filing Date Shares Outstanding,78.96,78.96,79.01,80,80,80,80,80,80,80,80,80,80,59.05,60.53,60
47,Total Common Shares Outstanding,78.96,78.96,79.01,80,80,80,80,80,80,80,80,80,80,59.05,60.53,60
48,Working Capital,481.63,537.83,556.67,519.77,422.65,488.21,503.38,502.85,569.28,599.08,647.13,666.26,645.43,-,-,108.18
49,Book Value Per Share,9.17,9.34,9.49,9.65,9.73,9.67,9.46,9.39,9.43,9.38,9.94,9.91,9.67,-,4.04,4.04
50,Tangible Book Value,686.7,700.24,711.73,734.19,741.04,752.43,735.71,730.29,733.07,729.06,778.23,776.06,756.79,-,225.05,225.05
51,Tangible Book Value Per Share,8.70,8.87,9.01,9.18,9.26,9.41,9.20,9.13,9.16,9.11,9.73,9.70,9.46,-,3.75,3.75
52,Buildings,-,168.15,-,167.55,-,-,-,117.46,-,117.34,-,103.71,-,-,-,158.86
53,Machinery,-,128.49,-,126.2,-,-,-,63.47,-,61.33,-,60.37,-,-,-,-
54,Construction In Progress,-,19.05,-,9.08,-,-,-,3.94,-,0.23,-,0.36,-,-,-,1.92
