,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,7151,7980,6509,7248,8275,8376,7824,7541,7358,7310,10104,-,-,-,-,-
1,Market Cap Growth,-4.72%,-4.72%,-16.80%,-3.88%,12.46%,14.58%,-22.57%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4947,5797,4209,4850,5917,6047,5389,5315,5133,5227,9767,-,-,-,-,-
3,Last Close Price,15.28,16.98,13.85,14.59,16.65,16.86,15.74,14.85,14.49,14.40,19.90,-,-,-,-,-
4,PE Ratio,14.16,15.65,12.30,14.28,16.93,17.18,16.19,16.15,16.77,19.00,28.28,-,-,-,-,-
5,PS Ratio,2.11,2.33,1.93,2.18,2.48,2.51,2.35,2.28,2.27,2.31,3.30,-,-,-,-,-
6,PB Ratio,2.07,2.30,1.92,2.09,2.38,2.49,2.42,2.29,2.31,2.38,3.42,-,-,-,-,-
7,P/TBV Ratio,2.41,2.41,2.01,2.19,2.49,2.60,2.53,2.40,2.43,2.50,3.60,-,-,-,-,-
8,P/FCF Ratio,29.19,32.58,27.89,34.61,43.59,24.02,15.67,15.50,14.03,17.04,26.55,-,-,-,-,-
9,P/OCF Ratio,12.63,12.63,10.49,11.75,14.89,12.69,10.53,11.48,11.15,13.34,20.19,-,-,-,-,-
10,EV/Sales Ratio,1.44,1.69,1.25,1.46,1.77,1.81,1.62,1.61,1.58,1.65,3.19,-,-,-,-,-
11,EV/EBITDA Ratio,8.44,10.35,7.27,8.57,10.61,10.86,10.14,10.25,10.34,11.22,21.64,-,-,-,-,-
12,EV/EBIT Ratio,10.31,12.08,8.39,9.90,12.20,12.41,11.61,11.73,11.86,12.91,24.80,-,-,-,-,-
13,EV/FCF Ratio,20.20,23.67,18.04,23.16,31.17,17.34,10.80,10.93,9.79,12.18,25.66,-,-,-,-,-
14,Debt / Equity Ratio,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.13,0.11,-,-,0.08
15,Debt / EBITDA Ratio,0.15,0.15,0.15,0.20,0.26,0.20,0.20,0.29,0.26,0.23,0.21,0.35,0.45,-,-,0.26
16,Debt / FCF Ratio,0.35,0.35,0.46,0.54,0.65,0.38,0.27,0.32,0.23,0.30,0.34,0.33,0.41,-,-,-
17,Asset Turnover,0.79,0.76,0.71,0.78,0.76,0.74,0.75,0.83,0.82,1.04,1.39,-,-,-,-,
18,Inventory Turnover,3.58,3.36,3.37,3.42,4.21,3.52,3.07,3.09,3.46,3.05,3.03,2.88,-,-,-,-
19,Quick Ratio,2.69,2.69,2.75,2.93,2.98,2.98,2.86,3.01,2.86,3.01,2.89,1.04,1.07,-,-,-
20,Current Ratio,3.06,3.06,3.13,3.33,3.33,3.32,3.24,3.38,3.20,3.39,3.31,1.46,1.48,-,-,-
21,Return on Equity (ROE),13.03%,18.57%,15.40%,12.78%,15.84%,16.80%,14.24%,13.69%,16.67%,23.37%,28.56%,-,-,-,-,
22,Return on Assets (ROA),6.89%,8.53%,6.70%,4.59%,8.28%,8.04%,6.68%,5.04%,7.60%,10.59%,11.17%,-,-,-,-,
23,Return on Capital (ROIC),8.78%,10.77%,8.44%,5.82%,10.60%,10.30%,8.62%,6.52%,9.74%,14.62%,17.81%,-,-,-,-,
24,Return on Capital Employed (ROCE),13.64%,13.64%,14.54%,13.88%,13.67%,14.10%,13.92%,13.40%,13.24%,12.81%,12.97%,29.63%,27.57%,-,-,-
25,Earnings Yield,7.13%,6.39%,8.13%,7.00%,5.91%,5.82%,6.18%,6.19%,5.96%,5.26%,3.54%,-,-,-,-,-
26,FCF Yield,3.43%,3.07%,3.58%,2.89%,2.29%,4.16%,6.38%,6.45%,7.13%,5.87%,3.77%,-,-,-,-,-
27,Dividend Yield,3.28%,-,-,-,3.00%,-,-,-,2.76%,-,-,-,-,-,-,-
28,Payout Ratio,46.16%,0.36%,149.01%,0.31%,-,1.52%,141.11%,0.67%,0.71%,0.45%,1.02%,126.96%,2.11%,2.23%,106.24%,2.24%
29,Buyback Yield / Dilution,2.26%,3.54%,1.97%,0.06%,3.44%,-18.47%,-12.34%,-32.85%,-36.72%,-11.86%,-16.95%,-1.19%,-,-,-,-
30,Total Shareholder Return,5.54%,3.54%,1.97%,0.06%,6.44%,-18.47%,-12.34%,-32.85%,-33.96%,-11.86%,-16.95%,-1.19%,-,-,-,-
