,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,894.47,849.83,802.72,864.78,836.52,807.18,819.18,871.33,823.52,794.44,747.71,794.23,721.59,711.43,610.46
1,Other Revenue,-2.94,2.94,-,11.97,-3.45,3.45,-,3.15,-1.09,1.09,-,-,-0.52,0.26,0.27
2,Revenue,891.53,852.77,802.72,876.76,833.07,810.63,819.18,874.49,822.43,795.53,747.71,794.23,721.06,711.69,610.73
3,Revenue Growth (YoY),7.02%,5.20%,-2.01%,0.26%,1.29%,1.90%,9.56%,10.10%,14.06%,11.78%,22.43%,-,-,-,-
4,Cost of Revenue,285.44,280.26,272.59,321.77,282.8,260.91,262.49,291.42,257.92,254.52,235.95,268.34,214.45,210.15,181.88
5,Gross Profit,606.09,572.51,530.13,554.98,550.28,549.73,556.68,583.07,564.51,541.02,511.76,525.89,506.61,501.54,428.85
6,"Selling, General & Admin",379.67,303.67,328.5,331.85,317.31,336.19,367.98,409.35,370.84,351.18,360.97,401.35,346.29,341.34,313.79
7,Research & Development,108.19,108.43,80.97,132.26,84.01,66.44,70.61,67.13,65.52,56.16,49.6,56.48,41.71,43.49,35.19
8,Other Operating Expenses,-6.28,7.62,0.03,7.4,3.1,6.89,5.94,20.56,5.91,4.32,3.77,12.33,6.32,6.46,5.32
9,Operating Expenses,482.35,420.23,408.98,472.37,404.64,409.19,440.3,498.18,442.09,411.56,415.57,469.08,395.32,385.77,357.97
10,Operating Income,123.74,152.28,121.16,82.61,145.64,140.54,116.39,84.89,122.42,129.46,96.2,56.81,111.3,115.77,70.88
11,Interest Expense,-0.8,-1.03,-0.97,-1.28,-1.26,-1.34,-1.46,-0.58,-1.35,-1.52,-1.31,-0.94,-2.35,-1.83,-1.39
12,Interest & Investment Income,7.46,9.41,19.63,12.86,13.31,17.2,14.66,15.08,15.69,2.59,2.47,3.18,1.69,1.6,1.52
13,Currency Exchange Gain (Loss),-0.16,0.16,-,0.05,0.02,-0.02,-,0.39,-0.31,0.31,-,-0.06,0,-0,-
14,Other Non Operating Income (Expenses),-1.69,0,-0.36,-1.32,-1.3,0.82,0.46,-10.39,8.25,-0.78,1.74,-4.17,3.63,-0.78,-1.16
15,EBT Excluding Unusual Items,128.55,160.83,139.46,92.93,156.41,157.19,130.04,89.4,144.7,130.05,99.1,54.82,114.26,114.75,69.85
