,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,974.09,1241,2422,2531,2497,2471,2234,2541,1990,2219,495.32,434.69,-,-,-
1,Trading Asset Securities,1328,1060,-,-,-,-,360,-,370,-,-,100,-,-,-
2,Cash & Short-Term Investments,2302,2301,2422,2531,2497,2471,2594,2541,2360,2219,495.32,534.69,-,-,320.24
3,Cash Growth,-7.81%,-6.88%,-6.63%,-0.41%,5.83%,11.37%,423.70%,375.27%,-,-,54.67%,-,-,-,-
4,Accounts Receivable,347.58,416.39,334.08,346.13,358.66,418.44,360.02,396.47,378.15,443.36,366.9,337.99,-,-,-
5,Other Receivables,88.4,1.75,72.72,100.23,91.77,4.03,81.35,74.77,61.33,4.92,41.48,57.66,-,-,-
6,Receivables,435.98,418.15,406.8,446.37,450.43,422.47,441.37,471.24,439.48,448.27,408.38,395.65,-,-,-
7,Inventory,344.01,336.05,329.51,307.42,304.44,338.95,340.82,339.1,334.71,342.37,330.54,324,-,-,-
8,Other Current Assets,36.46,35.46,49.14,44.14,33.75,36.96,34.72,20.79,25.92,38,31.12,25.08,-,-,-
9,Total Current Assets,3119,3091,3207,3329,3286,3269,3411,3372,3160,3047,1265,1279,-,-,-
10,"Property, Plant & Equipment",1215,1079,1014,983.41,939.54,869.7,794.07,779.77,765.49,747.82,730.02,721.73,-,-,-
11,Other Intangible Assets,141.37,144.46,147.18,150.2,134.88,137.48,140.08,142.61,145.24,141.3,141.82,144.24,-,-,-
12,Long-Term Deferred Tax Assets,2.47,2.43,2.48,2.81,10.8,10.71,5.15,4.72,6.11,5.9,4.68,4.39,-,-,-
13,Long-Term Deferred Charges,20.64,22.27,23.74,22.92,26.03,27.75,29.07,17.65,0.76,0.81,0.3,0.33,-,-,-
14,Other Long-Term Assets,38.94,97.63,98.93,59.71,50.32,29.65,10.26,4.86,14.59,14.73,9.33,3.08,-,-,-
15,Total Assets,4537,4437,4494,4548,4447,4345,4390,4322,4092,3958,2152,2153,-,-,-
