,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,445.03,467.48,561.38,894.73,484.8,594.55,618.62,731.84,458.85,463.05,495.33,576.08,450.99,553.36,-,176.02,-,156.99,156.99
1,Trading Asset Securities,-,-,42.1,-,106.16,85.18,60.18,26.13,30.11,43.03,82.15,42.08,30.37,30.18,-,30,-,-,-
2,Cash & Short-Term Investments,445.03,467.48,603.48,894.73,590.96,679.73,678.8,757.97,488.97,506.08,577.48,618.15,481.36,583.54,206.03,206.03,-,156.99,156.99
3,Cash Growth,-24.69%,-31.23%,-11.10%,18.04%,20.86%,34.31%,17.55%,22.62%,1.58%,-13.27%,180.30%,200.04%,-,271.70%,31.23%,-,-,-,-
4,Accounts Receivable,159.15,148.24,145.48,123.04,123.5,117.78,120.53,125.11,153.9,150.45,146.62,170,197.79,177.99,-,142.5,-,127.71,127.71
5,Other Receivables,2.65,-,4.95,2.62,2.34,1.73,1.81,1.77,1.42,2.42,1.99,2.59,2.12,1.8,-,-,-,-,-
6,Receivables,161.8,148.24,150.43,125.66,125.84,119.51,122.34,126.88,155.32,152.86,148.61,172.59,199.92,179.78,-,142.5,-,127.71,127.71
7,Inventory,259.49,267.7,232.42,247.7,228.95,164.28,186.92,221.92,165.1,146.88,177.12,186.39,133.07,80.96,-,110.43,-,84.51,84.51
8,Other Current Assets,70.85,63.05,60.55,19.55,23.48,13.92,19.44,24.77,16.2,12.45,31.07,28.88,24,17.41,-,20.54,-,16.31,16.31
9,Total Current Assets,937.17,946.47,1047,1288,969.23,977.43,1007,1132,825.59,818.26,934.28,1006,838.34,861.7,-,479.5,-,385.52,385.52
10,"Property, Plant & Equipment",694.48,709.54,688.66,672.48,657.95,611.32,608.76,611.4,616.41,629.03,621.28,615.84,570.52,563.89,-,569.8,-,575.81,575.81
11,Long-Term Investments,52.4,54.66,46.35,46.35,45.65,40.65,37.65,37.65,34.3,49.3,34.3,49.3,81.9,96.9,-,96.9,-,93.4,93.4
12,Other Intangible Assets,160.27,160.8,161.9,162.9,163.89,164.89,154.76,155.78,156.81,157.85,158.8,159.84,160.87,161.92,-,163.52,-,165.08,165.08
13,Long-Term Deferred Tax Assets,34.04,34.01,32.88,45.82,35.17,33.43,31.97,39.73,31.96,31.73,32.92,46.92,25.15,19.91,-,24.85,-,15.81,15.81
14,Long-Term Deferred Charges,21.43,22.6,19.23,3.59,5.31,6.65,6.78,8.37,9.96,11.23,13.42,4.6,6.17,6.77,-,10.49,-,15.25,15.25
15,Other Long-Term Assets,6.29,7.48,11.01,8.11,4.67,30.68,21.19,6.37,7.73,4.52,21.27,8.96,34.07,4.09,-,3.17,-,3.06,3.06
