,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,5750,5533,5062,6638,6185,5985,6557,5828,5850,4599,6012,5783,7799,8028,8442,-,-,-,-,-
1,Market Cap Growth,-7.55%,-7.55%,-22.80%,13.90%,5.73%,30.14%,9.06%,0.78%,-24.99%,-42.71%,-28.78%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5581,5331,4463,5748,5599,5311,5884,5345,5368,4100,5442,5171,7325,7458,8310,-,-,-,-,-
3,Last Close Price,13.75,13.09,11.82,15.16,13.66,13.01,14.20,12.51,12.56,9.88,12.81,12.21,16.46,16.94,17.71,-,-,-,-,-
4,PE Ratio,31.99,29.68,21.90,24.12,22.22,22.88,26.20,24.55,28.76,25.99,35.29,30.71,42.42,41.83,44.37,-,-,-,-,-
5,Forward PE,38.73,21.46,15.76,20.67,22.35,24.07,27.29,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,3.05,2.83,2.59,3.39,3.22,3.25,3.62,3.32,3.67,2.95,3.99,3.87,5.30,5.86,6.43,-,-,-,-,-
7,PB Ratio,5.39,5.19,4.54,4.95,4.17,4.32,4.81,4.25,4.37,3.65,4.75,4.52,6.36,6.67,6.92,-,-,-,-,-
8,P/TBV Ratio,6.10,6.10,5.31,5.63,4.68,4.90,5.48,4.79,4.94,4.17,5.43,5.16,7.31,7.70,7.98,-,-,-,-,-
9,P/FCF Ratio,125.49,120.75,-,-,28.57,-,20.86,-,20.82,143.55,-81.76,-,72.46,-,36.45,-,-,-,-,-
10,P/OCF Ratio,32.41,32.41,-,-,17.62,17.45,16.56,-,17.03,36.20,135.96,-,40.29,-,30.53,-,-,-,-,-
11,EV/Sales Ratio,2.85,2.72,2.28,2.94,2.91,2.89,3.25,3.05,3.36,2.63,3.62,3.46,4.97,5.44,6.33,-,-,-,-,-
