,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,424.48,364.47,551.03,595.1,407.22,381.83,516.87,521.2,370.78,332.05,359.58,485.59,316.88,322.46,339.23,386.75,259.09,298.06,298.06
1,Other Revenue,-29.78,29.78,-,21.58,-13.37,13.37,-,12.36,-5.35,5.35,-,8.41,-2.73,2.73,-,4.95,-1.85,0.92,0.92
2,Revenue,394.7,394.25,551.03,616.68,393.85,395.2,516.87,533.55,365.43,337.39,359.58,494,314.15,325.18,339.23,391.71,257.24,298.98,298.98
3,Revenue Growth (YoY),0.22%,-0.24%,6.61%,15.58%,7.78%,17.13%,43.75%,8.01%,16.32%,3.76%,6.00%,26.11%,22.12%,8.76%,13.46%,-,-,-,-
4,Cost of Revenue,271.52,272.16,337.76,367.43,240.95,247.03,326.31,356.27,237.99,237.15,234.14,335.54,207.82,200.03,216.01,242.99,158.3,183.72,183.72
5,Gross Profit,123.18,122.08,213.27,249.25,152.9,148.17,190.56,177.28,127.44,100.24,125.43,158.45,106.33,125.15,123.22,148.72,98.94,115.27,115.27
6,"Selling, General & Admin",110.23,113.23,100.59,109.76,92.49,84.09,72.46,62.29,74.77,58.26,63.09,61.96,60.01,58.86,57.93,50.87,51.54,51.23,51.23
7,Research & Development,0.95,1.92,1.01,1.97,0.69,0.37,0.35,0.36,0.22,0.31,0.31,0.4,0.29,0.29,0.29,0.32,0.23,0.28,0.28
8,Other Operating Expenses,0.31,6.96,2.29,14.66,-2.2,4.73,3.76,12.33,3.65,1.84,-0.82,20.24,-1.54,-1.26,-0.78,3.65,1.67,0.92,0.92
9,Operating Expenses,111.85,121.66,103.53,123.3,91.09,89.14,78.01,72.47,77.48,59.69,57.15,104.58,64.49,59.23,60.28,63.88,56.44,56.15,56.15
10,Operating Income,11.33,0.43,109.74,125.95,61.82,59.03,112.55,104.81,49.96,40.55,68.28,53.87,41.84,65.92,62.93,84.84,42.5,59.11,59.11
11,Interest Expense,-2.24,-1.25,-0.06,-0.02,-0.06,-0.07,-0.07,-0.08,-0.08,-0.08,-0.09,-,-0.1,-0.23,-0.38,-1.88,-2.08,-2.11,-2.11
12,Interest & Investment Income,1.06,1.54,2.13,2.36,2.51,2.25,2.47,2.39,2.46,2.07,1.22,2.17,1.28,1.15,0.45,1.41,0.45,0.51,0.51
13,Currency Exchange Gain (Loss),2.46,-2.46,-,-0.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Non Operating Income (Expenses),-1.37,0.95,-1.42,0.46,-0.73,-0.56,-0.36,-1.31,-1.26,0.02,-0.51,0.08,-1.29,0.31,-0.29,1.93,-0.63,-0.81,-0.81
15,EBT Excluding Unusual Items,11.24,-0.8,110.4,128.52,63.53,60.65,114.6,105.82,51.08,42.55,68.9,56.12,41.73,67.15,62.72,86.3,40.25,56.7,56.7
16,Gain (Loss) on Sale of Investments,-,-0.1,0.1,-0.16,-0.02,-0,0.18,0.01,-0.06,0.03,0.15,-0.29,0.18,-0.06,0.23,0,-,-,-
17,Gain (Loss) on Sale of Assets,-0.02,-0.1,-0.02,-0.2,-0.34,-0.05,-0.02,0.02,0.2,-0.19,0.06,-0.39,0.6,-0.54,0.15,-,-0.22,0.17,0.17
18,Asset Writedown,-5.65,1.42,-1.42,0.8,-0.84,-0.09,0.09,3.52,-3.82,0.36,-0.36,4.08,-4.81,0.11,-0.11,3.85,-4.2,-,-
19,Legal Settlements,-,-,-,-0.41,-,-,-,-0.2,-,-,-,-0.09,0.09,-0.09,-,-0.03,-,-,-
20,Other Unusual Items,-3.9,1.83,0.14,9.04,-,-,-,8.38,-,-0.13,0.13,19.01,-,-,-,-0.67,0,-0,-0
21,Pretax Income,1.67,2.26,109.19,137.58,62.34,60.52,114.85,117.55,47.39,42.62,68.87,78.45,37.79,66.58,62.99,89.45,35.83,56.87,56.87
22,Income Tax Expense,0.36,1.89,27.1,34.94,16.31,16.07,29.58,31.78,12.66,11.07,17.51,19.15,9.63,17.11,16.09,22.07,9.33,14.47,14.47
23,Earnings From Continuing Operations,1.31,0.37,82.09,102.64,46.03,44.45,85.27,85.77,34.74,31.56,51.36,59.3,28.16,49.47,46.91,67.39,26.49,42.4,42.4
24,Minority Interest in Earnings,-,-0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Net Income,1.31,0.37,82.09,102.64,46.03,44.45,85.27,85.77,34.74,31.56,51.36,59.3,28.16,49.47,46.91,67.39,26.49,42.4,42.4
