,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,44,72,107,108,132,459,2135,-,-,-
1,Market Cap Growth,-33.75%,-33.75%,-18.97%,-76.47%,-93.83%,-,-,-,-,-
2,Enterprise Value,1840,1952,2145,2157,2227,2932,5076,-,-,-
3,Last Close Price,0.07,0.11,0.16,0.16,0.20,0.68,3.16,-,-,-
4,Forward PE,-,4.65,4.65,4.65,4.65,4.65,5.43,-,-,-
5,PS Ratio,0.03,0.04,0.04,0.02,0.03,0.07,0.31,-,-,-
6,PB Ratio,0.04,0.03,0.05,0.04,0.05,0.16,0.67,-,-,-
7,P/TBV Ratio,0.06,0.06,0.09,0.08,0.08,0.24,1.06,-,-,-
8,P/FCF Ratio,-,-0.76,-,-1.76,-,0.53,1.60,-,-,-
9,P/OCF Ratio,-,-0.76,-,-1.76,-,0.53,1.60,-,-,-
10,EV/Sales Ratio,1.10,1.17,0.74,0.43,0.44,0.48,0.74,-,-,-
11,EV/EBITDA Ratio,-,-,-,8.39,6.00,8.51,8.23,-,-,-
12,EV/EBIT Ratio,-,-,-,8.61,6.20,8.89,8.46,-,-,-
13,EV/FCF Ratio,-19.52,-20.70,-,-35.05,-,3.38,3.81,-,-,-
14,Debt / Equity Ratio,0.44,0.44,0.45,0.41,0.43,0.51,0.62,1.34,1.39,-
15,Debt / FCF Ratio,-,-10.17,-,-16.99,-,1.66,1.50,10.17,-,-
16,Return on Capital Employed (ROCE),-,-,-,8.95%,10.76%,10.35%,17.13%,30.80%,25.16%,-
17,Earnings Yield,-574.98%,-352.59%,-426.59%,-278.12%,-73.91%,-23.80%,0.17%,-,-,-
18,FCF Yield,-214.69%,-131.65%,75.39%,-56.92%,344.54%,188.80%,62.36%,-,-,-
19,Buyback Yield / Dilution,-,-,-,-2.94%,-36.47%,-32.58%,-,-,-,
20,Total Shareholder Return,-,-,-,-2.94%,-36.47%,-32.58%,-,-,-,
