,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,917.95,638.25,1985,2681,1807,3451,2166,2846,1100
1,Revenue Growth (YoY),-53.76%,-76.19%,9.88%,-22.31%,-16.59%,21.23%,96.95%,-,-
2,Cost of Revenue,891.84,749.58,1841,2327,1563,3035,1658,2091,789.74
3,Gross Profit,26.1,-111.33,144.15,353.48,243.34,415.51,507.84,754.96,310
4,"Selling, General & Admin",41.94,53.65,78.37,126.03,140.36,212.59,204.94,233.81,155.05
5,Other Operating Expenses,0.68,61.45,57.86,3.5,9.3,14.97,1.82,9.57,6.98
6,Operating Expenses,42.62,115.09,136.23,129.52,149.66,227.55,206.76,243.38,162.04
7,Operating Income,-16.51,-226.43,7.92,223.96,93.68,187.96,301.07,511.58,147.97
8,Interest Expense,-39.54,-24.06,-18.23,-13.18,-14.4,-21.22,-18.75,-16.82,-5.27
9,Interest & Investment Income,0.33,1.19,1.43,2.3,2.55,6.02,4.54,3.99,3.99
10,Earnings From Equity Investments,4.88,8.74,-0.42,19.53,-1.42,-2.29,-2.36,-4.7,-1.92
11,Currency Exchange Gain (Loss),-,-,-,-0,0,-0.12,0.12,0.51,-
12,Other Non Operating Income (Expenses),0.13,0.39,1.67,2.69,10.78,2.52,1.24,0.74,0.85
13,EBT Excluding Unusual Items,-50.71,-240.17,-7.62,235.29,91.19,172.88,285.86,495.31,145.61
14,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,2.37,-
15,Gain (Loss) on Sale of Assets,-,0.02,0.41,-,-,-,-,0,-
16,Asset Writedown,-,-5.2,-5.2,-15,-,-13.32,-,-,-
17,Pretax Income,-50.71,-245.35,-12.41,220.29,91.19,159.56,285.86,497.68,145.61
18,Income Tax Expense,3.54,17.55,109.52,142.94,59.9,95.02,91.49,212.54,63.06
19,Earnings From Continuing Operations,-54.25,-262.9,-121.92,77.36,31.29,64.54,194.37,285.14,82.55
20,Minority Interest in Earnings,6.15,76.03,-104.51,-129.12,-65.65,-123.51,-132.41,-9.59,9.14
21,Net Income,-48.1,-186.87,-226.43,-51.76,-34.36,-58.97,61.96,275.56,91.7
22,Net Income to Common,-48.1,-186.87,-226.43,-51.76,-34.36,-58.97,61.96,275.56,91.7
23,Net Income Growth,-,-,-,-,-,-,-32.43%,-,-
24,Shares Outstanding (Basic),676,676,676,676,676,656,495,495,495
25,Shares Outstanding (Diluted),676,676,676,676,676,656,495,495,495
26,Shares Change (YoY),-,-,-,2.94%,36.47%,32.58%,-,-,-
27,EPS (Basic),-0.07,-0.28,-0.34,-0.08,-0.05,-0.09,0.13,0.56,0.19
28,EPS (Diluted),-0.07,-0.28,-0.34,-0.08,-0.05,-0.09,0.13,0.56,0.19
29,EPS Growth,-,-,-,-,-,-,-32.43%,-,-
30,Free Cash Flow,34.45,-122.18,195.22,-252.15,653.62,86.78,997.71,-765.7,398.81
31,Free Cash Flow Per Share,0.05,-0.18,0.29,-0.37,0.97,0.13,2.02,-1.55,0.81
32,Operating Margin,-1.80%,-35.48%,0.40%,8.35%,5.19%,5.45%,13.90%,17.97%,13.45%
33,Profit Margin,-5.24%,-29.28%,-11.41%,-1.93%,-1.90%,-1.71%,2.86%,9.68%,8.34%
34,Free Cash Flow Margin,3.75%,-19.14%,9.83%,-9.41%,36.18%,2.51%,46.06%,-26.90%,36.26%
35,EBITDA,-16.11,-225.59,9.25,228.61,99.74,194.44,307.93,518.34,157.94
36,D&A For EBITDA,0.4,0.84,1.32,4.66,6.06,6.48,6.86,6.76,9.98
37,EBIT,-16.51,-226.43,7.92,223.96,93.68,187.96,301.07,511.58,147.97
