,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,26.01,46.71,123.05,133.33,271.63,464.89,655.83,457.43,-
1,Short-Term Investments,139.36,132.69,-,93.02,-,105.98,-,105.56,-
2,Cash & Short-Term Investments,165.37,179.4,123.05,226.35,271.63,570.87,655.83,562.99,-
3,Cash Growth,34.39%,-20.74%,-54.70%,-60.35%,-58.58%,1.40%,-,-,-
4,Accounts Receivable,17.68,17.3,1.29,1.13,0.1,0.13,-,-,-
5,Other Receivables,2056,2080,1731,2355,1549,2444,1202,1691,-
6,Receivables,2073,2098,1732,2356,1549,2444,1202,1691,-
7,Inventory,7416,8081,8474,10090,11626,12196,12724,12198,-
8,Prepaid Expenses,-,-,633.56,-,860.22,-,985.36,-,-
9,Restricted Cash,153.54,263.86,502.75,687.49,796.63,956.37,1200,1477,-
10,Other Current Assets,226.8,260.14,374.49,421,588.26,521.82,768.55,548.9,-
11,Total Current Assets,10035,10883,11840,13781,15692,16689,17537,16477,-
12,"Property, Plant & Equipment",2.39,3.63,4.95,5.2,29.69,38.53,68.14,80.05,-
13,Long-Term Investments,52.22,47.34,38.6,39.02,19.49,20.92,23.2,25.56,-
14,Long-Term Deferred Tax Assets,161.29,152.57,172,216.33,310.6,313.22,382.8,380.53,-
15,Other Long-Term Assets,72.3,72.3,132,137.2,149.3,149.15,-,-,-
16,Total Assets,10323,11158,12188,14179,16201,17211,18011,16963,-
17,Accounts Payable,1213,1323,1293,1421,1427,1745,1458,1430,-
18,Accrued Expenses,170.56,160.07,135,107.29,82.34,72.94,117.99,122.74,-
19,Short-Term Debt,-,31.22,-,15.62,-,-,-,-,-
20,Current Portion of Long-Term Debt,694.61,667.62,744.8,635.37,941.08,1372,1483,1065,-
21,Current Portion of Leases,-,0.83,1.06,0.2,6.88,7.37,12.85,12.82,-
22,Current Income Taxes Payable,447.5,466.55,495.26,479.25,461.57,439.14,460.57,468.53,-
23,Current Unearned Revenue,4579,5213,5972,7620,9567,9551,10567,9476,-
24,Other Current Liabilities,984.25,970.58,957.07,946.68,994.53,1169,1274,1767,-
25,Total Current Liabilities,8089,8834,9598,11225,13480,14356,15373,14342,-
26,Long-Term Debt,197.41,234.19,221.19,436.16,270.08,226.75,829.31,1031,-
27,Long-Term Leases,-,-,0.31,0.22,12.93,15.23,33.87,39.03,-
28,Long-Term Deferred Tax Liabilities,2.99,2.3,2.91,0.88,6.78,7.54,9.16,8.79,-
29,Total Liabilities,8289,9070,9823,11663,13770,14606,16245,15421,-
30,Common Stock,0.01,0.01,0.01,0.01,0.01,0.01,-,-,-
31,Additional Paid-In Capital,677.06,677.06,677.06,677.06,677.06,677.06,-,-,-
32,Retained Earnings,395.5,443.61,630.47,856.9,908.66,943.02,1002,940.03,-
33,Comprehensive Income & Other,16.19,15.69,15.69,15.69,15.69,21.13,21.13,7.73,-
34,Total Common Equity,1089,1136,1323,1550,1601,1641,1023,947.76,-
35,Minority Interest,945.34,951.99,1042,966.37,829.45,964.07,743.05,594.8,-
36,Shareholders' Equity,2034,2088,2365,2516,2431,2605,1766,1543,-
37,Total Liabilities & Equity,10323,11158,12188,14179,16201,17211,18011,16963,-
38,Total Debt,892.02,933.87,967.37,1088,1231,1621,2359,2148,-
39,Net Cash (Debt),-726.65,-754.47,-844.32,-861.22,-959.33,-1051,-1703,-1585,-
40,Net Cash Per Share,-1.08,-1.12,-1.25,-1.27,-1.42,-1.60,-3.44,-3.20,-
41,Filing Date Shares Outstanding,675.53,675.53,675.53,675.53,675.53,675.53,495,660,495
42,Total Common Shares Outstanding,675.53,675.53,675.53,675.53,675.53,675.53,495,660,495
43,Working Capital,1946,2049,2242,2556,2212,2333,2164,2135,-
44,Book Value Per Share,1.61,1.68,1.96,2.29,2.37,2.43,2.07,1.44,-
45,Tangible Book Value,1089,1136,1323,1550,1601,1641,1023,947.76,-
46,Tangible Book Value Per Share,1.61,1.68,1.96,2.29,2.37,2.43,2.07,1.44,-
47,Machinery,-,17.03,-,16.87,-,16.81,-,15.51,-
