,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,75,189,218,89,190,950,370,425,-,-
1,Market Cap Growth,112.48%,112.48%,14.74%,-90.63%,-48.65%,123.53%,-,-,-,-
2,Enterprise Value,60,183,205,40,124,877,295,421,-,-
3,Last Close Price,0.05,0.16,0.22,0.09,0.19,0.95,0.37,0.42,-,-
4,PE Ratio,-,-,-,-,-,42.29,14.08,10.91,-,-
5,PS Ratio,0.39,1.38,1.98,1.14,1.79,4.30,1.48,1.31,-,-
6,PB Ratio,0.48,1.47,1.73,0.60,1.22,5.61,2.27,2.89,-,-
7,P/TBV Ratio,1.73,1.73,1.73,0.60,1.22,5.61,2.27,2.89,-,-
8,P/FCF Ratio,-,-91.27,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-91.94,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,0.44,1.34,1.87,0.51,1.17,3.97,1.18,1.30,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,33.29,8.85,8.26,-,-
12,EV/EBIT Ratio,-,-,-,-,-,33.93,8.93,8.30,-,-
13,EV/FCF Ratio,-28.96,-88.11,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.21,-
15,Debt / FCF Ratio,-,-1.33,-,-,-,-,-,-,0.51,-
16,Return on Capital Employed (ROCE),-,-,-,-,-,15.25%,20.28%,34.50%,87.99%,-
17,Earnings Yield,-56.20%,-22.20%,-13.49%,-23.18%,-3.90%,2.36%,7.10%,9.16%,-,-
18,FCF Yield,-2.77%,-1.10%,-21.68%,-59.82%,-12.53%,-1.02%,-11.28%,-7.03%,-,-
19,Buyback Yield / Dilution,-1.46%,-2.92%,-,-,0.17%,-14.10%,-33.56%,-16.85%,-,-
20,Total Shareholder Return,-1.46%,-2.92%,-,-,0.17%,-14.10%,-33.56%,-16.85%,-,-
