,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,17.45,10.1,12.77,24.54,25.88,23.42,25.59,15.6,-
1,Short-Term Investments,-,-,-,25,40,50,50,-,-
2,Cash & Short-Term Investments,17.45,10.1,12.77,49.54,65.88,73.42,75.59,15.6,-
3,Cash Growth,36.68%,-79.61%,-80.62%,-32.53%,-12.84%,370.52%,-,-,-
4,Accounts Receivable,127.28,118.42,128.48,188.45,203.24,196.24,147.71,185.66,-
5,Other Receivables,2.58,3.6,3.1,3.2,3.9,2.32,2.25,29.5,-
6,Receivables,129.86,122.02,131.58,191.65,207.14,198.55,149.96,215.16,-
7,Prepaid Expenses,0.32,0.28,-,0.26,0.25,0.22,-,0.03,-
8,Other Current Assets,22.81,44.38,44.96,12.08,3.82,3.83,6.7,8.67,-
9,Total Current Assets,170.44,176.78,189.31,253.54,277.09,276.02,232.25,239.46,-
10,"Property, Plant & Equipment",0.65,0.67,0.89,0.94,1.32,1.3,1.69,0.13,-
11,Goodwill,19.47,-,-,-,-,-,-,-,-
12,Long-Term Deferred Tax Assets,-,-,-,-,1.3,1.13,0.75,0.65,-
13,Total Assets,190.56,177.45,190.2,254.48,279.71,278.45,234.69,240.24,-
14,Accounts Payable,37.03,37.42,30.61,58,64.26,59.89,55.22,108.86,-
15,Short-Term Debt,2.53,3.35,-,-,-,-,-,-,-
16,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,8.46,-
17,Current Portion of Leases,0.21,0.15,0.14,0.14,0.35,0.14,0.34,0.07,-
18,Current Income Taxes Payable,0.23,-,-,22.08,25.3,24.01,20.7,18.21,-
19,Other Current Liabilities,21.59,10.54,10.43,18.91,20.33,31.71,11.43,47.65,-
20,Total Current Liabilities,61.59,51.45,41.18,99.13,110.24,115.74,87.69,183.25,-
21,Long-Term Debt,-,-,-,-,-,-,-,2.87,-
22,Long-Term Leases,0.02,0.05,0.12,-,-,-,-,-,-
23,Long-Term Deferred Tax Liabilities,0.1,0.07,0.06,0.06,-,-,-,-,-
24,Total Liabilities,61.71,51.57,41.37,99.19,110.24,115.74,87.69,186.12,-
25,Common Stock,11.75,10,10,10,10,10,10,-,-
26,Additional Paid-In Capital,121.36,101.11,101.11,101.11,101.11,101.11,101.11,-,-
27,Retained Earnings,-4.26,14.78,37.73,44.19,58.36,51.6,35.9,54.12,-
28,Shareholders' Equity,128.85,125.88,148.83,155.29,169.47,162.7,147,54.12,-
29,Total Liabilities & Equity,190.56,177.45,190.2,254.48,279.71,278.45,234.69,240.24,-
30,Total Debt,2.76,3.55,0.27,0.14,0.35,0.14,0.34,11.41,-
31,Net Cash (Debt),14.69,6.55,12.5,49.4,65.53,73.28,75.25,4.2,-
32,Net Cash Growth,17.51%,-86.74%,-80.92%,-32.59%,-12.92%,1645.20%,-,-,-
33,Net Cash Per Share,0.01,0.01,0.01,0.05,0.07,0.07,0.09,0.01,-
34,Filing Date Shares Outstanding,1175,1000,1000,1000,1000,1000,1000,750,750
35,Total Common Shares Outstanding,1175,1000,1000,1000,1000,1000,1000,750,750
36,Working Capital,108.85,125.33,148.13,154.41,166.85,160.27,144.57,56.21,-
37,Book Value Per Share,0.11,0.13,0.15,0.16,0.17,0.16,0.15,0.07,-
38,Tangible Book Value,109.38,125.88,148.83,155.29,169.47,162.7,147,54.12,-
39,Tangible Book Value Per Share,0.09,0.13,0.15,0.16,0.17,0.16,0.15,0.07,-
40,Machinery,-,1.9,-,2.78,-,2.77,-,2.69,-
41,Leasehold Improvements,-,0.22,-,0.22,-,0.22,-,0.22,-
