,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,67.2,69.48,40.56,37.29,68.9,151.93,97.69,226.91,87.31
1,Revenue Growth (YoY),65.69%,86.33%,-41.14%,-75.46%,-29.47%,-33.04%,11.90%,-,-
2,Cost of Revenue,80.89,80.55,46.12,40.33,56.03,124.41,80.38,184.27,71.28
3,Gross Profit,-13.69,-11.07,-5.57,-3.04,12.87,27.53,17.32,42.63,16.03
4,"Selling, General & Admin",3.18,4.72,4.58,6.82,5.16,5.73,4.1,3.11,3.41
5,Operating Expenses,5.23,11.89,2.13,11.43,5.48,9.08,2.78,6.46,2.06
6,Operating Income,-18.92,-22.96,-7.7,-14.47,7.39,18.45,14.54,36.17,13.97
7,Interest Expense,-0.05,-0.05,-0,-0.01,-0.01,-0.01,-0.19,-0.2,-0.05
8,Interest & Investment Income,0,-,0.28,0.18,0.17,0.18,0,-,-
9,Other Non Operating Income (Expenses),-,0.14,2.52,3.32,-,-,-,-,-
10,EBT Excluding Unusual Items,-18.97,-22.87,-4.91,-10.97,7.55,18.62,14.35,35.97,13.93
11,Gain (Loss) on Sale of Assets,-,-0.08,-,-,-,-,0.44,-,-
12,Legal Settlements,-,-,-,-,-,-,0.38,-,-
13,Other Unusual Items,-,-,-,0.16,0.33,-,-2.19,-0.97,-2.46
14,Pretax Income,-18.97,-22.95,-4.91,-10.81,7.88,18.62,12.98,35,11.47
15,Income Tax Expense,0.06,0,1.55,3.37,1.11,2.92,2.4,6.63,2.1
16,Net Income,-19.03,-22.95,-6.46,-14.17,6.77,15.7,10.58,28.37,9.37
17,Net Income to Common,-19.03,-22.95,-6.46,-14.17,6.77,15.7,10.58,28.37,9.37
18,Net Income Growth,-,-,-,-,-36.06%,-44.65%,12.92%,-,-
19,Shares Outstanding (Basic),1029,1000,1000,1000,1000,1002,876,750,750
20,Shares Outstanding (Diluted),1029,1000,1000,1000,1000,1002,876,750,750
21,Shares Change (YoY),2.92%,-,-,-0.17%,14.10%,33.56%,16.85%,-,-
22,EPS (Basic),-0.02,-0.02,-0.01,-0.01,0.01,0.02,0.01,0.04,0.01
23,EPS (Diluted),-0.02,-0.02,-0.01,-0.01,0.01,0.02,0.01,0.04,0.01
24,EPS Growth,-,-,-,-,-43.97%,-58.56%,-3.36%,-,-
25,Free Cash Flow,8.31,-10.38,-36.88,-16.36,-7.45,-2.23,-39.5,9.61,12.61
26,Free Cash Flow Per Share,0.01,-0.01,-0.04,-0.02,-0.01,-0.00,-0.05,0.01,0.02
27,Operating Margin,-28.16%,-33.05%,-18.99%,-38.80%,10.73%,12.14%,14.88%,15.94%,16.00%
28,Profit Margin,-28.32%,-33.04%,-15.93%,-38.01%,9.82%,10.33%,10.83%,12.50%,10.73%
29,Free Cash Flow Margin,12.36%,-14.94%,-90.94%,-43.87%,-10.81%,-1.47%,-40.43%,4.23%,14.45%
30,EBITDA,-18.78,-23.04,-7.35,-14.51,7.8,18.54,14.75,36.2,14.4
31,D&A For EBITDA,0.14,-0.08,0.35,-0.04,0.41,0.09,0.21,0.03,0.43
32,EBIT,-18.92,-22.96,-7.7,-14.47,7.39,18.45,14.54,36.17,13.97
