,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+1 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+1 Quarters
0,Market Capitalization,2240,2804,2424,3110,3673,5362,5827,3379,2804,2546,4162,Upgrade
1,Market Cap Growth,-9.84%,-9.84%,-34.00%,-42.01%,-36.97%,58.70%,107.86%,32.69%,-32.65%,-61.97%,-38.85%,Upgrade
2,Enterprise Value,5617,6457,6038,6554,6971,8778,9543,7067,6338,5712,7050,Upgrade
3,Last Close Price,1.83,2.26,1.94,2.44,2.87,4.09,4.37,2.51,2.05,1.86,2.98,Upgrade
4,PE Ratio,21.55,26.96,16.93,17.56,9.58,9.26,11.19,8.20,22.34,-,14.36,Upgrade
5,Forward PE,4.46,8.04,7.47,7.21,5.82,7.34,9.09,9.36,9.84,17.23,10.46,Upgrade
6,PS Ratio,0.30,0.38,0.35,0.46,0.47,0.60,0.70,0.45,0.47,0.44,0.66,Upgrade
7,PB Ratio,0.64,0.80,0.72,0.96,1.04,1.54,1.60,1.02,0.91,0.88,1.43,Upgrade
8,P/TBV Ratio,0.81,0.81,0.73,0.97,1.04,1.55,1.62,1.03,0.93,0.89,1.45,Upgrade
9,P/FCF Ratio,3.84,4.76,6.45,7.83,3.42,4.39,10.81,36.33,-15.44,-,-,Upgrade
10,P/OCF Ratio,2.95,2.93,3.22,3.86,2.43,3.37,5.66,4.28,6.30,6.95,5.57,Upgrade
11,PEG Ratio,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.93,Upgrade
12,EV/Sales Ratio,0.75,0.87,0.86,0.96,0.88,0.99,1.14,0.94,1.06,1.00,1.11,Upgrade
13,EV/EBITDA Ratio,4.84,5.89,5.54,5.94,5.40,5.92,7.31,6.40,8.31,8.19,8.59,Upgrade
14,EV/EBIT Ratio,8.47,10.11,9.63,10.20,8.48,8.83,11.64,11.07,20.08,21.20,16.80,Upgrade
15,EV/FCF Ratio,9.63,10.97,16.06,16.51,6.49,7.19,17.71,75.98,-34.90,-,-,Upgrade
16,Debt / Equity Ratio,1.22,1.22,1.27,1.30,1.16,1.21,1.21,1.33,1.47,1.50,1.29,Upgrade
17,Debt / FCF Ratio,7.30,7.24,11.37,10.56,3.84,3.45,8.19,47.46,-24.87,-,-,Upgrade
18,Return on Capital Employed (ROCE),8.89%,8.89%,8.83%,9.06%,11.16%,14.64%,11.42%,8.89%,4.94%,4.23%,7.17%,Upgrade
19,Earnings Yield,4.64%,3.71%,5.91%,5.70%,10.44%,10.80%,8.94%,12.20%,4.48%,4.56%,6.97%,Upgrade
20,FCF Yield,26.05%,20.99%,15.51%,12.77%,29.23%,22.78%,9.25%,2.75%,-6.48%,-12.60%,-1.65%,Upgrade
21,Dividend Yield,2.57%,2.08%,2.94%,2.17%,3.59%,3.84%,3.20%,2.71%,-,-,2.62%,Upgrade
22,Total Shareholder Return,2.57%,2.08%,2.94%,2.17%,3.59%,3.84%,3.20%,2.71%,-,-,2.62%,Upgrade
