,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,389.82,345.71,512.23,428.3,850.83,-,-,47.34,-,-,-,117.71,117.71
1,Short-Term Investments,86.93,363.89,21.28,240.15,-,-,-,20.04,-,-,-,-,-
2,Trading Asset Securities,397.47,375.03,286.15,316.7,83.92,-,-,58.14,-,-,-,142.24,142.24
3,Cash & Short-Term Investments,874.23,1085,819.65,985.15,934.74,-,125.52,125.52,-,-,255.62,259.96,259.96
4,Cash Growth,-6.47%,-,553.00%,684.84%,-,-,-50.90%,-51.71%,-,-,-,-,-
5,Accounts Receivable,52.77,66.15,26.8,40.71,53.44,-,-,16.91,-,-,-,25.65,25.65
6,Other Receivables,1.39,2.14,0.88,0.71,-,-,-,0.55,-,-,-,0.68,0.68
7,Receivables,54.15,68.29,27.68,41.41,53.44,-,-,17.46,-,-,-,26.32,26.32
8,Inventory,86.61,69.7,69.82,105.32,87.04,-,-,108.61,-,-,-,81.24,81.24
9,Prepaid Expenses,-,-,-,-,-,-,-,0,-,-,-,-,-
10,Other Current Assets,236.8,32.2,254.72,28.82,93.7,-,-,41.29,-,-,-,6.33,6.33
11,Total Current Assets,1252,1255,1172,1161,1169,-,-,292.89,-,-,-,373.85,373.85
12,"Property, Plant & Equipment",232.07,214.85,213.3,211.33,195.43,-,-,195.61,-,-,-,200.91,200.91
13,Long-Term Investments,-,172.42,-,212.82,-,-,-,202.8,-,-,-,-,-
14,Other Intangible Assets,35.06,36.23,39.6,40.01,35.4,-,-,36.5,-,-,-,37.93,37.93
15,Long-Term Deferred Tax Assets,10.03,12.33,8.89,10.5,12.06,-,-,12.81,-,-,-,10.6,10.6
16,Long-Term Deferred Charges,3.04,3.22,3.4,3.58,-,-,-,-,-,-,-,-,-
17,Other Long-Term Assets,176.01,16.27,300.13,8.87,227.08,-,-,24.67,-,-,-,17.54,17.54
18,Total Assets,1708,1710,1737,1648,1639,-,-,765.29,-,-,-,640.84,640.84
19,Accounts Payable,37.5,25.41,26.92,30.87,42.98,-,-,38.13,-,-,-,15.16,15.16
20,Accrued Expenses,20.39,136.34,14.65,109.64,19.36,-,-,90.12,-,-,-,98.33,98.33
21,Current Portion of Leases,1.04,1.03,1.05,1.05,-,-,-,0.98,-,-,-,0.95,0.95
22,Current Income Taxes Payable,5.72,3.87,10.33,-,1.36,-,-,-,-,-,-,5.16,5.16
23,Current Unearned Revenue,17.99,8.02,5.76,14.53,2.65,-,-,21.51,-,-,-,0.77,0.77
24,Other Current Liabilities,93.48,11.76,136.56,7.85,92.05,-,-,4.73,-,-,-,2.85,2.85
25,Total Current Liabilities,176.13,186.43,195.27,163.94,158.4,-,-,155.47,-,-,-,123.23,123.23
26,Long-Term Leases,0.26,0.53,0.84,1.08,1.43,-,-,2.07,-,-,-,3,3
27,Long-Term Unearned Revenue,6.34,6.9,7.47,8.03,8.59,-,-,11.78,-,-,-,13.66,13.66
28,Long-Term Deferred Tax Liabilities,1.7,1.59,1.7,1.7,1.41,-,-,1.84,-,-,-,0.1,0.1
29,Total Liabilities,184.43,195.46,205.28,174.75,169.83,-,-,171.16,-,-,-,139.99,139.99
30,Common Stock,356.55,356.55,356.55,356.55,356.55,-,-,267.42,-,-,-,267.42,267.42
31,Additional Paid-In Capital,950.27,950.27,950.27,950.27,950.27,-,-,246.11,-,-,-,246.11,246.11
32,Retained Earnings,216.76,207.85,225.11,166.24,162.25,-,-,80.6,-,-,-,-12.68,-12.68
33,Shareholders' Equity,1524,1515,1532,1473,1469,-,594.13,594.13,-,-,515.12,500.85,500.85
34,Total Liabilities & Equity,1708,1710,1737,1648,1639,-,-,765.29,-,-,-,640.84,640.84
35,Total Debt,1.3,1.55,1.89,2.13,1.43,-,3.05,3.05,-,-,3.57,3.95,3.95
36,Net Cash (Debt),872.93,1083,817.77,983.02,933.31,-,122.47,122.47,-,-,252.05,256,256
37,Net Cash Growth,-6.47%,-,567.74%,702.67%,-,-,-51.41%,-52.16%,-,-,-,-,-
38,Net Cash Per Share,2.33,3.04,2.36,2.92,3.05,-,0.47,0.49,-,-,-,1.01,1.01
39,Filing Date Shares Outstanding,356.55,356.55,356.55,356.55,356.55,275.66,263.21,267.42,267.3,-,-,267.42,267.42
