,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4799,5017,4500,4425,5883,7816,-,-,-,-,-,-,-,-
1,Market Cap Growth,-35.81%,-35.81%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3926,3934,3682,3492,4950,7693,-,-,-,-,-,-,-,-
3,Last Close Price,13.46,14.07,12.62,12.31,16.36,21.74,-,-,-,-,-,-,-,-
4,PE Ratio,52.77,55.65,48.46,49.59,68.70,91.05,-,-,-,-,-,-,-,-
5,PS Ratio,7.73,8.15,7.36,7.44,10.11,13.53,-,-,-,-,-,-,-,-
6,PB Ratio,3.15,3.29,2.97,2.89,3.99,5.32,-,-,-,-,-,-,-,-
7,P/TBV Ratio,3.37,3.37,3.04,2.97,4.11,5.45,-,-,-,-,-,-,-,-
8,P/FCF Ratio,76.02,-,-,47.08,81.62,103.85,-,-,-,-,-,-,-,-
9,P/OCF Ratio,39.96,-,-,33.72,54.40,78.21,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,6.38,6.39,6.02,5.87,8.51,13.32,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,41.82,39.27,34.12,32.88,43.72,67.61,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,55.28,52.20,45.05,44.94,-,93.22,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,62.19,-,-,37.15,68.67,102.22,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,-,0.01,0.01,-,-,0.01,0.01,0.01
15,Debt / EBITDA Ratio,0.01,0.03,0.02,0.01,0.11,0.02,-,0.01,0.14,-,-,0.02,0.03,0.03
16,Debt / FCF Ratio,0.02,-,-,0.02,0.03,0.02,-,0.02,0.04,-,-,0.06,0.15,0.29
17,Asset Turnover,0.29,0.38,0.55,0.23,-,-,-,-,-,-,-,0.87,-,
18,Inventory Turnover,3.06,3.16,4.14,3.99,1.85,-,-,-,-,-,-,-,2.21,-
19,Quick Ratio,5.27,5.27,6.18,4.34,6.26,6.24,-,-,0.92,-,-,-,2.32,2.32
20,Current Ratio,7.11,7.11,6.73,6.00,7.08,7.38,-,-,1.88,-,-,-,3.03,3.03
21,Return on Equity (ROE),2.35%,4.83%,15.67%,1.08%,-,-,37.21%,-,-,-,-,22.34%,-,
22,Return on Assets (ROA),0.65%,2.19%,8.62%,-0.39%,-,-,-,-,-,-,-,10.34%,-,
23,Return on Capital (ROIC),0.73%,2.48%,9.70%,-0.43%,-,-,26.80%,-,-,-,-,13.13%,-,
24,Return on Capital Employed (ROCE),4.64%,4.92%,5.36%,5.04%,-,5.57%,-,-,-,-,-,-,10.25%,5.12%
25,Earnings Yield,1.88%,1.80%,2.06%,2.02%,1.46%,1.10%,-,-,-,-,-,-,-,-
26,FCF Yield,1.32%,1.26%,2.02%,2.12%,1.23%,0.96%,-,-,-,-,-,-,-,-
27,Dividend Yield,0.75%,-,-,-,0.61%,-,-,-,-,-,-,-,-,-
28,Payout Ratio,39.56%,-,193.81%,-,-,-,-,-,-,-,-,-,268.77%,268.77%
29,Buyback Yield / Dilution,-28.92%,-22.47%,-29.20%,-31.57%,-33.67%,-14.49%,-,-,1.08%,-5.10%,-,-,-,-
30,Total Shareholder Return,-28.16%,-22.47%,-29.20%,-31.57%,-33.06%,-14.49%,-,-,1.08%,-5.10%,-,-,-,-
