,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,122.79,162.43,234.62,94.46,118.86,145.25,221.8,90.27,121.43,166.98,166.98,138.72,138.72
1,Other Revenue,-0.38,0.38,-,1.37,-0.75,0.75,-,1.47,-,-,-,0.5,0.5
2,Revenue,122.41,162.81,234.62,95.83,118.11,146,221.8,91.74,121.43,166.98,166.98,139.21,139.21
3,Revenue Growth (YoY),3.65%,11.51%,5.78%,4.45%,-2.73%,-12.56%,32.83%,-34.10%,-12.78%,-,-,-,-
4,Cost of Revenue,61.71,72.12,87.26,44.43,36.03,64.82,80.14,42.63,176.84,-,-,44.93,44.93
5,Gross Profit,60.7,90.69,147.37,51.4,82.08,81.18,141.66,49.11,-55.42,166.98,166.98,94.29,94.29
6,"Selling, General & Admin",54.25,65.64,76.29,48.95,64.58,62.42,64.94,43.38,176.25,-,-,59.61,59.61
7,Research & Development,5.42,5.86,10.24,6.66,6.97,5.6,10.33,6.21,20.96,-,-,5.64,5.64
8,Other Operating Expenses,-2.42,1.72,3.19,-0.67,0.23,-0.37,2.44,3.77,-260.15,131.02,131.02,2.2,2.2
9,Operating Expenses,56.27,75.57,89.01,53.95,71.29,70.09,77.64,52.48,-62.26,131.02,131.02,67.77,67.77
10,Operating Income,4.43,15.12,58.36,-2.55,10.79,11.09,64.02,-3.37,6.85,35.96,35.96,26.52,26.52
11,Interest Expense,-0.05,-,-0.04,-0.03,-,-0.04,-0.04,-0.08,-0.08,-,-,-0.16,-0.16
12,Interest & Investment Income,8,7.15,7.21,5.38,3.36,2.94,2.3,2.93,5.86,-,-,3.43,3.43
13,Other Non Operating Income (Expenses),-2.19,-0.08,-,-0.07,0.12,-0.09,-1.02,0.18,0.66,-0.46,-0.46,3.49,3.49
14,EBT Excluding Unusual Items,10.19,22.19,65.53,2.72,14.28,13.89,65.26,-0.33,13.29,35.5,35.5,33.28,33.28
15,Gain (Loss) on Sale of Investments,3.04,-1.12,1.45,1.2,-0.75,0.5,0.1,-0.35,-0.12,-,-,-1.26,-1.26
16,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-0,-,-,-,-,-
