,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2019
,Period Ending,"Mar '25 Mar 7, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '19 Mar 31, 2019"
0,Market Capitalization,12907,9909,10755,11185,14931,16396,18093,-,-,-,-,-,-,-
1,Market Cap Growth,-39.56%,-39.56%,-40.55%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,10971,7974,9083,9218,12931,14396,17915,-,-,-,-,-,-,-
3,Last Close Price,30.66,23.54,25.30,26.31,34.42,37.80,41.71,-,-,-,-,-,-,-
4,PE Ratio,31.94,24.54,21.07,22.09,28.26,32.64,49.20,-,-,-,-,-,-,-
5,Forward PE,18.90,14.99,15.14,15.52,21.24,24.99,29.24,-,-,-,-,-,-,-
6,PS Ratio,2.02,1.55,1.71,1.85,2.55,2.97,3.72,-,-,-,-,-,-,-
7,PB Ratio,3.89,2.96,3.22,3.32,4.25,4.83,5.99,-,-,-,-,-,-,-
8,P/TBV Ratio,3.06,3.06,3.32,3.43,4.38,4.98,6.14,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,67.17,-141.10,-,78.30,115.65,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,20.59,27.50,-,22.54,27.18,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.72,1.25,1.44,1.53,2.21,2.61,3.68,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,19.28,13.87,13.61,14.64,20.01,24.36,42.48,-,-,-,-,-,-,-
13,EV/EBIT Ratio,21.97,15.97,15.35,16.44,22.13,26.88,48.01,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,56.73,-116.29,-,68.75,114.51,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.20,0.20,0.20,0.19,0.16,0.18,0.17,0.56,0.55,0.49,-,-,0.32,0.04
16,Debt / EBITDA Ratio,1.15,1.18,1.09,1.25,0.86,0.63,1.16,1.23,1.38,1.73,-,-,0.68,0.25
17,Debt / FCF Ratio,-,-,4.09,-7.91,-,2.96,3.31,-11.29,-,-,-,-,-,-
18,Asset Turnover,-,0.89,0.80,0.76,1.12,0.97,1.14,1.03,-,-,-,-,-,
19,Inventory Turnover,-,-,4.96,4.39,4.00,4.98,3.72,4.02,3.62,-,-,-,-,-
20,Quick Ratio,-,-,1.27,1.36,1.35,1.32,1.24,0.82,0.82,0.77,-,-,-,1.08
21,Current Ratio,-,-,1.58,1.73,1.73,1.69,1.70,1.25,1.21,1.16,-,-,-,1.68
22,Return on Equity (ROE),11.90%,9.96%,12.24%,13.38%,27.31%,14.19%,40.41%,31.41%,-,-,-,-,-,
23,Return on Assets (ROA),-,4.60%,3.42%,5.18%,7.72%,4.58%,7.07%,6.24%,-,-,-,-,-,
24,Return on Capital (ROIC),7.56%,8.27%,5.95%,9.25%,14.13%,9.18%,16.09%,15.23%,-,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,15.98%,15.05%,15.07%,14.29%,10.96%,23.42%,23.41%,24.41%,-,-,-,3.12%
26,Earnings Yield,3.13%,4.07%,4.75%,4.53%,3.54%,3.06%,2.03%,-,-,-,-,-,-,-
27,FCF Yield,-,1.49%,-0.71%,0.21%,1.28%,0.86%,-,-,-,-,-,-,-,
28,Dividend Yield,1.68%,-,-,3.26%,-,1.59%,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,18.13%,233.54%,1.84%,2.43%,2.92%,3.20%,4.37%,5.32%,3.58%,5.27%,5.55%,1.58%
30,Buyback Yield / Dilution,-6.33%,0.33%,-2.91%,-13.35%,-10.35%,-9.18%,-9.78%,0.50%,-0.36%,10.21%,-,-,-,-
31,Total Shareholder Return,-4.65%,0.33%,-2.91%,-10.09%,-10.35%,-7.60%,-9.78%,0.50%,-0.36%,10.21%,-,-,-,-
