,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2019
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '19 Mar 31, 2019"
0,Operating Revenue,2019,1752,1241,1367,1524,1505,1044,1044,1057,1059,821.34,676.09,130.97
1,Other Revenue,-,-162.67,162.67,-,406.06,-165.9,165.9,-,219.38,-4.87,4.87,-,1.2
2,Revenue,2019,1589,1404,1367,1930,1339,1210,1044,1276,1054,826.21,676.09,132.17
3,Revenue Growth (YoY),4.64%,18.68%,15.98%,30.99%,51.17%,27.02%,46.49%,54.40%,865.78%,-,-,-,-
4,Cost of Revenue,-3501,1279,1119,1103,1523,1086,979.1,859.75,1074,833.65,666.79,532.66,91.59
5,Gross Profit,5520,310.18,284.94,263.98,406.33,253.04,231.21,184.14,202.58,220.34,159.42,143.42,40.58
6,"Selling, General & Admin",-240.67,88.63,84.24,67.81,85.86,69.78,59.07,51.82,61.58,47.49,40.24,33.6,14.16
7,Research & Development,-279.98,101.27,97.42,81.29,72.31,86.65,57.95,52.07,60.65,54.74,37.42,38.6,15.49
8,Other Operating Expenses,5932,-26.43,-0.6,-25.19,6.76,-9.82,-5.83,-18.16,19.41,-23.78,-4.17,-11.83,-1.83
9,Operating Expenses,5399,177.93,188.72,114.14,192.84,151.99,111.35,82.93,151.56,87.86,81.8,64.86,28.08
10,Operating Income,120.96,132.26,96.22,149.83,213.49,101.06,119.86,101.21,51.02,132.49,77.62,78.56,12.5
11,Interest Expense,-27.32,-4.07,-4.63,-4.19,-,-5.81,-6.33,-4.95,-5.2,-3.46,-4.08,-3.85,-0.31
12,Interest & Investment Income,12.89,10.45,6.33,10.55,9.45,5.33,1.65,1.39,1.16,1.24,0.8,1.16,0.14
13,Currency Exchange Gain (Loss),-,5.72,-5.72,-,0.11,-5.58,5.58,-,-18.28,10.02,-10.02,-,-0.42
14,Other Non Operating Income (Expenses),6.72,-2.46,3.72,-8.04,6.78,-6.86,-3.55,2.13,18.75,-19.32,-0.58,-0.71,-0.04
15,EBT Excluding Unusual Items,113.24,141.89,95.92,148.16,229.84,88.13,117.2,99.78,47.46,120.96,63.75,75.18,11.86
16,Gain (Loss) on Sale of Investments,-9.52,4.15,4.59,0.78,0.54,-0.74,-0.4,-0.4,-0.33,-0.34,-0.15,-,-0.03
17,Gain (Loss) on Sale of Assets,0.31,0.04,-0.04,-0.31,-18.6,0.33,-0.39,-,-0.31,0.02,-0.01,-,-
18,Asset Writedown,30.59,-30.59,1.1,-1.1,0.33,-1.63,8.09,-8.09,16.64,-16.66,7.21,-7.21,-0.02
19,Other Unusual Items,-,-6.91,6.91,-,39.82,-1.82,1.82,-,25.97,-3.05,3.05,-,2.44
20,Pretax Income,134.62,108.58,108.48,147.53,251.92,84.26,126.34,91.29,89.44,100.94,73.85,67.97,14.25
21,Income Tax Expense,35.07,25.04,3.25,32.05,32.94,8.34,5.32,5.51,8.23,11.31,7.29,11.64,1.56
22,Earnings From Continuing Operations,99.54,83.54,105.23,115.48,218.98,75.92,121.02,85.78,81.21,89.63,66.56,56.33,12.69
23,Minority Interest in Earnings,8.11,-3.12,-3.72,-1.28,-4.61,0.31,2.63,2.38,-1.49,0.48,1.04,0.96,-
24,Net Income,107.66,80.42,101.5,114.2,214.37,76.23,123.64,88.16,79.72,90.1,67.61,57.29,12.69
25,Net Income to Common,107.66,80.42,101.5,114.2,214.37,76.23,123.64,88.16,79.72,90.1,67.61,57.29,12.69
26,Net Income Growth,-49.78%,5.50%,-17.91%,29.54%,168.91%,-15.40%,82.89%,53.89%,528.19%,-,-,-,-
27,Shares Outstanding (Basic),413,423,423,423,415,411,373,383,380,375,375,382,423
28,Shares Outstanding (Diluted),413,423,423,423,415,411,373,383,380,375,375,382,423
29,Shares Change (YoY),-0.33%,2.91%,13.35%,10.35%,9.18%,9.78%,-0.50%,0.36%,-10.21%,-,-,-,-
30,EPS (Basic),0.26,0.19,0.24,0.27,0.52,0.19,0.33,0.23,0.21,0.24,0.18,0.15,0.03
31,EPS (Diluted),0.26,0.19,0.24,0.27,0.52,0.19,0.33,0.23,0.21,0.24,0.18,0.15,0.03
32,EPS Growth,-49.62%,2.52%,-27.57%,17.39%,146.29%,-22.93%,83.81%,53.33%,599.66%,-,-,-,-
33,Free Cash Flow,-,295.32,106.34,-243.86,2.33,55.93,216.73,-65.59,-50.62,-163.32,15.3,-72.06,-95.73
34,Free Cash Flow Per Share,-,0.70,0.25,-0.58,0.01,0.14,0.58,-0.17,-0.13,-0.44,0.04,-0.19,-0.23
35,Dividend Per Share,-,-,0.257,-,0.600,-,-,-,-,-,-,-,-
36,Gross Margin,273.37%,19.52%,20.30%,19.31%,21.06%,18.90%,19.10%,17.64%,15.87%,20.91%,19.30%,21.21%,30.70%
37,Operating Margin,5.99%,8.32%,6.86%,10.96%,11.06%,7.55%,9.90%,9.70%,4.00%,12.57%,9.39%,11.62%,9.46%
38,Profit Margin,5.33%,5.06%,7.23%,8.35%,11.11%,5.69%,10.22%,8.45%,6.25%,8.55%,8.18%,8.47%,9.60%
39,Free Cash Flow Margin,-,18.59%,7.58%,-17.83%,0.12%,4.18%,17.91%,-6.28%,-3.97%,-15.50%,1.85%,-10.66%,-72.43%
40,EBITDA,138.4,149.7,119.67,167.28,230.94,111.87,136.03,112.03,61.84,139.51,87.14,85.58,15.06
41,EBITDA Margin,6.85%,9.42%,8.53%,12.23%,11.97%,8.36%,11.24%,10.73%,4.84%,13.24%,10.55%,12.66%,11.39%
42,D&A For EBITDA,17.44,17.44,23.44,17.44,17.44,10.82,16.17,10.82,10.82,7.02,9.52,7.02,2.56
43,EBIT,120.96,132.26,96.22,149.83,213.49,101.06,119.86,101.21,51.02,132.49,77.62,78.56,12.5
44,EBIT Margin,5.99%,8.32%,6.86%,10.96%,11.06%,7.55%,9.90%,9.70%,4.00%,12.57%,9.39%,11.62%,9.46%
45,Effective Tax Rate,26.05%,23.06%,3.00%,21.72%,13.07%,9.90%,4.21%,6.03%,9.20%,11.21%,9.87%,17.13%,10.93%
46,Revenue as Reported,-,1589,1404,1367,1930,1339,1210,1044,1276,1054,826.21,676.09,-
