,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2019
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '19 Mar 31, 2019"
0,Cash & Equivalents,-,1327,936.15,1070,1557,2508,884.24,553.63,532.93,-,-,-,150.35
1,Short-Term Investments,-,-,-,-,-,-,0.02,-,6.02,-,-,-,-
2,Trading Asset Securities,-,1289,1384,1489,1149,20.2,15.12,-,-,-,-,-,-
3,Cash & Short-Term Investments,2616,2616,2320,2559,2706,2528,899.38,553.63,538.95,-,-,358.21,150.35
4,Cash Growth,-3.32%,3.48%,157.94%,362.18%,402.02%,-,-,54.56%,258.46%,-,-,-,-
5,Accounts Receivable,-,2168,1897,1962,1873,1413,1292,1476,1463,-,-,-,229.58
6,Other Receivables,-,45.28,14.04,17.98,25.22,20.95,31.73,32.08,44.13,-,-,-,8.93
7,Receivables,-,2213,1911,1980,1898,1434,1323,1508,1508,-,-,-,238.51
8,Inventory,-,1066,995.92,1044,1165,1283,1049,898.58,1001,-,-,-,194.04
9,Prepaid Expenses,-,-,20.57,-,-,-,0.91,-,-,-,-,-,-
10,Other Current Assets,-,125.44,142.88,216.74,106.93,173.22,97.19,64.02,48.18,-,-,-,17.95
11,Total Current Assets,-,6020,5391,5799,5875,5418,3370,3024,3096,-,-,-,600.84
12,"Property, Plant & Equipment",-,1186,1133,1082,996.48,882.55,796.53,757.89,669.35,-,-,-,78.67
13,Long-Term Investments,-,99.08,97.12,100.62,103.85,102.19,113.93,114.4,114.84,-,-,-,0.44
14,Goodwill,-,5.36,5.36,5.36,5.36,5.36,4.16,4.16,4.16,-,-,-,-
15,Other Intangible Assets,-,76.9,77.92,78.76,78.36,60.34,60.56,61.27,61.77,-,-,-,27.93
16,Long-Term Deferred Tax Assets,-,1.28,2.61,3.18,0.24,3.54,3.61,4.05,0.07,-,-,-,8.92
17,Long-Term Deferred Charges,-,29.51,33.06,39.35,41.71,31.95,-,28.12,28.01,-,-,-,3.72
18,Other Long-Term Assets,-,99.96,105.28,117.4,129.38,94.73,76.72,58.12,84.76,-,-,-,39.12
19,Total Assets,-,7518,6845,7226,7231,6598,4425,4052,4058,-,-,-,759.66
20,Accounts Payable,-,2891,2375,2668,2694,2663,2118,1967,2061,-,-,-,315.93
