,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Revenue,140.42,130.29,-,104.77,154.16,150.05,127.7,120.11,98.74,52.13,101,104.81
1,Revenue Growth (YoY),-8.92%,-13.17%,-,-12.77%,56.13%,187.86%,26.43%,14.60%,-,-,-,-
2,Cost of Revenue,-379.22,119.79,-,96.42,206.75,122.28,127.29,91.75,89.1,14.33,112.9,90.43
3,Gross Profit,519.64,10.51,-,8.35,-52.58,27.77,0.41,28.37,9.64,37.79,-11.9,14.38
4,"Selling, General & Admin",-88.34,28.63,-,27.94,31.64,34.39,39.72,33.44,27.89,52.41,55.8,35
5,Research & Development,-209.63,68.91,-,65.9,85.27,87.06,78.16,69.6,57.71,68.46,74.22,59.15
6,Other Operating Expenses,911.18,-6.43,-,-5.54,5.73,-1.91,-3.11,-0.4,14,-2.74,-7.97,-3.04
7,Operating Expenses,609.78,91.5,-,88.02,122.88,120.05,114.61,102.92,99.44,118.6,122.09,91.07
8,Operating Income,-90.14,-80.99,-,-79.67,-175.46,-92.28,-114.2,-74.55,-89.8,-80.81,-134,-76.69
9,Interest Expense,-14.67,-0.68,-,-0.44,-0.32,-0.11,-0.06,-0.08,-0.12,-0.14,-0.29,-0.06
10,Interest & Investment Income,1.58,5.36,-,5.94,1.98,9.04,8.25,1.17,4.13,4.46,10.72,2.1
11,Currency Exchange Gain (Loss),-,-3.42,-,-,1.04,-4.43,4.43,-,-1.01,-1.31,1.31,-
12,Other Non Operating Income (Expenses),2.74,-2.67,-,2.13,-4.7,3.85,-0.39,-0.21,-2.33,2.63,-0.67,-0.15
13,EBT Excluding Unusual Items,-100.49,-82.41,-,-72.05,-177.47,-83.94,-101.97,-73.67,-89.13,-75.17,-122.92,-74.81
14,Gain (Loss) on Sale of Investments,-12.44,3.06,-,3.9,7.75,-,-,-,-,-,0.01,-0.01
15,Gain (Loss) on Sale of Assets,-0.02,-0,-,-,-0.03,-,0.17,0.08,0.01,0.01,0.01,-
16,Asset Writedown,29.99,-29.99,-,-12.88,50.69,-50.7,-2.15,2.15,34.48,-34.48,15.25,-15.25
17,Other Unusual Items,0.44,-5.59,-,0.02,21.65,-,-,-,24.76,-,-,-
18,Pretax Income,-82.52,-114.93,-,-81.01,-97.41,-134.64,-103.94,-71.44,-29.88,-109.65,-107.65,-90.06
19,Income Tax Expense,59,0.01,-,0.13,1.07,-,5.84,-5.84,-2.35,-9.83,-8.55,-11.6
20,Net Income,-141.52,-114.94,-,-81.14,-98.49,-134.64,-109.79,-65.6,-27.53,-99.82,-99.09,-78.47
21,Net Income to Common,-141.52,-114.94,-,-81.14,-98.49,-134.64,-109.79,-65.6,-27.53,-99.82,-99.09,-78.47
22,Shares Outstanding (Basic),456,460,466,451,446,458,406,410,395,400,397,392
23,Shares Outstanding (Diluted),456,460,466,451,446,458,406,410,395,400,397,392
24,Shares Change (YoY),2.20%,0.35%,14.92%,9.95%,12.85%,14.69%,2.25%,4.50%,-,-,-,-
25,EPS (Basic),-0.31,-0.25,-,-0.18,-0.22,-0.29,-0.27,-0.16,-0.07,-0.25,-0.25,-0.20
26,EPS (Diluted),-0.31,-0.25,-,-0.18,-0.22,-0.29,-0.27,-0.16,-0.07,-0.25,-0.25,-0.20
27,Free Cash Flow,-,-61.22,-170.19,-102.26,-47.18,-148.31,-34.87,-33.84,-41.42,-125.27,-168.02,-184.51
28,Free Cash Flow Per Share,-,-0.13,-0.36,-0.23,-0.11,-0.32,-0.09,-0.08,-0.10,-0.31,-0.42,-0.47
29,Gross Margin,370.07%,8.06%,-,7.97%,-34.11%,18.51%,0.32%,23.62%,9.76%,72.50%,-11.78%,13.72%
30,Operating Margin,-64.19%,-62.16%,-,-76.04%,-113.81%,-61.50%,-89.43%,-62.06%,-90.94%,-155.02%,-132.67%,-73.17%
31,Profit Margin,-100.78%,-88.21%,-,-77.44%,-63.88%,-89.73%,-85.97%,-54.61%,-27.88%,-191.50%,-98.11%,-74.86%
32,Free Cash Flow Margin,-,-46.99%,-,-97.60%,-30.60%,-98.84%,-27.30%,-28.17%,-41.95%,-240.32%,-166.35%,-176.04%
33,EBITDA,-85.68,-76.54,-,-75.22,-171.01,-88.32,-109.16,-70.59,-85.83,-79.19,-130.53,-75.07
34,EBITDA Margin,-61.02%,-58.74%,-,-71.79%,-110.92%,-58.86%,-85.48%,-58.77%,-86.93%,-151.91%,-129.24%,-71.62%
35,D&A For EBITDA,4.45,4.45,5.94,4.45,4.45,3.96,5.04,3.96,3.96,1.62,3.46,1.62
36,EBIT,-90.14,-80.99,-,-79.67,-175.46,-92.28,-114.2,-74.55,-89.8,-80.81,-134,-76.69
37,EBIT Margin,-64.19%,-62.16%,-,-76.04%,-113.81%,-61.50%,-89.43%,-62.06%,-90.94%,-155.02%,-132.67%,-73.17%
38,Revenue as Reported,-,130.29,-,104.77,154.16,150.05,127.7,120.11,98.74,52.13,101,104.81
