,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,4792,4566,3958,3865,5226,8872,8326,9358,-,-,-,-,-
1,Market Cap Growth,-48.53%,-48.53%,-52.46%,-58.70%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4091,3866,3296,3460,4140,7786,6680,9128,-,-,-,-,-
3,Last Close Price,10.40,9.91,8.59,8.49,11.48,19.49,18.29,20.68,-,-,-,-,-
4,PS Ratio,9.09,12.16,10.17,-,9.74,16.07,16.77,23.47,-,-,-,-,-
5,PB Ratio,2.47,2.35,2.04,1.90,2.48,4.09,3.70,3.97,-,-,-,-,-
6,P/TBV Ratio,2.53,2.53,2.19,2.04,2.64,4.36,3.94,4.22,-,-,-,-,-
7,EV/Sales Ratio,7.81,10.30,8.47,-,7.71,14.10,13.45,22.90,-,-,-,-,-
8,Debt / Equity Ratio,0.07,0.07,0.07,0.04,0.02,0.02,0.00,0.00,0.00,0.01,-,-,0.01
9,Asset Turnover,-,0.23,-,0.18,0.26,0.24,0.25,0.30,-,-,-,-,
10,Inventory Turnover,-,-,0.99,-,0.81,1.74,0.97,0.97,0.72,-,-,-,-
11,Quick Ratio,-,-,4.65,6.10,3.77,9.11,11.12,15.14,2.56,8.50,-,-,-
12,Current Ratio,-,-,7.45,10.46,11.94,14.29,21.36,20.51,13.26,16.06,-,-,-
13,Return on Equity (ROE),-29.17%,-23.14%,-,-15.16%,-17.82%,-23.39%,-23.41%,-18.59%,-,-,-,-,
14,Return on Assets (ROA),-,-8.80%,-,-8.41%,-18.18%,-9.25%,-13.82%,-11.76%,-,-,-,-,
15,Return on Capital (ROIC),-10.81%,-9.63%,-,-9.13%,-19.63%,-9.98%,-15.15%,-13.13%,-,-,-,-,
16,Earnings Yield,-9.18%,-7.39%,-7.44%,-,-8.11%,-4.60%,-4.05%,-3.24%,-,-,-,-,-
17,FCF Yield,-,-9.62%,-12.11%,-6.36%,-2.98%,-3.10%,-2.52%,-,-,-,-,-,
18,Buyback Yield / Dilution,-6.56%,-2.20%,-0.35%,-14.92%,-9.95%,-12.85%,-14.69%,-2.25%,-4.50%,-,-,-,-
19,Total Shareholder Return,-6.56%,-2.20%,-0.35%,-14.92%,-9.95%,-12.85%,-14.69%,-2.25%,-4.50%,-,-,-,-
