,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,844.25,749.35,444.51,897.71,1095,954.53,236.87,676.23,-,-,-
1,Short-Term Investments,-,-,-,-,-,-,702.17,-,-,-,-,-
2,Trading Asset Securities,-,-,-,-,50.06,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,844.25,844.25,749.35,444.51,947.78,1095,1657,236.87,676.23,-,-,1190
4,Cash Growth,-10.92%,-22.93%,-54.77%,87.66%,40.16%,-,-,-80.09%,-,-,-,-
5,Accounts Receivable,-,99.07,82.47,16.98,23.5,10.26,9.37,9.06,7.26,-,-,-
6,Other Receivables,-,3.38,3.46,3.72,3.56,3.96,1.53,1.87,1.56,-,-,-
7,Receivables,-,102.45,85.92,20.7,27.06,14.22,10.91,10.94,8.82,-,-,-
8,Inventory,-,478.26,490.58,498.44,451.53,499.87,509.73,535.66,489.64,-,-,-
9,Other Current Assets,-,90.88,107.37,510.88,102.57,522.28,81.52,501.24,120,-,-,-
10,Total Current Assets,-,1516,1433,1475,1529,2132,2259,1285,1295,-,-,-
11,"Property, Plant & Equipment",-,137.27,125.06,114.46,101.92,58.64,46.24,40.47,43.57,-,-,-
12,Long-Term Investments,-,398.36,496.79,2,509.68,2,2,2,2,-,-,-
13,Other Intangible Assets,-,132.65,134.2,133.92,135.29,136.83,138.37,139.8,141.33,-,-,-
14,Long-Term Deferred Tax Assets,-,61.1,61.11,61.08,61.2,62.27,62.27,68.12,62.27,-,-,-
15,Long-Term Deferred Charges,-,5.83,6.43,0.3,0.59,0.99,1.49,2.12,2.82,-,-,-
16,Other Long-Term Assets,-,47.27,44.77,559.43,55.29,40.7,43.11,41.13,44.85,-,-,-
17,Total Assets,-,2298,2302,2346,2393,2433,2552,1578,1592,-,-,-
18,Accounts Payable,-,92.48,32.12,76.34,21.85,32.84,29.41,22.69,7.37,-,-,-
19,Accrued Expenses,-,43.3,54.58,32.36,61.52,45.26,57.97,49.58,50.41,-,-,-
20,Short-Term Debt,-,57.36,23.47,-,-,-,0.2,-,-,-,-,-
21,Current Portion of Long-Term Debt,-,-,0.02,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,-,8.75,8.14,6.38,5.85,5.13,5.65,4.61,6.54,-,-,-
23,Current Income Taxes Payable,-,1.36,-,3.02,-,1.66,-,0.56,-,-,-,-
24,Current Unearned Revenue,-,0.14,0.01,0.5,4.28,9.99,3.88,14.54,6.97,-,-,-
25,Other Current Liabilities,-,0.1,18.64,4.93,13.47,4.93,13.03,4.9,9.31,-,-,-
26,Total Current Liabilities,-,203.5,136.98,123.53,106.98,99.81,110.15,96.89,80.61,-,-,-
27,Long-Term Debt,-,48.9,24.44,-,-,-,-,-,-,-,-,-
28,Long-Term Leases,-,28.71,31.24,33.42,33.91,4.06,4.87,2.3,3.02,-,-,-
29,Long-Term Unearned Revenue,-,76.44,76.56,77.68,80.27,80.32,82.32,82.37,82.37,-,-,-
30,Total Liabilities,-,357.54,269.22,234.62,221.17,184.18,197.33,181.56,166,-,-,-
31,Common Stock,-,460.76,457.97,455.2,455.2,455.2,452.51,398.21,398.21,-,-,-
32,Additional Paid-In Capital,-,2739,2719,2698,2677,2656,2630,1617,1580,-,-,-
33,Retained Earnings,-,-1259,-1144,-1042,-960.95,-862.47,-727.83,-618.04,-552.44,-,-,-
34,Shareholders' Equity,1941,1941,2032,2111,2172,2249,2355,1397,1426,-,-,1561
35,Total Liabilities & Equity,-,2298,2302,2346,2393,2433,2552,1578,1592,-,-,-
36,Total Debt,143.72,143.72,87.31,39.8,39.77,9.19,10.72,6.92,9.56,-,-,17.59
37,Net Cash (Debt),700.54,700.54,662.04,404.72,908.01,1086,1646,229.96,666.67,-,-,1172
38,Net Cash Growth,-22.85%,-35.51%,-59.78%,76.00%,36.20%,-,-,-80.39%,-,-,-,-
39,Net Cash Per Share,1.54,1.52,1.42,0.90,2.04,2.37,4.06,0.56,1.69,-,-,2.99
40,Filing Date Shares Outstanding,455.78,460.76,457.97,455.2,455.2,455.2,452.51,398.21,398.21,399.62,396.83,392.33
41,Total Common Shares Outstanding,455.78,460.76,457.97,455.2,455.2,455.2,452.51,398.21,398.21,399.62,396.83,392.33
42,Working Capital,-,1312,1296,1351,1422,2032,2149,1188,1214,-,-,-
43,Book Value Per Share,4.21,4.21,4.44,4.64,4.77,4.94,5.20,3.51,3.58,-,-,4.04
44,Tangible Book Value,1808,1808,1898,1977,2036,2112,2217,1257,1284,-,-,1553
45,Tangible Book Value Per Share,3.92,3.92,4.14,4.34,4.47,4.64,4.90,3.16,3.22,-,-,4.02
46,Machinery,-,-,93.31,-,87.11,-,69.98,-,61.8,-,-,-
47,Construction In Progress,-,-,47.4,-,16.79,-,1.26,-,0.29,-,-,-
