,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,241,163,155,98,135,208,157,123,110,91,94
1,Market Cap Growth,66.67%,66.67%,15.15%,-52.94%,-14.29%,70.00%,42.59%,35.14%,16.88%,-57.31%,-58.75%
2,Enterprise Value,103,38,25,15,26,113,88,35,37,35,44
3,Last Close Price,0.59,0.34,0.33,0.18,0.25,0.35,0.26,0.18,0.16,0.12,0.13
4,PE Ratio,6.97,4.73,5.45,4.44,15.87,7.17,3.98,5.38,19.84,-6.52,-
5,PS Ratio,0.39,0.27,0.26,0.18,0.30,0.38,0.25,0.23,0.27,0.18,0.12
6,PB Ratio,0.88,0.60,0.61,0.38,0.55,0.84,0.61,0.50,0.47,0.39,0.40
7,P/TBV Ratio,0.60,0.60,0.60,0.37,0.55,0.83,0.61,0.50,0.47,0.39,0.40
8,P/FCF Ratio,9.00,6.10,2.55,2.20,-,3.30,6.26,-,2.84,2.22,3.22
9,P/OCF Ratio,4.99,4.99,2.44,2.00,-,2.58,4.22,-,2.76,2.18,2.80
10,EV/Sales Ratio,0.17,0.06,0.04,0.03,0.06,0.21,0.14,0.07,0.09,0.07,0.06
11,EV/EBITDA Ratio,2.04,0.80,0.64,0.43,1.84,2.63,1.38,0.84,1.71,-7.55,-
12,EV/EBIT Ratio,2.66,0.99,0.82,0.57,4.10,3.09,1.55,1.01,2.50,-2.57,-
13,EV/FCF Ratio,3.86,1.43,0.42,0.33,-,1.79,3.51,-,0.96,0.86,1.49
14,Debt / Equity Ratio,0.08,0.08,0.08,0.08,0.10,0.10,0.09,0.10,0.10,0.11,0.13
15,Debt / FCF Ratio,0.78,0.78,0.35,0.49,-,0.40,0.90,-,0.63,0.62,1.03
16,Return on Capital Employed (ROCE),13.44%,13.44%,11.24%,9.25%,2.40%,13.52%,20.36%,13.08%,5.73%,-5.40%,-
17,Earnings Yield,14.34%,21.15%,18.36%,22.52%,6.30%,13.96%,25.14%,18.58%,5.04%,-15.34%,11.74%
18,FCF Yield,11.11%,16.38%,39.20%,45.42%,11.10%,30.26%,15.98%,2.24%,35.19%,45.07%,31.08%
19,Dividend Yield,13.56%,14.50%,12.21%,10.94%,-,8.65%,13.37%,8.31%,-,-,-
20,Total Shareholder Return,13.56%,14.50%,12.21%,10.94%,-,8.65%,13.37%,8.31%,-,-,-
