,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,113.52,111.1,107.19,127.87,138.81,165.19,198.16,199.86,156.85,208.76,208.76,88.49,88.49
1,Other Revenue,-0.06,0.06,-,0.22,-0.16,0.16,-,0.25,-0.12,0.06,0.06,-,-
2,Revenue,113.47,111.15,107.19,128.09,138.64,165.35,198.16,200.11,156.73,208.82,208.82,88.49,88.49
3,Revenue Growth (YoY),-18.16%,-32.78%,-45.91%,-35.99%,-11.54%,-20.81%,-5.10%,126.13%,77.11%,-,-,-,-
4,Cost of Revenue,77.5,78.05,71.2,57.09,89.18,103.01,128.76,91.1,145.97,113.6,113.6,61.86,61.86
5,Gross Profit,35.97,33.1,35.99,71,49.46,62.34,69.4,109.01,10.76,95.22,95.22,26.63,26.63
6,"Selling, General & Admin",12.25,11.18,11.36,39.47,8.65,7.09,7.08,41.45,-18.67,9.34,9.34,7.92,7.92
7,Research & Development,4.21,4.31,5.31,25.51,5.59,5.88,4.06,29.12,-13.71,6.86,6.86,3.05,3.05
8,Other Operating Expenses,1.43,0.74,1.04,3.8,-0.52,0.24,0.23,5.23,-3.01,1.5,1.5,1.1,1.1
9,Operating Expenses,18.3,15.59,17.58,68.28,12.88,12.92,12.21,76.53,-36.8,18.4,18.4,12.09,12.09
10,Operating Income,17.67,17.51,18.42,2.72,36.58,49.42,57.19,32.47,47.56,76.82,76.82,14.54,14.54
11,Interest Expense,-,-0.07,-0.39,-1.42,-0.4,-0.32,-0.28,-1.93,-0.27,-0.54,-0.54,-0.61,-0.61
