,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2768,2823,2528,3414,4224,-,-,-,-,-,-,-,-,-
1,Enterprise Value,1857,1910,1525,2396,4021,-,-,-,-,-,-,-,-,-
2,Last Close Price,22.70,22.91,20.52,26.82,33.18,-,-,-,-,-,-,-,-,-
3,PE Ratio,34.53,37.59,27.99,30.07,29.84,-,-,-,-,-,-,-,-,-
4,PS Ratio,5.64,6.14,5.21,6.33,6.70,-,-,-,-,-,-,-,-,-
5,PB Ratio,1.91,1.95,1.74,2.22,2.79,-,-,-,-,-,-,-,-,-
6,P/TBV Ratio,1.98,1.98,1.77,2.25,2.83,-,-,-,-,-,-,-,-,-
7,P/FCF Ratio,54.29,89.89,72.63,-,-,-,-,-,-,-,-,-,-,-
8,P/OCF Ratio,34.58,40.66,31.45,54.87,-,-,-,-,-,-,-,-,-,-
9,EV/Sales Ratio,4.04,4.15,3.14,4.44,6.38,-,-,-,-,-,-,-,-,-
10,EV/EBITDA Ratio,21.57,23.14,15.08,18.18,23.61,-,-,-,-,-,-,-,-,-
11,EV/EBIT Ratio,30.84,33.92,20.28,22.36,27.56,-,-,-,-,-,-,-,-,-
12,EV/FCF Ratio,36.44,60.83,43.83,-,-,-,-,-,-,-,-,-,-,-
13,Debt / Equity Ratio,-,-,-,0.02,0.03,-,0.05,0.05,0.05,0.06,0.06,0.06,0.26,0.26
14,Debt / EBITDA Ratio,-,-,-,0.30,1.25,-,0.15,0.11,0.18,0.15,0.10,0.10,0.83,0.83
15,Debt / FCF Ratio,-,-,-,-,-,-,-,0.38,-,-,0.60,1.44,-,-
16,Asset Turnover,0.30,0.28,0.26,-,-,-,-,-,-,1.32,-,0.96,-,
17,Inventory Turnover,-,2.65,2.80,2.53,-,-,-,-,-,-,4.71,-,3.56,-
18,Quick Ratio,13.49,13.49,15.00,14.88,7.58,-,2.03,-,1.84,-,2.38,2.38,1.03,1.03
19,Current Ratio,15.35,15.35,16.99,16.51,8.46,-,3.01,-,3.04,-,3.42,3.42,1.89,1.89
20,Return on Equity (ROE),5.13%,5.53%,5.83%,-,-,28.75%,35.58%,24.81%,30.56%,55.88%,-,20.06%,-,
21,Return on Assets (ROA),2.90%,2.79%,2.80%,-,-,-,-,-,-,30.31%,-,9.82%,-,
22,Return on Capital (ROIC),3.05%,2.90%,2.94%,-,-,19.23%,24.10%,14.49%,22.57%,36.45%,-,11.73%,-,
23,Return on Capital Employed (ROCE),4.15%,3.88%,5.17%,6.94%,9.60%,-,28.24%,-,39.73%,-,35.29%,20.45%,10.60%,5.30%
24,Earnings Yield,2.71%,2.66%,3.57%,3.33%,3.35%,-,-,-,-,-,-,-,-,-
25,FCF Yield,1.84%,1.11%,1.38%,0.58%,-,-,-,-,-,-,-,-,-,-
26,Dividend Yield,3.75%,-,-,-,2.58%,-,-,-,-,-,-,-,-,-
27,Payout Ratio,141.73%,2.38%,507.73%,1.90%,-,1.17%,0.73%,0.63%,-,-,0.79%,0.79%,105.99%,105.99%
28,Buyback Yield / Dilution,-22.86%,-29.45%,-69.83%,3.84%,-33.33%,-,0.25%,-0.22%,0.98%,-,-,-,-,-
29,Total Shareholder Return,-19.11%,-29.45%,-69.83%,3.84%,-30.75%,-,0.25%,-0.22%,0.98%,-,-,-,-,-
