,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,679.54,451.2,1032,1063,-,215.11,-,151.03,-,104.49,104.49,34.73,34.73
1,Trading Asset Securities,230,461.25,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,909.54,912.46,1032,1063,-,215.11,151.03,151.03,104.49,104.49,104.49,34.73,34.73
3,Cash Growth,-,324.18%,583.42%,604.13%,-,105.86%,44.53%,334.89%,200.89%,-,-,-,-
4,Accounts Receivable,73.2,83.53,80.12,99.25,-,134.94,-,128.64,-,170.91,170.91,63,63
5,Other Receivables,0.74,0.53,4.2,0.2,-,0.37,-,0.35,-,0.46,0.46,0.8,0.8
6,Receivables,73.94,84.06,84.32,99.45,-,135.31,-,128.99,-,171.37,171.37,63.81,63.81
7,Inventory,118.73,115.04,108.05,116.95,-,157.56,-,166.98,-,96.53,96.53,69.49,69.49
8,Other Current Assets,17.29,16.75,14.48,17.97,-,11.34,-,15.21,-,23.6,23.6,13.07,13.07
9,Total Current Assets,1119,1128,1239,1298,-,519.32,-,462.21,-,395.99,395.99,181.09,181.09
10,"Property, Plant & Equipment",372.2,364.66,348.44,344.73,-,276.43,-,245,-,210.86,210.86,163.6,163.6
11,Other Intangible Assets,21.38,21.64,21.91,22.17,-,22.71,-,23.21,-,22.89,22.89,23.69,23.69
12,Long-Term Deferred Tax Assets,5.39,4.48,5.54,6.03,-,0.88,-,1.26,-,0.93,0.93,0.32,0.32
13,Long-Term Deferred Charges,0.16,0.18,1.05,0.23,-,0.27,-,0.32,-,0.37,0.37,-,-
14,Other Long-Term Assets,4.91,3.42,1.8,2.62,-,13.64,-,8.33,-,2.58,2.58,1.5,1.5
15,Total Assets,1524,1523,1618,1674,-,833.25,-,740.34,-,633.62,633.62,370.21,370.21
16,Accounts Payable,27.11,33.24,23.47,55.8,-,70.31,-,57.04,-,30.73,30.73,23.02,23.02
17,Accrued Expenses,11.07,10.73,8.16,20.15,-,14.61,-,25.64,-,17.12,17.12,9.02,9.02
18,Short-Term Debt,-,-,19.56,14.91,-,3.63,-,8.01,-,12.14,12.14,36.04,36.04
19,Current Portion of Long-Term Debt,-,-,10,30,-,30,-,-,-,-,-,-,-
20,Current Income Taxes Payable,5.09,0.49,3.99,0.04,-,4.97,-,6.22,-,11.07,11.07,1.41,1.41
21,Current Unearned Revenue,9.85,4,1.36,3.4,-,3.83,-,8.22,-,5.47,5.47,2.31,2.31
22,Other Current Liabilities,19.8,17.97,8.52,29.08,-,45.01,-,47.14,-,39.3,39.3,23.91,23.91
23,Total Current Liabilities,72.92,66.43,75.05,153.38,-,172.37,-,152.26,-,115.82,115.82,95.71,95.71
24,Long-Term Debt,-,-,-,-,-,-,-,20,-,20,20,28,28
25,Long-Term Unearned Revenue,3.44,3.93,4.41,4.89,-,2.69,-,2.87,-,3.05,3.05,0.49,0.49
26,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,-,-,-,0.06,0.06
27,Total Liabilities,76.36,70.35,79.46,158.27,-,175.06,-,175.13,-,138.87,138.87,124.26,124.26
28,Common Stock,123.2,123.2,88,88,-,66,-,66,-,66,66,66,66
29,Additional Paid-In Capital,850.13,850.13,885.33,885.33,-,97.74,-,97.74,-,97.74,97.74,97.74,97.74
30,Retained Earnings,498.28,479.05,563.93,541.67,-,494.33,-,400.09,-,329.43,329.43,82.05,82.05
31,Treasury Stock,-25.75,-,-,-,-,-,-,-,-,-,-,-,-
32,Comprehensive Income & Other,1.99,-,1.03,0.33,-,0.12,-,1.38,-,1.58,1.58,0.15,0.15
33,Total Common Equity,1448,1452,1538,1515,-,658.19,565.21,565.21,494.75,494.75,494.75,245.95,245.95
34,Minority Interest,-0.68,-0.03,-,-,-,-,-,-,-,-,-,-,-
35,Shareholders' Equity,1447,1452,1538,1515,-,658.19,565.21,565.21,494.75,494.75,494.75,245.95,245.95
36,Total Liabilities & Equity,1524,1523,1618,1674,-,833.25,-,740.34,-,633.62,633.62,370.21,370.21
37,Total Debt,-,-,29.56,44.91,-,33.63,28.01,28.01,32.14,32.14,32.14,64.04,64.04
38,Net Cash (Debt),909.54,912.46,1003,1019,-,181.48,123.02,123.02,72.36,72.36,72.36,-29.32,-29.32
39,Net Cash Growth,-,402.79%,715.00%,727.94%,-,150.81%,70.02%,-,-,-,-,-,-
40,Net Cash Per Share,7.56,5.83,11.26,8.27,-,1.97,1.33,1.33,-,0.78,0.78,-0.31,-0.31
41,Filing Date Shares Outstanding,121.92,123.2,123.2,123.2,123.2,92.4,92.6,92.4,-,92.4,92.4,92.4,92.4
42,Total Common Shares Outstanding,121.92,123.2,123.2,123.2,92.4,92.4,92.6,92.4,-,92.4,92.4,92.4,92.4
43,Working Capital,1047,1062,1164,1144,-,346.95,-,309.96,-,280.16,280.16,85.38,85.38
44,Book Value Per Share,11.88,11.79,12.49,12.30,-,7.12,6.12,6.12,5.35,5.35,5.35,2.66,2.66
45,Tangible Book Value,1426,1431,1516,1493,-,635.49,542,542,471.86,471.86,471.86,222.25,222.25
46,Tangible Book Value Per Share,11.70,11.61,12.31,12.12,-,6.88,5.87,5.87,5.11,5.11,5.11,2.41,2.41
47,Buildings,-,197.35,-,159.37,-,123.79,-,106.31,-,104.31,104.31,94.19,94.19
48,Machinery,-,211.32,-,207.14,-,206.84,-,189.02,-,184.78,184.78,135.51,135.51
49,Construction In Progress,-,131.65,-,141.06,-,111.12,-,89.33,-,53.4,53.4,29.31,29.31
