,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,677.58,709.92,696.2,831.45,1116,1146,761.52,653.03,631.33,605.82
1,Revenue Growth (YoY),-2.67%,-14.62%,-37.64%,-27.47%,46.61%,75.54%,20.62%,7.79%,-6.20%,-8.60%
2,Cost of Revenue,650.64,660.73,660.75,791.57,1069,1101,713.74,595.21,586.85,530.68
3,Gross Profit,26.95,49.18,35.45,39.89,47.41,45.01,47.78,57.82,44.49,75.13
4,"Selling, General & Admin",14.94,15.87,15.9,15.87,18.86,19.41,18.86,19.21,19.75,26.07
5,Other Operating Expenses,9.97,19.22,10.97,20.12,12.95,19.83,13.06,26.38,4.23,11.08
6,Operating Expenses,30.59,40.92,33.94,42.2,41.71,51.7,43.12,59.79,34.89,51.74
7,Operating Income,-3.64,8.27,1.51,-2.31,5.7,-6.69,4.67,-1.97,9.6,23.39
8,Interest Expense,-5.01,-9.52,-5.64,-6.51,-7.88,-11.64,-8.41,-3.05,-3.47,-5.67
9,Interest & Investment Income,6.9,12.25,6.55,6.07,6.13,9.37,7.12,2.63,0.44,0.72
10,Earnings From Equity Investments,-1.46,-0.46,-1.84,-0.89,-0.26,-2.44,-0.79,-0.01,-1.09,-3.25
11,Currency Exchange Gain (Loss),-1.25,-1.33,-0.03,-5.34,-1.34,1.74,0.6,7.81,-1.73,-1.98
12,Other Non Operating Income (Expenses),1,2.33,3.02,3.47,2.81,1.72,2.98,12.27,-,-
13,EBT Excluding Unusual Items,-3.47,11.54,3.57,-5.51,5.15,-7.93,6.17,17.68,3.74,13.21
14,Merger & Restructuring Charges,-,-0.04,-,-0.22,-,-0.33,-,-0.42,-,-
15,Gain (Loss) on Sale of Investments,-,1,-,8.69,-0.67,1.45,-1.45,-,-,4.08
16,Gain (Loss) on Sale of Assets,-,-,-,-,-,0.25,-,-0.51,0.77,-0.73
17,Asset Writedown,-,-6.02,-,-,-,-2.24,-,-5.29,-,-0.55
18,Other Unusual Items,-,-,-,2.36,-,18.13,-,-0.33,2.66,-
19,Pretax Income,-3.47,6.47,3.57,5.33,4.48,9.33,4.72,11.14,7.17,16.02
20,Income Tax Expense,0.37,0.77,2.57,0.98,2.68,2.94,2.66,2.47,2.85,5.65
21,Earnings From Continuing Operations,-3.84,5.71,1,4.34,1.8,6.39,2.06,8.68,4.32,10.36
22,Minority Interest in Earnings,0.56,1.1,0.98,3.14,1.79,-0.76,1.98,-1.79,1.43,-1.53
23,Net Income,-3.28,6.81,1.99,7.48,3.59,5.63,4.03,6.89,5.74,8.84
24,Net Income to Common,-3.28,6.81,1.99,7.48,3.59,5.63,4.03,6.89,5.74,8.84
25,Net Income Growth,-,-9.02%,-44.75%,32.91%,-10.93%,-18.23%,-29.75%,-22.08%,-56.53%,-45.44%
26,Shares Outstanding (Basic),216,216,216,216,216,216,216,216,216,216
27,Shares Outstanding (Diluted),216,216,216,216,216,216,216,216,216,216
28,Shares Change (YoY),-,-,-,-,-,-,-,-,-,32.37%
29,EPS (Basic),-0.02,0.03,0.01,0.03,0.02,0.03,0.02,0.03,0.03,0.04
30,EPS (Diluted),-0.02,0.03,0.01,0.03,0.02,0.03,0.02,0.03,0.03,0.04
31,EPS Growth,-,-9.02%,-44.76%,32.92%,-10.93%,-18.23%,-29.75%,-22.08%,-56.53%,-58.78%
32,Free Cash Flow,29.27,-17.08,30.24,-12.79,13.68,12.73,4.85,57.74,-51.95,-12.7
33,Free Cash Flow Per Share,0.14,-0.08,0.14,-0.06,0.06,0.06,0.02,0.27,-0.24,-0.06
34,Operating Margin,-0.54%,1.16%,0.22%,-0.28%,0.51%,-0.58%,0.61%,-0.30%,1.52%,3.86%
35,Profit Margin,-0.48%,0.96%,0.29%,0.90%,0.32%,0.49%,0.53%,1.05%,0.91%,1.46%
36,Free Cash Flow Margin,4.32%,-2.41%,4.34%,-1.54%,1.23%,1.11%,0.64%,8.84%,-8.23%,-2.10%
37,EBITDA,1.54,11.99,7.71,2.91,13.04,0.81,12.11,6.33,16.24,30.72
38,D&A For EBITDA,5.18,3.73,6.2,5.22,7.33,7.51,7.45,8.3,6.63,7.33
39,EBIT,-3.64,8.27,1.51,-2.31,5.7,-6.69,4.67,-1.97,9.6,23.39
