,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 10, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,151,119,79,119,147,175,285,276,426,540,670
1,Market Cap Growth,0%,0%,-46.32%,-32.10%,-48.48%,-36.72%,-32.99%,-48.80%,-36.45%,-12.28%,9.54%
2,Enterprise Value,809,524,1007,598,725,719,940,464,440,592,730
3,Last Close Price,0.70,0.55,0.36,0.55,0.68,0.81,1.32,1.28,1.97,2.50,3.10
4,PE Ratio,39.93,-,8.14,11.61,11.73,16.19,24.04,21.05,28.38,33.76,27.15
5,PS Ratio,0.10,0.08,0.05,0.07,0.07,0.07,0.12,0.16,0.28,0.40,0.47
6,PB Ratio,0.37,0.27,0.18,0.27,0.33,0.38,0.60,0.60,0.94,1.30,1.61
7,P/TBV Ratio,0.29,0.29,0.19,0.29,0.35,0.41,0.65,0.65,1.02,1.40,1.74
8,P/FCF Ratio,11.73,9.07,-,6.30,-,5.66,13.22,3.67,61.86,-,-
9,P/OCF Ratio,7.84,7.84,-,4.92,-,4.96,10.91,3.21,24.03,-,34.80
10,EV/Sales Ratio,0.54,0.35,0.65,0.36,0.33,0.27,0.40,0.27,0.29,0.44,0.51
11,EV/EBITDA Ratio,55.13,36.01,46.39,52.09,40.23,44.31,59.26,20.90,16.43,11.49,13.00
12,EV/EBIT Ratio,278.16,-,93.51,-689.72,-,-620.48,-,142.90,-,16.36,17.19
13,EV/FCF Ratio,62.75,39.96,-,31.70,-,23.24,43.59,6.16,64.02,-,-
14,Debt / Equity Ratio,1.95,1.95,1.26,2.34,1.28,1.46,1.32,1.56,0.63,0.49,0.50
15,Debt / FCF Ratio,65.68,64.61,-,54.08,-,21.63,28.93,9.48,41.13,-,-
16,Return on Capital Employed (ROCE),1.14%,-,2.38%,-0.20%,-,-0.24%,-,0.65%,-,7.82%,9.17%
17,Earnings Yield,2.50%,3.19%,12.29%,8.61%,8.52%,6.17%,4.16%,4.75%,3.52%,2.96%,3.68%
18,FCF Yield,8.52%,11.03%,18.39%,15.87%,0.69%,17.68%,7.57%,27.23%,1.62%,-13.13%,-0.65%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-32.37%,
20,Total Shareholder Return,-,-,-,-,-,-,-,-,-,-32.37%,
