,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,5879,3220,3347,4421,5620,-,-,-
1,Enterprise Value,5705,2985,2945,4676,5876,-,-,-
2,Last Close Price,94.83,51.79,53.84,70.35,89.44,-,-,-
3,PE Ratio,89.77,51.20,51.02,60.79,78.34,-,-,-
4,PS Ratio,9.28,5.29,6.04,8.29,10.65,-,-,-
5,PB Ratio,4.47,2.45,2.57,3.33,4.30,-,-,-
6,P/TBV Ratio,2.52,2.52,2.65,3.43,4.43,-,-,-
7,P/OCF Ratio,232.31,232.31,-,65.36,80.93,-,-,-
8,EV/Sales Ratio,9.37,4.91,5.32,8.77,11.13,-,-,-
9,EV/EBITDA Ratio,48.01,27.13,27.98,40.84,50.07,-,-,-
10,EV/EBIT Ratio,104.67,57.51,59.89,78.27,-,-,-,-
11,Debt / Equity Ratio,0.18,0.18,0.16,0.22,0.24,-,0.59,0.61
12,Debt / EBITDA Ratio,2.02,1.53,1.97,2.12,7.12,-,2.15,1.99
13,Debt / FCF Ratio,-,-,-,-,-,-,163.84,3780.06
14,Asset Turnover,0.38,0.34,-,0.32,-,-,-,
15,Inventory Turnover,-,2.29,2.36,-,2.71,-,-,-
16,Quick Ratio,2.24,2.24,2.54,3.28,3.91,-,1.51,-
17,Current Ratio,2.99,2.99,3.33,3.95,4.53,-,2.19,-
18,Return on Equity (ROE),3.77%,4.89%,-,4.63%,-,18.30%,-,
19,Return on Assets (ROA),3.40%,1.51%,-,-0.60%,-,-,-,
20,Return on Capital (ROIC),4.06%,1.78%,-,-0.76%,-,6.70%,-,
21,Return on Capital Employed (ROCE),3.62%,3.45%,3.24%,3.80%,-,-,5.62%,-
22,Earnings Yield,1.07%,1.95%,1.96%,1.65%,1.28%,-,-,-
23,FCF Yield,-4.45%,-8.13%,-5.98%,-1.52%,-0.66%,-,-,-
24,Dividend Yield,0.65%,-,-,-,0.72%,-,-,-
25,Payout Ratio,74.23%,10.36%,258.58%,9.24%,13.44%,12.99%,8.64%,10.88%
26,Buyback Yield / Dilution,-28.21%,-34.81%,-33.59%,-32.56%,-,-,-,-
27,Total Shareholder Return,-27.55%,-34.81%,-33.59%,-32.56%,0.72%,-,-,-
