,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Operating Revenue,176.77,155.99,128.2,145.37,121.81,135.31,123.05
1,Other Revenue,-1.6,1.6,-,2.25,-1.16,1.16,-
2,Revenue,175.17,157.59,128.2,147.62,120.65,136.47,123.05
3,Revenue Growth (YoY),45.19%,15.48%,4.18%,-,-,-,-
4,Cost of Revenue,135.44,125.19,89.02,111.27,83.32,99.35,86.72
5,Gross Profit,39.73,32.4,39.17,36.34,37.33,37.12,36.34
6,"Selling, General & Admin",10.68,9.63,9.48,14.04,8.32,7.95,8.38
7,Research & Development,10.37,11.16,8.71,9.28,9.02,7.99,6.56
8,Other Operating Expenses,-5.91,-0.45,-0.75,12.18,-3.11,-0.72,-5.3
9,Operating Expenses,14.82,21.22,18.91,40.8,15.14,15.37,11.18
10,Operating Income,24.92,11.18,20.26,-4.46,22.19,21.75,25.16
11,Interest Expense,-3.45,-1.27,-1.51,-4.52,-1.31,-,-1.63
12,Interest & Investment Income,1.99,2.82,4.02,1.62,0.14,0.27,0.05
13,Currency Exchange Gain (Loss),-0.76,0.76,-,0.8,-1.8,1.8,-
14,Other Non Operating Income (Expenses),0.22,-0.47,0.32,2.99,1.66,1.05,-0.74
15,EBT Excluding Unusual Items,22.92,13.02,23.09,-3.57,20.88,24.87,22.84
16,Gain (Loss) on Sale of Investments,-,-,-,0.08,-0.21,-,-
17,Gain (Loss) on Sale of Assets,-0.45,0.06,0.1,0.16,-0.06,-0.14,-0.02
18,Asset Writedown,-7.65,3.09,-3.09,5.5,-5.5,2.43,-2.43
19,Other Unusual Items,-2.11,0.82,1.19,13.87,1.13,-1.13,-
20,Pretax Income,12.7,16.99,21.28,16.04,16.24,26.04,20.38
21,Income Tax Expense,0.35,0.91,1.98,0.88,1.16,2.84,2.07
22,Net Income,12.35,16.08,19.3,15.15,15.08,23.2,18.32
23,Net Income to Common,12.35,16.08,19.3,15.15,15.08,23.2,18.32
24,Net Income Growth,-18.06%,-30.68%,5.37%,-,-,-,-
25,Shares Outstanding (Basic),62,62,62,52,46,46,47
26,Shares Outstanding (Diluted),62,62,62,52,46,46,47
27,Shares Change (YoY),34.81%,33.59%,32.56%,-,-,-,-
28,EPS (Basic),0.20,0.26,0.31,0.29,0.33,0.50,0.39
29,EPS (Diluted),0.20,0.26,0.31,0.29,0.33,0.50,0.39
30,EPS Growth,-39.22%,-48.11%,-20.51%,-,-,-,-
31,Free Cash Flow,-60.73,-130.78,-30.23,-40.03,1.02,1.82,0.08
32,Free Cash Flow Per Share,-0.98,-2.11,-0.49,-0.77,0.02,0.04,0.00
33,Dividend Per Share,-,-,-,0.645,-,-,-
34,Gross Margin,22.68%,20.56%,30.56%,24.62%,30.94%,27.20%,29.53%
35,Operating Margin,14.23%,7.10%,15.81%,-3.02%,18.39%,15.94%,20.45%
36,Profit Margin,7.05%,10.20%,15.05%,10.26%,12.50%,17.00%,14.88%
37,Free Cash Flow Margin,-34.67%,-82.99%,-23.58%,-27.11%,0.84%,1.34%,0.06%
38,EBITDA,39.19,26.47,34.54,9.82,34.42,35.72,37.4
39,EBITDA Margin,22.37%,16.80%,26.94%,6.65%,28.53%,26.17%,30.39%
40,D&A For EBITDA,14.27,15.29,14.27,14.27,12.24,13.97,12.24
41,EBIT,24.92,11.18,20.26,-4.46,22.19,21.75,25.16
42,EBIT Margin,14.23%,7.10%,15.81%,-3.02%,18.39%,15.93%,20.45%
43,Effective Tax Rate,2.76%,5.37%,9.31%,5.52%,7.17%,10.91%,10.15%
44,Revenue as Reported,175.17,157.59,128.2,527.79,120.65,136.47,123.05
