,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,136.44,60.82,44.97,44.14,69.84,13.56,34.79,34,152.36,-717.02,932.48,28,158.7,105.38,34.02,34.02
1,Other Revenue,-,-0.3,0.3,-,4.85,-0.98,0.98,-,4.54,-0.32,0.32,-,5.88,-,-,-
2,Revenue,136.44,60.52,45.28,44.14,74.69,12.58,35.77,34,156.9,-717.34,932.8,28,164.58,105.38,34.02,34.02
3,Revenue Growth (YoY),82.69%,381.25%,26.57%,29.81%,-52.40%,-,-96.17%,21.43%,-4.67%,-,2641.64%,-17.70%,-,-,-,-
4,Cost of Revenue,-45.41,19.31,12.03,14.07,36.79,3.99,11.16,6.62,49.14,-749.66,812.87,7.11,59.67,32.75,11.04,11.04
5,Gross Profit,181.85,41.21,33.25,30.07,37.9,8.59,24.61,27.38,107.76,32.32,119.93,20.89,104.91,72.63,22.98,22.98
6,"Selling, General & Admin",-83.71,29.03,28.34,26.34,25.23,29.02,25.07,19.95,39.09,26.72,13.41,17.78,28.72,16.38,14.1,14.1
7,Research & Development,-56.77,17.51,16.92,22.34,19.07,23.01,21.52,17.36,18.63,15.19,16.92,14,19.38,14.23,13.29,13.29
8,Other Operating Expenses,290.2,-8.68,2.03,-0.99,2.35,-1.4,-1.85,-6.41,-2.21,-19.46,6.31,-2.39,4.4,-15.8,0.55,0.55
9,Operating Expenses,132.68,52.42,49.98,47.49,60.93,49.9,47.21,29.31,63.05,20.68,47.87,28.35,56.03,16.97,27.91,27.91
10,Operating Income,49.17,-11.21,-16.73,-17.42,-23.03,-41.31,-22.6,-1.93,44.71,11.64,72.06,-7.45,48.88,55.66,-4.93,-4.93
11,Interest Expense,-13.56,-0.65,-0.61,-0.83,-0.57,-0.38,-0.55,-0.31,-0.57,-16.75,-16.81,-0.5,-0.44,-0.45,-1.66,-1.66
12,Interest & Investment Income,2.09,3.41,3.92,6.22,3.1,4.7,5.19,3.28,3.85,16.01,19.42,0.88,1.33,1.94,1.77,1.77
13,Other Non Operating Income (Expenses),-3.18,0.14,-0.27,0.12,-6.91,13.11,-0.21,-3.05,0.13,7.35,-7.5,-0.02,-0.04,0.01,-0,-0
14,EBT Excluding Unusual Items,34.52,-8.31,-13.68,-11.92,-27.41,-23.87,-18.17,-2.02,48.12,18.24,67.18,-7.08,49.74,57.17,-4.82,-4.82
15,Gain (Loss) on Sale of Investments,-0.86,0.67,0.16,0.03,0.5,0.49,1.56,-,-,2.28,-2.28,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,-0,0.02,-0.02,-,0.37,0,-0,-,-0,0.06,-0.03,-,-0.03,-0,-0,-0
17,Asset Writedown,1.49,-1.49,0.42,-0.42,1.64,-1.65,0.67,-0.67,-0.16,0.04,-0.33,0.42,2.28,-2.28,-0,-0
18,Other Unusual Items,0.16,-2.67,2.51,-0,18.75,-3.07,0.07,-,12.83,-,-,-,22.81,-13.52,6.76,6.76
19,Pretax Income,35.3,-11.77,-10.6,-12.32,-6.15,-28.1,-15.87,-2.69,60.79,20.61,64.54,-6.66,74.8,41.37,1.93,1.93
20,Income Tax Expense,4.5,-3.38,-3.33,-5.04,-9.81,-4.5,-2.89,-1.37,5.27,-3.89,10.51,-1.46,6.38,2.54,-0.21,-0.21
21,Net Income,30.8,-8.39,-7.27,-7.27,3.66,-23.6,-12.98,-1.32,55.51,24.51,54.04,-5.2,68.41,38.84,2.15,2.15
22,Net Income to Common,30.8,-8.39,-7.27,-7.27,3.66,-23.6,-12.98,-1.32,55.51,24.51,54.04,-5.2,68.41,38.84,2.15,2.15
23,Net Income Growth,741.00%,-,-,-,-93.40%,-,-,-,-18.86%,-36.90%,2416.71%,-,-,-,-,-
24,Shares Outstanding (Basic),77,84,72,81,81,78,93,66,94,59,-,60,60,61,58,58
25,Shares Outstanding (Diluted),77,84,72,81,81,78,93,66,94,59,-,60,60,61,58,58
26,Shares Change (YoY),-4.92%,7.89%,-22.31%,22.76%,-13.30%,32.09%,-,10.43%,57.17%,-2.42%,-,2.46%,-,-,-,-
27,EPS (Basic),0.40,-0.10,-0.10,-0.09,0.05,-0.30,-0.14,-0.02,0.59,0.42,-,-0.09,1.15,0.64,0.04,0.04
28,EPS (Diluted),0.40,-0.10,-0.10,-0.09,0.05,-0.30,-0.14,-0.02,0.59,0.42,-,-0.09,1.15,0.64,0.04,0.04
29,EPS Growth,784.47%,-,-,-,-92.39%,-,-,-,-48.38%,-35.33%,-,-,-,-,-,-
30,Free Cash Flow,-,-0.8,-14.83,-20.29,13.23,-15.65,-42.47,-7.41,8.82,-28.89,13.19,-43.28,48.37,-36.27,3.08,3.08
31,Free Cash Flow Per Share,-,-0.01,-0.21,-0.25,0.16,-0.20,-0.46,-0.11,0.09,-0.49,-,-0.73,0.81,-0.60,0.05,0.05
32,Dividend Per Share,-,-,-,-,-,-,-,-,0.329,-,-,-,-,-,-,-
33,Gross Margin,133.28%,68.10%,73.44%,68.12%,50.74%,68.30%,68.80%,80.52%,68.68%,-,12.86%,74.62%,63.75%,68.92%,67.55%,67.55%
34,Operating Margin,36.04%,-18.52%,-36.94%,-39.48%,-30.83%,-328.47%,-63.16%,-5.69%,28.50%,-,7.72%,-26.62%,29.70%,52.82%,-14.49%,-14.49%
35,Profit Margin,22.57%,-13.86%,-16.06%,-16.48%,4.90%,-187.68%,-36.27%,-3.89%,35.38%,-,5.79%,-18.57%,41.57%,36.86%,6.31%,6.31%
36,Free Cash Flow Margin,-,-1.33%,-32.76%,-45.97%,17.72%,-124.41%,-118.72%,-21.78%,5.62%,-,1.41%,-154.56%,29.39%,-34.42%,9.04%,9.04%
37,EBITDA,50.19,-10.19,-15.6,-16.41,-22.01,-38.77,-21.69,0.6,47.24,13.9,75.01,-5.2,51.14,56.43,-4.16,-4.16
38,EBITDA Margin,36.79%,-16.84%,-34.45%,-37.17%,-29.47%,-,-60.63%,1.76%,30.11%,-,8.04%,-18.56%,31.07%,53.56%,-12.22%,-12.22%
39,D&A For EBITDA,1.02,1.02,1.13,1.02,1.02,2.53,0.91,2.53,2.53,2.26,2.95,2.26,2.26,0.77,0.77,0.77
40,EBIT,49.17,-11.21,-16.73,-17.42,-23.03,-41.31,-22.6,-1.93,44.71,11.64,72.06,-7.45,48.88,55.66,-4.93,-4.93
41,EBIT Margin,36.04%,-18.52%,-36.94%,-39.48%,-30.83%,-,-63.16%,-5.69%,28.50%,-,7.72%,-26.62%,29.70%,52.82%,-14.49%,-14.49%
42,Effective Tax Rate,12.75%,-,-,-,-,-,-,-,8.68%,-,16.28%,-,8.53%,6.13%,-,-
43,Revenue as Reported,-,60.52,45.28,44.14,74.69,12.58,35.77,34,156.9,-,932.8,28,164.58,105.38,34.02,34.02
