,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,5084,4049,3875,3049,3611,5517,6208,7266,11623,9031,-,-,-,-,-,-,-
1,Market Cap Growth,-26.61%,-26.61%,-37.58%,-58.04%,-68.93%,-38.91%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4334,3299,3117,2259,2834,4741,5505,6375,11491,8899,-,-,-,-,-,-,-
3,Last Close Price,65.34,52.04,49.80,38.72,45.86,70.07,78.84,92.28,147.18,114.36,-,-,-,-,-,-,-
4,PE Ratio,646.35,514.79,-,-,-,-161.14,-,-,-,70.09,-,-,-,-,-,-,-
5,Forward PE,46.67,16.36,16.36,16.36,19.03,31.25,36.88,44.92,80.57,55.99,-,-,-,-,-,-,-
6,PS Ratio,17.95,14.14,17.25,17.26,21.60,35.13,25.95,-14.81,28.60,22.56,-,-,-,-,-,-,-
7,PB Ratio,4.21,3.35,3.21,2.51,2.91,4.36,4.91,4.29,8.80,6.83,-,-,-,-,-,-,-
8,P/TBV Ratio,3.36,3.36,3.21,2.51,2.91,4.36,4.91,4.31,8.81,6.84,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-105.52,-,-,-,-180.02,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,-133.46,-,-,-,-194.40,-,-,-,-,-,-,-
11,EV/Sales Ratio,15.13,11.52,13.88,12.79,16.95,30.19,23.01,-12.99,28.28,22.23,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,418.34,412.59,-,-,-,-,-,-,84.03,67.95,-,-,-,-,-,-,-
13,EV/EBIT Ratio,865.51,865.51,-,-,-,-,-,-,-,73.57,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-90.66,-,-,-,-177.38,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.31,0.02,0.02,0.09,-,0.10,0.10,-,0.14,0.14
16,Debt / EBITDA Ratio,6.40,0.25,-,-,-,-,-,-,11.46,0.15,0.73,-,-,0.17,-,-,-
17,Debt / FCF Ratio,-,-,-,-,-,-0.73,-,-,-,-0.57,-,-,-,1.88,-,5.78,11.56
18,Asset Turnover,-,0.18,0.13,0.13,0.21,0.02,0.06,0.09,0.61,-,-,-,-,-,0.30,-,
19,Inventory Turnover,-,-,0.98,0.66,0.76,1.75,0.31,1.36,0.57,3.55,-,-,-,-,-,0.49,-
20,Quick Ratio,-,-,9.45,11.71,12.59,9.89,9.03,2.46,14.27,11.65,3.47,-,-,3.57,-,1.72,1.72
21,Current Ratio,-,-,10.33,12.57,13.47,10.59,10.38,2.47,15.63,12.02,4.03,-,-,4.25,-,2.41,2.41
22,Return on Equity (ROE),10.21%,-2.77%,-2.37%,-2.32%,1.16%,-6.38%,-3.44%,-0.40%,25.30%,-,-,-5.77%,-,-,3.40%,-,
23,Return on Assets (ROA),-,-2.04%,-3.03%,-3.08%,-4.04%,-4.38%,-2.39%,-0.33%,10.82%,-,-,-,-,-,-2.69%,-,
24,Return on Capital (ROIC),9.78%,-2.22%,-3.26%,-3.35%,-4.42%,-5.88%,-3.17%,-0.36%,12.25%,-,-,-4.72%,-,-,-4.27%,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,8.95%,27.13%,-,-,24.05%,-,-,-
26,Earnings Yield,0.15%,0.19%,-0.50%,-1.13%,-1.11%,-0.62%,0.28%,0.90%,1.14%,1.43%,-,-,-,-,-,-,-
27,FCF Yield,-,-0.59%,-1.23%,-1.80%,-0.95%,-0.91%,-0.96%,-0.12%,-0.56%,-,-,-,-,-,-,-,
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,0.29%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,0.16%,-,166.51%,-,1.51%,22.86%,2.59%,2.59%
30,Buyback Yield / Dilution,0.76%,4.92%,-7.89%,22.31%,-22.76%,13.30%,-32.09%,-,-10.43%,-57.17%,2.42%,-,-2.46%,-,-,-,-
31,Total Shareholder Return,0.76%,4.92%,-7.89%,22.31%,-22.76%,13.30%,-32.09%,-,-10.43%,-56.89%,2.42%,-,-2.46%,-,-,-,-
