,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023"
0,Operating Revenue,403.18,363.63,366.1,303.6,354.72,246.89,273.57,272.92
1,Other Revenue,-25.94,25.94,-,40.19,-18.54,18.54,-,33.67
2,Revenue,377.23,389.57,366.1,343.79,336.18,265.43,273.57,306.59
3,Revenue Growth (YoY),12.21%,46.77%,33.83%,12.13%,-,-,-,-
4,Cost of Revenue,326.17,338.57,313.58,289.6,270.38,218.17,214.42,243.33
5,Gross Profit,51.06,51,52.53,54.19,65.8,47.26,59.15,63.26
6,"Selling, General & Admin",20.47,19.12,18.96,23.6,15.51,6.57,13.3,12.39
7,Research & Development,13.54,13.72,10.94,9.97,11.01,10.38,10.72,11.11
8,Other Operating Expenses,-4.67,-4.09,0.67,-0.31,0.31,-0.66,1.07,4.27
9,Operating Expenses,29.31,29.27,30.68,34.16,26.9,15.71,25.49,27.31
10,Operating Income,21.75,21.74,21.85,20.03,38.89,31.55,33.66,35.95
11,Interest Expense,-0.84,-1.51,-1.72,-1.87,-0.16,-0.35,-0.23,-0.69
12,Interest & Investment Income,4.46,8.34,10.04,3.02,1.41,1.26,3.68,1.97
13,Currency Exchange Gain (Loss),0.66,-0.66,-,-0.05,0.11,-0.11,-,1.78
14,Other Non Operating Income (Expenses),-2.06,0.06,-0.67,0.31,5,-1.43,1.03,0.28
15,EBT Excluding Unusual Items,23.97,27.97,29.5,21.44,45.25,30.92,38.14,39.29
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-0
17,Gain (Loss) on Sale of Assets,-,-0.02,-0,0.02,-,-,-0.01,-
18,Asset Writedown,-2.91,0.83,-0.92,0.41,-0.43,0.63,-0.63,0.59
19,Other Unusual Items,0.67,-0.46,-0.2,-0.02,-5.8,5.8,-,2.39
20,Pretax Income,21.73,28.32,28.38,21.85,39.02,37.36,37.5,42.28
21,Income Tax Expense,1.23,2.59,2.25,1.77,4.21,4.21,4.19,4.69
22,Net Income,20.49,25.73,26.13,20.09,34.81,33.15,33.31,37.59
23,Net Income to Common,20.49,25.73,26.13,20.09,34.81,33.15,33.31,37.59
24,Net Income Growth,-41.13%,-22.36%,-21.56%,-46.55%,-,-,-,-
25,Shares Outstanding (Basic),136,133,133,121,99,101,100,99
26,Shares Outstanding (Diluted),136,133,133,121,99,101,101,99
27,Shares Change (YoY),36.83%,30.84%,32.11%,22.53%,-,-,-,-
28,EPS (Basic),0.15,0.19,0.20,0.17,0.35,0.33,0.33,0.38
29,EPS (Diluted),0.15,0.19,0.20,0.17,0.35,0.33,0.33,0.38
30,EPS Growth,-56.97%,-40.66%,-40.62%,-56.38%,-,-,-,-
31,Free Cash Flow,78.78,75.48,-141.15,-76.17,50.02,-28.65,-205.64,6.4
32,Free Cash Flow Per Share,0.58,0.57,-1.06,-0.63,0.50,-0.28,-2.04,0.06
33,Dividend Per Share,-,0.200,-,0.450,-,-,-,-
34,Gross Margin,13.54%,13.09%,14.35%,15.76%,19.57%,17.81%,21.62%,20.63%
35,Operating Margin,5.77%,5.58%,5.97%,5.83%,11.57%,11.89%,12.30%,11.73%
36,Profit Margin,5.43%,6.61%,7.14%,5.84%,10.36%,12.49%,12.18%,12.26%
37,Free Cash Flow Margin,20.88%,19.38%,-38.56%,-22.16%,14.88%,-10.79%,-75.17%,2.09%
38,EBITDA,29.99,34.39,30.08,28.27,46.82,39.4,41.59,43.87
39,EBITDA Margin,7.95%,8.83%,8.22%,8.22%,13.93%,14.84%,15.20%,14.31%
40,D&A For EBITDA,8.24,12.65,8.24,8.24,7.92,7.85,7.92,7.92
41,EBIT,21.75,21.74,21.85,20.03,38.89,31.55,33.66,35.95
42,EBIT Margin,5.77%,5.58%,5.97%,5.83%,11.57%,11.89%,12.30%,11.73%
43,Effective Tax Rate,5.67%,9.14%,7.92%,8.08%,10.78%,11.27%,11.17%,11.10%
44,Revenue as Reported,377.23,389.57,366.1,343.79,336.18,265.43,273.57,306.59
