,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023"
0,Market Capitalization,3003,3284,3181,3744,5177,-,-,-,-
1,Enterprise Value,2561,2515,2440,3751,5184,-,-,-,-
2,Last Close Price,22.52,24.42,23.66,27.39,37.87,-,-,-,-
3,PE Ratio,31.87,35.52,29.80,32.79,42.66,-,-,-,-
4,PS Ratio,2.00,2.22,2.22,2.85,4.25,-,-,-,-
5,PB Ratio,1.58,1.73,1.70,1.96,2.75,-,-,-,-
6,P/TBV Ratio,1.96,1.96,1.92,2.22,2.95,-,-,-,-
7,P/FCF Ratio,-,-52.07,-34.65,-,-,-,-,-,-
8,P/OCF Ratio,24.68,24.68,23.10,-,-,-,-,-,-
9,EV/Sales Ratio,1.73,1.70,1.70,2.86,4.25,-,-,-,-
10,EV/EBITDA Ratio,21.73,20.49,17.48,25.95,33.22,-,-,-,-
11,EV/EBIT Ratio,30.50,29.45,23.80,33.39,41.76,-,-,-,-
12,EV/FCF Ratio,-40.61,-39.87,-26.57,-,-,-,-,-,-
13,Debt / Equity Ratio,0.01,0.01,0.05,0.20,0.17,0.33,0.33,0.13,0.13
14,Debt / EBITDA Ratio,0.23,0.22,0.69,3.12,2.85,1.62,1.84,0.62,0.59
15,Debt / FCF Ratio,-,-0.43,-1.04,-,-,-1.71,-,-,16.07
16,Asset Turnover,0.67,0.65,0.59,0.70,0.96,-,-,-,
17,Inventory Turnover,9.32,9.30,8.93,7.78,8.25,8.57,-,-,-
18,Quick Ratio,1.96,1.96,3.17,4.61,5.19,1.78,2.14,-,2.34
19,Current Ratio,2.77,2.77,3.63,5.35,5.92,2.57,3.30,-,3.22
20,Return on Equity (ROE),4.35%,5.44%,5.51%,5.75%,15.57%,15.71%,16.43%,-,
21,Return on Assets (ROA),2.41%,2.28%,2.19%,2.55%,6.96%,-,-,-,
22,Return on Capital (ROIC),2.79%,2.55%,2.43%,2.93%,8.17%,7.59%,9.21%,-,
23,Return on Capital Employed (ROCE),4.36%,4.43%,5.39%,5.02%,5.62%,11.45%,8.62%,-,3.99%
24,Earnings Yield,3.08%,2.82%,3.36%,3.05%,2.34%,-,-,-,-
25,FCF Yield,-2.10%,-1.92%,-2.89%,-5.23%,-5.03%,-,-,-,-
26,Dividend Yield,1.77%,-,2.75%,-,1.19%,-,-,-,-
27,Payout Ratio,68.70%,1.50%,241.09%,13.17%,-,8.52%,0.44%,0.48%,1.04%
28,Buyback Yield / Dilution,-30.89%,-36.83%,-30.84%,-32.11%,-22.53%,-,-,-,-
29,Total Shareholder Return,-29.13%,-36.83%,-28.10%,-32.11%,-21.34%,-,-,-,-
