,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,991.51,875.94,933.65,1061,1479,-,-,51.39,-,-,-
1,Trading Asset Securities,1117,1213,1141,1066,641.73,-,-,277.52,-,-,-
2,Cash & Short-Term Investments,2109,2089,2074,2127,2121,-,328.9,328.9,-,-,280.63
3,Cash Growth,-0.57%,-,530.67%,546.69%,-,-,17.20%,-,-,-,-
4,Accounts Receivable,430.57,405.53,379.09,340.58,350.4,-,-,264.96,-,-,-
5,Other Receivables,1.15,1.03,0.79,0.73,0.95,-,-,0.13,-,-,-
6,Receivables,431.72,406.56,379.88,341.31,351.36,-,-,265.09,-,-,-
7,Inventory,164.48,172.98,163.56,160.67,161.49,-,-,156.52,-,-,-
8,Prepaid Expenses,-,-,-,-,-,-,-,0.03,-,-,-
9,Other Current Assets,15.46,20.23,23.55,18.76,13.16,-,-,2.15,-,-,-
10,Total Current Assets,2721,2689,2641,2648,2647,-,-,752.7,-,-,-
11,"Property, Plant & Equipment",279.35,255.68,250.05,238.14,209.09,-,-,137.23,-,-,-
12,Long-Term Investments,4.08,3.96,3.78,3.78,3.64,-,-,3.66,-,-,-
13,Other Intangible Assets,55.96,56.47,56.83,57.33,57.83,-,-,59.33,-,-,-
14,Long-Term Deferred Tax Assets,9.19,7.79,8.07,7.96,7.76,-,-,6.81,-,-,-
15,Long-Term Deferred Charges,2.58,2.35,1.66,0.86,0.37,-,-,0.24,-,-,-
16,Other Long-Term Assets,0.94,19.06,8.01,6.2,3.48,-,-,3.33,-,-,-
17,Total Assets,3073,3034,2970,2962,2929,-,-,963.31,-,-,-
18,Accounts Payable,158.71,180.69,149.64,137.85,197.38,-,-,105.05,-,-,-
19,Accrued Expenses,10.01,12.27,7.52,20.9,7.51,-,-,16.69,-,-,-
20,Short-Term Debt,-,-,-,-,9.06,-,-,16.67,-,-,-
21,Current Portion of Long-Term Debt,0.38,0.38,-,-,-,-,-,-,-,-,-
22,Current Income Taxes Payable,11.54,8.25,12.47,8.43,11.64,-,-,4.43,-,-,-
23,Current Unearned Revenue,2.1,3.12,2.48,2.28,3.55,-,-,3.51,-,-,-
24,Other Current Liabilities,107.73,73.68,83.89,126.74,80.81,-,-,77.57,-,-,-
25,Total Current Liabilities,290.47,278.38,256.01,296.2,309.96,-,-,223.92,-,-,-
26,Long-Term Leases,1.85,2.07,-,-,-,-,-,-,-,-,-
27,Long-Term Unearned Revenue,5.84,4.85,2.45,2.45,2.45,-,-,-,-,-,-
28,Long-Term Deferred Tax Liabilities,0.05,0.04,0.04,0.04,0.25,-,-,0.06,-,-,-
29,Other Long-Term Liabilities,14.94,14.54,14.01,14.6,12.35,-,-,12.57,-,-,-
30,Total Liabilities,313.16,299.88,272.51,313.3,325,-,-,236.55,-,-,-
31,Common Stock,148.77,148.77,148.77,148.77,148.77,-,-,111.58,-,-,-
32,Additional Paid-In Capital,1942,1941,1941,1940,1938,-,-,247.49,-,-,-
33,Retained Earnings,689.68,644.26,606.74,559.52,516.74,-,-,367.32,-,-,-
34,Treasury Stock,-23.59,-1.68,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,0.3,0.25,0.25,0.25,0.27,-,-,0.37,-,-,-
36,Total Common Equity,2757,2733,2696,2649,2604,-,726.75,726.75,-,-,572.64
37,Minority Interest,2.53,1.15,0.71,-,-,-,-,-,-,-,-
38,Shareholders' Equity,2759,2734,2697,2649,2604,-,726.75,726.75,-,-,575.82
39,Total Liabilities & Equity,3073,3034,2970,2962,2929,-,-,963.31,-,-,-
40,Total Debt,2.24,2.45,-,-,9.06,-,16.67,16.67,-,-,9.26
41,Net Cash (Debt),2107,2086,2074,2127,2112,-,312.24,312.24,-,-,271.37
42,Net Cash Growth,-0.25%,-,564.34%,581.21%,-,-,15.06%,-,-,-,-
43,Net Cash Per Share,14.05,13.93,14.06,14.32,41.75,-,2.83,2.80,-,-,-
44,Filing Date Shares Outstanding,147.9,148.43,148.77,148.73,148.77,148.77,110.35,111.58,111.35,-,-
45,Total Common Shares Outstanding,147.9,148.72,148.77,148.77,148.77,111.58,110.35,111.58,111.35,-,-
46,Working Capital,2430,2410,2385,2352,2337,-,-,528.78,-,-,-
47,Book Value Per Share,18.64,18.38,18.12,17.80,17.50,-,6.51,6.51,-,-,5.13
48,Tangible Book Value,2701,2676,2640,2591,2546,-,667.42,667.42,-,-,528.03
49,Tangible Book Value Per Share,18.26,18.00,17.74,17.42,17.12,-,5.98,5.98,-,-,4.73
50,Buildings,-,127.67,-,93.96,-,-,-,93.96,-,-,-
51,Machinery,-,27.37,-,25.73,-,-,-,15.99,-,-,-
52,Construction In Progress,-,160.11,-,177.18,-,-,-,80.02,-,-,-
