,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,6623,4484,4462,5301,6024,6885,-,-,-,-,-,-
1,Market Cap Growth,-34.87%,-34.87%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4519,2399,2388,3189,3912,6573,-,-,-,-,-,-
3,Last Close Price,44.78,30.15,29.94,35.39,40.22,45.97,-,-,-,-,-,-
4,PE Ratio,32.73,22.00,21.85,26.69,31.34,37.20,-,-,-,-,-,-
5,Forward PE,-,15.61,16.76,21.27,-,-,-,-,-,-,-,-
6,PS Ratio,10.39,6.99,7.08,8.50,9.77,11.69,-,-,-,-,-,-
7,PB Ratio,2.40,1.62,1.63,1.97,2.27,2.64,-,-,-,-,-,-
8,P/TBV Ratio,1.66,1.66,1.67,2.01,2.32,2.70,-,-,-,-,-,-
9,P/FCF Ratio,1755.55,1188.62,-120.92,-,99.89,101.11,-,-,-,-,-,-
10,P/OCF Ratio,50.05,50.05,66.96,-,42.32,51.72,-,-,-,-,-,-
11,EV/Sales Ratio,7.04,3.74,3.79,5.11,6.35,11.16,-,-,-,-,-,-
12,EV/EBITDA Ratio,23.98,12.72,12.80,15.86,19.20,33.38,-,-,-,-,-,-
13,EV/EBIT Ratio,24.97,13.26,13.35,16.45,19.91,34.64,-,-,-,-,-,-
14,EV/FCF Ratio,1197.80,635.88,-64.73,-,64.87,96.52,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,-,-,0.00,-,0.02,0.02,-,-,0.02
16,Debt / EBITDA Ratio,0.01,0.01,0.01,-,-,0.04,-,0.09,0.14,-,-,0.05
17,Debt / FCF Ratio,0.59,0.59,-0.07,-,-,0.13,-,0.18,0.20,-,-,0.58
18,Asset Turnover,0.23,0.23,0.20,0.20,-,-,-,-,-,-,-,
19,Inventory Turnover,2.31,2.42,2.49,2.05,2.15,-,-,-,-,-,-,-
20,Quick Ratio,8.75,8.75,8.96,9.59,8.33,7.98,-,-,2.65,-,-,-
21,Current Ratio,9.37,9.37,9.66,10.32,8.94,8.54,-,-,3.36,-,-,-
22,Return on Equity (ROE),8.07%,8.56%,7.04%,6.52%,-,-,22.47%,-,-,-,-,
23,Return on Assets (ROA),4.99%,3.57%,3.65%,2.87%,-,-,-,-,-,-,-,
24,Return on Capital (ROIC),5.54%,3.95%,4.06%,3.21%,-,-,15.49%,-,-,-,-,
25,Return on Capital Employed (ROCE),6.50%,6.50%,6.49%,7.14%,7.37%,7.24%,-,-,21.42%,-,-,-
26,Earnings Yield,3.08%,4.55%,4.58%,3.75%,3.19%,2.69%,-,-,-,-,-,-
27,FCF Yield,0.06%,0.08%,-0.83%,-0.51%,1.00%,0.99%,-,-,-,-,-,-
28,Dividend Yield,0.30%,-,0.69%,-,0.35%,-,-,-,-,-,-,-
29,Payout Ratio,10.24%,28.25%,8.91%,-,-,-,0.06%,-,1.82%,113.34%,-,-
30,Buyback Yield / Dilution,-29.83%,-196.43%,19.70%,-33.72%,-33.23%,54.57%,-,-,-,-,-,-
31,Total Shareholder Return,-29.53%,-196.43%,20.39%,-33.72%,-32.88%,54.57%,-,-,-,-,-,-
