,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,189.38,159.23,145.11,125.91,171.89,158.75,137.72,111.09,149.17,133.08,133.08
1,Other Revenue,-15.4,15.4,-,22.08,-9.76,9.76,-,9.49,-,-,-
2,Revenue,173.98,174.63,145.11,147.99,162.12,168.52,137.72,120.58,149.17,133.08,133.08
3,Revenue Growth (YoY),7.31%,3.63%,5.36%,22.73%,8.68%,26.63%,3.49%,-,-,-,-
4,Cost of Revenue,102.26,104.85,83.11,86.52,88.18,101.28,80.08,71.25,61.9,92.43,92.43
5,Gross Profit,71.72,69.78,62,61.48,73.94,67.23,57.64,49.34,87.28,40.65,40.65
6,"Selling, General & Admin",14.21,14.74,12.36,20.04,13.88,9.36,10.27,13.26,35.8,-,-
7,Research & Development,8.72,8.48,6.11,10.66,6.56,7.07,6.24,6.54,18.68,-,-
8,Other Operating Expenses,-12.9,3.46,-2.65,-3.44,-5.5,-7.74,-5.93,1.85,-20.48,-,-
9,Operating Expenses,10.8,26.87,18.63,27.71,15.05,9.43,11.58,22.36,37.19,-,-
10,Operating Income,60.93,42.92,43.36,33.77,58.89,57.8,46.06,26.97,50.08,40.65,40.65
11,Interest Expense,-0.08,-0.04,-,-,-,-0.06,-0.03,-0.04,-0.42,-,-
12,Interest & Investment Income,3.19,5.91,6.35,9.62,5.92,1.76,1.49,1.12,2.14,-,-
13,Other Non Operating Income (Expenses),0.06,-0.03,-0,-0.04,0.02,-0.22,-0,-0.03,0.02,-0,-0
14,EBT Excluding Unusual Items,64.1,48.76,49.7,43.35,64.83,59.28,47.51,28.01,51.83,40.65,40.65
15,Gain (Loss) on Sale of Investments,7.25,6.19,6.27,2.26,-0.43,0.4,0.75,-0.08,2.91,-,-
16,Gain (Loss) on Sale of Assets,0.01,-0.01,-,0.01,-,0.01,-,-,0.07,-,-
17,Asset Writedown,-1.96,0.86,-0.86,0.89,-0.89,1.22,-1.22,2.27,-2.27,-,-
18,Legal Settlements,-,-,-,-0.36,-,-,-,-,-,-,-
19,Other Unusual Items,-7.11,10.88,0.03,4.13,-0,0,-,9.46,-,-,-
20,Pretax Income,62.28,66.68,55.15,50.29,63.51,60.91,47.05,39.66,52.54,40.65,40.65
21,Income Tax Expense,6.88,8.55,8.12,7.51,7.61,8.22,6.22,3.89,8.46,5.37,5.37
22,Earnings From Continuing Operations,55.4,58.13,47.03,42.79,55.89,52.69,40.83,35.78,44.08,35.28,35.28
23,Minority Interest in Earnings,0.07,0.21,0.19,-,-,-,-,-0.1,0.06,-,-
24,Net Income,55.47,58.34,47.22,42.79,55.89,52.69,40.83,35.68,44.13,35.28,35.28
25,Net Income to Common,55.47,58.34,47.22,42.79,55.89,52.69,40.83,35.68,44.13,35.28,35.28
26,Net Income Growth,-0.75%,10.73%,15.65%,19.93%,26.65%,49.36%,15.74%,-,-,-,-
27,Shares Outstanding (Basic),150,150,148,149,51,187,110,111,111,-,-
28,Shares Outstanding (Diluted),150,150,148,149,51,187,110,111,111,-,-
29,Shares Change (YoY),196.43%,-19.70%,33.72%,33.23%,-54.57%,-,-,-,-,-,-
30,EPS (Basic),0.37,0.39,0.32,0.29,1.10,0.28,0.37,0.32,0.40,-,-
31,EPS (Diluted),0.37,0.39,0.32,0.29,1.10,0.28,0.37,0.32,0.40,-,-
32,EPS Growth,-66.52%,37.89%,-13.51%,-9.98%,178.75%,-,-,-,-,-,-
33,Free Cash Flow,48.96,11.26,-61.71,5.26,8.29,21.14,25.62,13.05,38.97,15.95,15.95
34,Free Cash Flow Per Share,0.33,0.08,-0.42,0.04,0.16,0.11,0.23,0.12,0.35,-,-
35,Dividend Per Share,-,0.068,-,0.140,-,-,-,-,-,-,-
36,Gross Margin,41.23%,39.96%,42.72%,41.54%,45.61%,39.90%,41.85%,40.91%,58.51%,30.55%,30.55%
37,Operating Margin,35.02%,24.58%,29.88%,22.82%,36.33%,34.30%,33.44%,22.37%,33.57%,30.55%,30.55%
38,Profit Margin,31.88%,33.41%,32.54%,28.91%,34.48%,31.27%,29.65%,29.59%,29.59%,26.51%,26.51%
39,Free Cash Flow Margin,28.14%,6.45%,-42.53%,3.55%,5.11%,12.54%,18.60%,10.83%,26.12%,11.98%,11.98%
40,EBITDA,62.77,45.06,45.2,35.61,60.71,59.56,47.88,28.79,51.98,42.55,42.55
41,EBITDA Margin,36.08%,25.80%,31.15%,24.06%,37.45%,35.35%,34.76%,23.88%,34.84%,31.97%,31.97%
42,D&A For EBITDA,1.84,2.15,1.84,1.84,1.82,1.76,1.82,1.82,1.9,1.9,1.9
43,EBIT,60.93,42.92,43.36,33.77,58.89,57.8,46.06,26.97,50.08,40.65,40.65
44,EBIT Margin,35.02%,24.57%,29.88%,22.82%,36.33%,34.30%,33.44%,22.37%,33.57%,30.55%,30.55%
45,Effective Tax Rate,11.05%,12.82%,14.73%,14.92%,11.99%,13.50%,13.22%,9.80%,16.11%,13.22%,13.22%
46,Revenue as Reported,173.98,174.63,145.11,147.99,162.12,168.52,137.72,120.58,415.33,-,-
