,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Cash & Equivalents,844.79,1112,1121,1031,886.97,881.52,2140,2088,1170,1118,Upgrade
1,Short-Term Investments,1181,1135,2484,4659,1132,6796,5409,12133,17947,15717,Upgrade
2,Trading Asset Securities,1410,1894,1986,2373,3015,-,905.99,193.66,145.56,139.66,Upgrade
3,Cash & Short-Term Investments,3435,4142,5592,8063,5034,7677,8455,14415,19262,16975,Upgrade
4,Cash Growth,-38.57%,-48.63%,11.07%,5.03%,-40.46%,-46.74%,-56.11%,-15.08%,13.08%,-4.46%,Upgrade
5,Accounts Receivable,417.14,77.27,670.05,67.03,1348,160.98,38.17,33.94,262.31,35.21,Upgrade
6,Other Receivables,266.55,423.12,221.18,1048,195.38,0.08,738.2,576.88,850.84,629.61,Upgrade
7,Receivables,683.69,525.22,891.23,1140,1543,161.06,776.37,632.4,1113,693.44,Upgrade
8,Inventory,6379,6558,5763,5205,4721,4444,4021,3646,1511,1159,Upgrade
9,Prepaid Expenses,-,65.81,-,69.71,-,-,-,57.15,-,24.76,Upgrade
10,Restricted Cash,678.15,367.34,231.08,188.93,214.81,374.33,-,86.15,-,-,Upgrade
11,Other Current Assets,-,11.82,82.22,12.61,-,-,-,10,-,16.25,Upgrade
12,Total Current Assets,11175,11671,12559,14679,11514,12657,13252,18847,21886,18868,Upgrade
13,"Property, Plant & Equipment",7669,7742,7811,7914,7999,8081,8112,8014,8056,8123,Upgrade
14,Long-Term Investments,4394,5141,6353,6777,5916,6360,9178,9994,5318,5126,Upgrade
15,Long-Term Deferred Tax Assets,158.44,140.62,135.77,155.4,214.85,180.67,142.93,127.89,144.8,100.18,Upgrade
16,Other Long-Term Assets,13920,13519,13645,13154,12396,12240,11697,11581,11576,11675,Upgrade
17,Total Assets,37316,38212,40503,42680,38041,39519,42384,48565,46983,43893,Upgrade
18,Accounts Payable,174.51,163.03,118.7,74,93.34,71.09,47.05,1144,423.96,11.02,Upgrade
19,Accrued Expenses,-,88.28,-,68.65,-,81.46,-,76.42,-,108.04,Upgrade
20,Short-Term Debt,81.97,86.51,54.09,52.95,927.48,455.65,47.91,379.97,3689,3694,Upgrade
21,Current Portion of Long-Term Debt,4297,5763,5633,3902,3918,3615,3874,4484,3582,2745,Upgrade
22,Current Portion of Leases,-,5.47,-,6.54,-,8.17,-,2.21,-,2.11,Upgrade
23,Current Income Taxes Payable,23.54,0.48,172.76,174.01,180.74,172.18,208.48,174.8,117.65,99.99,Upgrade
24,Current Unearned Revenue,1120,525.96,328.36,305.18,239.85,287.85,224.25,271.05,210.47,248.51,Upgrade
25,Other Current Liabilities,444.71,705.05,648.93,495.28,595.97,522.65,655.68,563.39,899.2,442.98,Upgrade
26,Total Current Liabilities,6142,7338,6956,5078,5955,5214,5057,7095,8922,7352,Upgrade
27,Long-Term Debt,12846,12050,11852,12865,13181,13545,14950,13284,11336,12683,Upgrade
28,Long-Term Leases,0.84,0.88,-,-,2.32,5.74,0.36,0.84,1.33,2.34,Upgrade
29,Long-Term Deferred Tax Liabilities,675.89,705.67,770.39,780.57,735.28,704.29,684.19,737.2,727.42,729.18,Upgrade
30,Total Liabilities,19664,20094,19578,18724,19874,19469,20692,21117,20986,20766,Upgrade
31,Common Stock,84.09,84.09,84.09,84.09,84.09,84.09,84.09,84.09,84.09,84.09,Upgrade
32,Additional Paid-In Capital,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,Upgrade
33,Retained Earnings,7555,7795,10978,11597,11130,11168,12117,12104,11539,11081,Upgrade
34,Comprehensive Income & Other,-718.6,-690.19,-2419,-1343,-4079,-3093,-3035,171.12,-98.94,-1253,Upgrade
35,Total Common Equity,9239,9507,10961,12655,9453,10477,11485,14677,13842,12230,Upgrade
36,Minority Interest,8413,8611,9964,11301,8713,9573,10207,12771,12154,10897,Upgrade
37,Shareholders' Equity,17652,18118,20925,23956,18167,20051,21692,27448,25996,23126,Upgrade
38,Total Liabilities & Equity,37316,38212,40503,42680,38041,39519,42384,48565,46983,43893,Upgrade
39,Total Debt,17226,17906,17539,16826,18029,17629,18872,18150,18608,19127,Upgrade
40,Net Cash (Debt),-13791,-13764,-11947,-8764,-12995,-9952,-10417,-3735,654.79,-2152,Upgrade
41,Net Cash Growth,-,-,-,-,-,-,-,-,41.32%,-,Upgrade
42,Net Cash Per Share,-16.40,-16.37,-14.21,-10.42,-15.45,-11.84,-12.39,-4.44,0.78,-2.56,Upgrade
43,Filing Date Shares Outstanding,840.87,840.87,840.87,840.87,840.87,840.87,840.87,840.87,840.87,840.87,Upgrade
44,Total Common Shares Outstanding,840.87,840.87,840.87,840.87,840.87,840.87,840.87,840.87,840.87,840.87,Upgrade
45,Working Capital,5033,4332,5603,9601,5559,7442,8195,11751,12965,11516,Upgrade
46,Book Value Per Share,10.99,11.31,13.04,15.05,11.24,12.46,13.66,17.45,16.46,14.54,Upgrade
47,Tangible Book Value,9239,9507,10961,12655,9453,10477,11485,14677,13842,12230,Upgrade
48,Tangible Book Value Per Share,10.99,11.31,13.04,15.05,11.24,12.46,13.66,17.45,16.46,14.54,Upgrade
49,Buildings,2998,2968,2943,2930,2909,2869,2818,2778,2722,2692,Upgrade
50,Machinery,176.3,177.77,169.81,260.2,258.39,272.94,251.26,219.44,213.3,209.94,Upgrade
