,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2019,Q4 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018"
0,Cash & Equivalents,141963,141963,211912,211912,135831,135831,-,-,14982,-
1,Short-Term Investments,15090,15090,15090,15090,15090,15090,-,-,-,-
2,Cash & Short-Term Investments,157053,157053,227002,227002,150921,150921,-,-,14982,-
3,Cash Growth,4.06%,4.06%,-,-,907.38%,-,-,-,-,-
4,Accounts Receivable,178778,178778,233515,233515,249623,249623,-,-,290556,-
5,Other Receivables,38366,38366,23031,23031,32058,32058,-,-,5661,-
6,Receivables,217145,217145,256546,256546,281681,281681,-,-,296217,-
7,Inventory,416407,416407,155114,155114,199978,199978,-,-,274855,-
8,Prepaid Expenses,211.95,211.95,80820,80820,149.97,149.97,-,-,840.74,-
9,Other Current Assets,140777,140777,69174,69174,171313,171313,-,-,42911,-
10,Total Current Assets,931593,931593,788655,788655,804042,804042,-,-,629805,-
11,"Property, Plant & Equipment",39087,39087,37583,37583,38612,38612,-,-,49582,-
12,Long-Term Investments,-,-,19500,19500,677.32,677.32,-,-,1400,-
13,Other Long-Term Assets,33807,33807,26338,26338,27791,27791,-,-,15279,-
14,Total Assets,1004487,1004487,872076,872076,871122,871122,-,-,696066,-
15,Accounts Payable,433004,433004,335044,335044,374898,374898,-,-,288244,-
16,Accrued Expenses,5353,5353,69927,69927,6937,6937,-,-,7501,-
17,Short-Term Debt,143478,143478,216014,216014,230024,230024,-,-,207091,-
18,Current Income Taxes Payable,4923,4923,3969,3969,3957,3957,-,-,2287,-
19,Other Current Liabilities,255796,255796,98756,98756,110527,110527,-,-,75383,-
20,Total Current Liabilities,842553,842553,723709,723709,726343,726343,-,-,580505,-
21,Long-Term Debt,1406,1406,2658,2658,3910,3910,-,-,2616,-
22,Total Liabilities,843959,843959,726367,726367,730253,730253,-,-,583121,-
23,Common Stock,96797,96797,87999,87999,87999,87999,-,-,80000,-
24,Additional Paid-In Capital,14612,14612,14612,14612,14612,14612,-,-,14612,-
25,Retained Earnings,38617,38617,43097,43097,27756,27756,-,-,18332,-
26,Total Common Equity,150027,150027,145708,145708,130368,130368,-,-,112945,-
27,Minority Interest,10501,10501,-,-,10502,10502,-,-,-,-
28,Shareholders' Equity,160528,160528,145708,145708,140869,140869,-,-,112945,-
29,Total Liabilities & Equity,1004487,1004487,872076,872076,871122,871122,-,-,696066,-
30,Total Debt,144884,144884,218672,218672,233934,233934,-,-,209707,-
31,Net Cash (Debt),12169,12169,8330,8330,-83014,-83014,-,-,-194726,-
32,Net Cash Per Share,1258.34,-,-,-,-9433.10,-,-,-,-20133.58,-
33,Filing Date Shares Outstanding,9.67,-,-,-,8.8,-,-,-,9.67,9.68
34,Total Common Shares Outstanding,9.67,-,-,-,8.8,-,-,-,9.67,9.68
35,Working Capital,89040,89040,64946,64946,77699,77699,-,-,49301,-
36,Book Value Per Share,15513.87,-,-,-,14814.09,-,-,-,11677.87,-
37,Tangible Book Value,150027,150027,145708,145708,130368,130368,-,-,112945,-
38,Tangible Book Value Per Share,15513.87,-,-,-,14814.09,-,-,-,11677.87,-
39,Buildings,39400,39400,-,-,39400,39400,-,-,-,-
40,Machinery,24959,24959,-,-,22310,22310,-,-,-,-
