,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2019,Q4 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018"
0,Revenue,437065,334515,489030,489030,419845,429477,212153,212153,198368,275958
1,Revenue Growth (YoY),4.10%,-22.11%,130.51%,130.51%,111.65%,55.63%,-,-,-,-
2,Cost of Revenue,412496,314620,460049,460049,390133,408832,202174,202174,191133,261416
3,Gross Profit,24570,19895,28981,28981,29713,20645,9980,9980,7236,14542
4,"Selling, General & Admin",17151,12454,15941,15941,17425,12072,6989,6989,4924,5407
5,Operating Expenses,17151,12454,15941,15941,17425,12072,6989,6989,4924,5407
6,Operating Income,7419,7441,13040,13040,12287,8574,2990,2990,2312,9135
7,Interest Expense,-2071,-2116,-4458,-4458,-3527,-3570,-5070,-5070,-4230,-4432
8,Interest & Investment Income,-,-,907.4,907.4,2841,2563,3543,3543,2745,2370
9,Other Non Operating Income (Expenses),-1029,-518.52,140.3,140.3,694.29,442.74,397.4,397.4,1664,117.68
10,EBT Excluding Unusual Items,4319,4806,9630,9630,12296,8009,1861,1861,2490,7190
11,Gain (Loss) on Sale of Assets,-,648.12,-,-,-,-,-,-,-,-
12,Pretax Income,4319,5455,9630,9630,12296,8009,1861,1861,2490,7190
13,Income Tax Expense,876.17,1097,1928,1928,2465,1606,372.13,372.13,499.94,2382
14,Earnings From Continuing Operations,3443,4357,7702,7702,9831,6403,1489,1489,1990,4808
15,Minority Interest in Earnings,-0.12,0.24,-,-,-1.01,-0.51,-,-,-,-
16,Net Income,3443,4358,7702,7702,9830,6403,1489,1489,1990,4808
17,Net Income to Common,3443,4358,7702,7702,9830,6403,1489,1489,1990,4808
18,Net Income Growth,-64.98%,-31.94%,417.42%,417.42%,393.89%,33.17%,-,-,-,-
19,Shares Outstanding (Basic),10,-,-,-,9,-,-,-,10,10
20,Shares Outstanding (Diluted),10,-,-,-,9,-,-,-,10,10
21,Shares Change (YoY),9.89%,-,-,-,-9.01%,-,-,-,-,-
22,EPS (Basic),356.00,-,-,-,1117.00,-,-,-,205.79,496.69
23,EPS (Diluted),356.00,-,-,-,1117.00,-,-,-,205.79,496.69
24,EPS Growth,-68.13%,-,-,-,442.80%,-,-,-,-,-
25,Free Cash Flow,1128,1128,50657,50657,-5851,-5851,65169,65169,-,-
26,Free Cash Flow Per Share,116.66,-,-,-,-664.83,-,-,-,-,-
27,Gross Margin,5.62%,5.95%,5.93%,5.93%,7.08%,4.81%,4.70%,4.70%,3.65%,5.27%
28,Operating Margin,1.70%,2.22%,2.67%,2.67%,2.93%,2.00%,1.41%,1.41%,1.17%,3.31%
29,Profit Margin,0.79%,1.30%,1.57%,1.57%,2.34%,1.49%,0.70%,0.70%,1.00%,1.74%
30,Free Cash Flow Margin,0.26%,0.34%,10.36%,10.36%,-1.39%,-1.36%,30.72%,30.72%,-,-
31,EBITDA,8008,8030,13605,13605,12835,9121,3559,3559,-,-
32,EBITDA Margin,1.83%,2.40%,2.78%,2.78%,3.06%,2.12%,1.68%,1.68%,-,-
33,D&A For EBITDA,589.19,589.19,564.72,564.72,547.38,547.38,569.02,569.02,-,-
34,EBIT,7419,7441,13040,13040,12287,8574,2990,2990,2312,9135
35,EBIT Margin,1.70%,2.22%,2.67%,2.67%,2.93%,2.00%,1.41%,1.41%,1.17%,3.31%
36,Effective Tax Rate,20.29%,20.12%,20.02%,20.02%,20.05%,20.05%,20.00%,20.00%,20.08%,33.13%
37,Revenue as Reported,437065,334515,489030,489030,419845,429477,212153,212153,198368,275958
