,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2019,Q4 2018
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018"
0,Market Capitalization,244663,186663,212777,174970,131887,107268,92321,87924,69460,56790,57590
1,Market Cap Growth,74.02%,74.02%,130.48%,99.00%,89.87%,88.88%,60.31%,-,-,-,-
2,Enterprise Value,242996,178333,204447,369695,326612,301993,287046,282650,264186,209286,210086
3,Last Close Price,25300.00,19300.00,22000.00,17677.87,13325.03,10837.69,9327.52,8883.35,6129.51,4164.88,3827.59
4,PE Ratio,10.15,8.04,7.19,5.53,5.19,5.58,8.12,8.99,8.38,8.35,11.98
5,PS Ratio,0.15,0.11,0.12,0.10,0.09,0.08,0.09,0.10,0.10,0.12,0.21
6,PB Ratio,1.63,1.16,1.33,1.20,0.91,0.76,0.66,-,-,0.50,-
7,P/TBV Ratio,1.24,1.24,1.42,1.20,0.91,0.82,0.71,-,-,0.50,-
8,P/FCF Ratio,2.36,1.80,2.20,1.95,1.27,-,-,0.67,1.07,-,-
9,P/OCF Ratio,1.76,1.76,2.16,1.93,1.25,-,-,0.67,1.06,-,-
10,EV/Sales Ratio,0.15,0.10,0.12,0.20,0.21,0.24,0.27,0.31,0.38,0.44,0.76
11,EV/EBITDA Ratio,5.62,4.12,4.25,7.52,8.35,10.39,17.68,39.70,74.22,-,-
12,EV/EBIT Ratio,5.93,4.36,4.46,7.88,8.85,11.25,17.02,16.22,18.30,18.28,23.00
13,EV/FCF Ratio,2.35,1.72,2.12,4.13,3.14,-,-,2.17,4.05,-,-
14,Debt / Equity Ratio,0.90,0.90,0.90,1.50,1.50,1.66,1.66,-,-,1.86,-
15,Debt / EBITDA Ratio,3.35,4.52,4.51,4.02,4.02,4.56,6.41,-,-,-,-
16,Debt / FCF Ratio,1.40,1.40,1.50,2.44,2.10,-,-,-,-,-,-
17,Asset Turnover,1.74,1.43,2.24,-,1.93,-,-,-,-,-,
18,Inventory Turnover,5.03,3.96,4.40,11.86,-,7.80,-,-,-,-,-
19,Quick Ratio,0.44,0.44,0.44,0.67,0.67,0.60,0.60,-,-,0.54,-
20,Current Ratio,1.11,1.11,1.11,1.09,1.09,1.11,1.11,-,-,1.08,-
21,Return on Equity (ROE),8.58%,11.38%,21.14%,-,27.91%,-,-,-,-,-,
22,Return on Assets (ROA),1.85%,1.98%,3.74%,-,3.53%,-,-,-,-,-,
23,Return on Capital (ROIC),6.07%,5.55%,8.95%,-,8.20%,-,-,-,-,-,
24,Return on Capital Employed (ROCE),25.30%,25.28%,28.29%,31.64%,24.87%,18.54%,11.65%,-,-,9.91%,-
25,Earnings Yield,9.86%,12.43%,13.91%,18.08%,19.28%,17.91%,12.32%,11.12%,11.93%,11.97%,8.35%
26,FCF Yield,42.33%,55.49%,45.40%,51.22%,78.95%,110.60%,134.84%,148.24%,93.82%,-,-
27,Payout Ratio,0.16%,0.01%,0.01%,0.25%,0.25%,0.00%,0.00%,295.62%,295.62%,-,-
28,Buyback Yield / Dilution,-9.96%,-9.89%,-,-,-,9.01%,-,-,-,-,-
29,Total Shareholder Return,-8.16%,-9.89%,-,-,-,9.01%,-,-,-,-,-
