,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,5951,4903,3711,4798,5758,4924,5047,6941,5733,5725,1837,1837,1837,1837,1837,1837,1837,1837,1837,1837,1739,Upgrade
1,Market Cap Growth,-0.44%,-0.44%,-26.46%,-30.87%,0.44%,-13.98%,174.67%,277.78%,212.00%,211.56%,0%,0%,0%,0%,0%,0%,5.63%,-5.06%,-1.32%,-61.99%,-33.02%,Upgrade
2,Enterprise Value,6710,5551,4452,5440,6399,5595,5478,7304,6096,6194,2329,2227,2215,2161,2107,1305,1305,1808,1825,1821,1731,Upgrade
3,Last Close Price,7.11,5.79,4.37,5.65,6.78,6.03,6.18,8.50,7.02,7.01,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.13,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-,384.62,-,223.48,-1640.79,567.50,84.08,-,95.17,181.57,-,-,-,-,Upgrade
5,Forward PE,-,122.14,122.14,122.14,122.14,122.14,122.14,122.14,122.14,122.14,122.14,122.14,122.14,122.14,122.14,122.14,122.14,122.14,122.14,122.14,122.14,Upgrade
6,PS Ratio,1.44,1.67,1.34,1.77,-,1.44,1.54,2.35,1.83,2.05,0.66,0.61,0.64,0.66,0.89,1.33,2.63,30.59,1775.00,-,421.20,Upgrade
7,PB Ratio,13.95,13.95,10.47,13.63,-,-,14.50,20.40,16.49,17.44,6.46,7.20,7.83,8.26,9.12,9.36,10.86,14.17,-96.88,-53.99,-54.84,Upgrade
8,P/FCF Ratio,-,-,13.66,57.86,-,-26.85,-,846.54,-,72.14,-13.70,-,-,-,-,-,-,-,-,-,-66.89,Upgrade
9,P/OCF Ratio,-,-,13.56,56.64,-,-26.97,-,804.07,-,72.01,-13.56,-,-,-,-,-,-,-,-,-,-66.89,Upgrade
10,EV/Sales Ratio,1.66,1.90,1.60,2.01,-,1.64,1.67,2.47,1.95,2.21,0.83,0.74,0.77,0.77,1.02,0.95,1.86,30.10,1763.24,-,419.15,Upgrade
11,EV/EBITDA Ratio,98.55,105.39,68.66,88.82,-,137.42,-,97.52,65.19,56.83,22.68,22.35,20.11,17.23,20.82,17.30,32.11,-45.69,-,-30.60,-,Upgrade
12,EV/EBIT Ratio,114.51,109.49,70.45,91.26,-,143.20,-,99.02,65.90,57.30,22.87,22.52,20.24,17.32,21.95,18.59,42.42,-33.44,-,-,-,Upgrade
13,EV/FCF Ratio,-80.50,-,16.38,65.59,-,-30.50,-,890.79,-,78.06,-17.37,-,-,-,-,-,-,-,-,-,-66.56,Upgrade
14,Debt / Equity Ratio,1.30,1.30,1.04,1.33,-,-,1.22,0.66,0.69,0.46,1.04,1.21,0.88,0.91,1.05,0.88,2.10,5.82,-,-,-,Upgrade
15,Debt / EBITDA Ratio,6.70,9.47,16.27,3.15,-,-,34.88,6.72,4.36,1.05,2.90,2.86,1.81,1.73,2.42,1.15,2.28,36.15,-,-,-,Upgrade
16,Debt / FCF Ratio,-,-,1.36,5.63,-,-,-,27.37,-,1.89,-2.21,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Asset Turnover,2.37,1.95,-,-,-,1.88,1.36,2.38,2.07,1.26,2.06,2.03,2.36,2.08,1.95,1.17,0.16,0.06,-,0.00,Upgrade,
18,Inventory Turnover,-,14.32,12.20,-,-,-,11.84,11.16,18.54,13.79,8.54,13.74,13.76,16.59,16.96,24.77,28.37,5.43,2.21,-,-,Upgrade
19,Quick Ratio,0.77,0.77,0.70,0.76,-,-,0.72,0.73,0.78,0.70,0.67,0.65,0.62,0.63,0.58,0.63,0.69,0.84,0.31,0.17,0.23,Upgrade
20,Current Ratio,0.96,0.96,0.96,0.97,-,-,0.97,0.90,0.92,0.89,0.85,0.84,0.82,0.79,0.77,0.76,0.78,0.88,0.34,0.21,0.27,Upgrade
21,Return on Equity (ROE),-8.91%,-14.19%,-,-,-,-16.74%,-5.69%,22.77%,23.87%,19.02%,22.53%,22.36%,29.75%,2.57%,56.95%,80.01%,17.46%,-,-,-1076.32%,Upgrade,
22,Return on Assets (ROA),1.56%,0.41%,-,-,-,-0.09%,1.10%,1.10%,5.75%,3.70%,4.38%,4.05%,5.42%,3.70%,6.70%,4.42%,0.07%,-27.62%,-9.42%,-89.64%,Upgrade,
23,Return on Capital (ROIC),3.72%,0.95%,-,-,-,-0.24%,3.48%,3.67%,16.76%,9.80%,13.29%,13.51%,17.41%,12.43%,20.89%,13.76%,0.25%,-,-,-196.79%,Upgrade,
24,Return on Capital Employed (ROCE),14.27%,12.35%,15.27%,13.89%,-,-,-,21.41%,26.48%,32.47%,35.21%,37.69%,45.60%,52.97%,44.54%,33.13%,17.46%,-41.71%,-,-,-,Upgrade
25,Earnings Yield,-1.03%,-0.74%,-0.78%,-0.58%,-,-0.52%,-0.38%,0.01%,0.26%,0.10%,0.45%,-0.06%,0.18%,1.19%,0.99%,1.05%,0.55%,-9.02%,-9.49%,-10.01%,-11.85%,Upgrade
26,FCF Yield,-1.40%,2.07%,7.32%,1.73%,-,-3.72%,-1.81%,0.12%,-2.33%,1.39%,-7.30%,-10.21%,-7.47%,-7.28%,-9.32%,-7.71%,-5.44%,-5.25%,-0.71%,-0.62%,-1.50%,Upgrade
27,Payout Ratio,0.00%,-,-,-,-,-,-,-,17.66%,-,148.10%,-,1033.47%,-,-,-,484.88%,-,-,-,-,Upgrade
28,Buyback Yield / Dilution,-0.79%,0.55%,-0.08%,-0.35%,-,0.90%,1.85%,-0.81%,-3.17%,-5.01%,4.27%,0.82%,5.03%,20.09%,-26.98%,-3.51%,1.27%,-20.50%,16.14%,3.53%,-0.17%,Upgrade
29,Total Shareholder Return,-0.79%,0.55%,-0.08%,-0.35%,-,0.90%,1.85%,-0.81%,-3.17%,-5.01%,4.27%,0.82%,5.03%,20.09%,-26.98%,-3.51%,1.27%,-20.50%,16.14%,3.53%,-0.17%,Upgrade
