,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,29.85,45.66,40.39,-,-,35.73,30.01,13.87,45.73,56.48,29.44,20.15,18.13,67.29,72.46,318.53,1416,21.49,4.16,8.98,Upgrade
1,Trading Asset Securities,-,-,-,-,-,-,29.77,29.77,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,29.85,45.66,40.39,-,-,35.73,59.78,43.64,45.73,56.48,29.44,20.15,18.13,67.29,72.46,318.53,1416,21.49,4.16,8.98,Upgrade
3,Cash Growth,-,27.80%,-32.44%,-,-,-36.74%,103.07%,116.60%,152.30%,-16.06%,-59.37%,-93.67%,-98.72%,213.17%,1640.30%,3448.47%,18477.13%,83.82%,-65.59%,-71.68%,Upgrade
4,Accounts Receivable,1103,895.53,1019,-,-,907.63,904.1,1227,826.73,748.78,791.52,762.98,697.42,563.67,625.58,567.46,858.2,0.89,-,7.38,Upgrade
5,Other Receivables,1.48,1.72,3.56,-,-,1.98,2.3,4.51,2.35,2.3,2.37,2.29,2.43,2.35,1.6,1.39,63.99,0.64,9.45,2.15,Upgrade
6,Receivables,1105,897.25,1023,-,-,909.61,906.4,1232,829.08,751.08,793.89,765.27,699.86,566.02,627.18,568.85,922.2,1.53,9.45,9.53,Upgrade
7,Inventory,262.92,318.08,230.19,-,-,307.53,216.82,208.09,225.25,202.84,203.07,228.11,170.64,186.36,112.24,87.51,78.69,0.28,2.81,2.79,Upgrade
8,Other Current Assets,22.68,40.24,59.24,-,-,20.58,15.58,19.58,23.57,19.18,40.92,30.3,22.1,21.81,33.09,32.09,29.24,1.63,0.23,1.27,Upgrade
