,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,1084,873.28,970.22,-,929.92,805.13,622.44,1049,810.78,467.25,786.71,732.28,794.09,682.66,680.04,639.67,59.08,0.9,-,0.08,Upgrade
1,Other Revenue,-0.99,0.99,-,-,-0.16,0.16,-,10.7,-10.49,10.49,-,0.96,-0.51,0.51,-,0.31,-,-,-,-,Upgrade
2,Revenue,1083,874.27,970.22,-,929.76,805.29,622.44,1059,800.29,477.74,786.71,733.24,793.58,683.18,680.04,639.98,59.08,0.9,-,0.08,Upgrade
3,Revenue Growth (YoY),16.43%,8.57%,55.87%,-,16.18%,68.56%,-20.88%,44.49%,0.85%,-30.07%,15.69%,14.57%,1243.22%,75736.24%,-,753541.51%,119537.19%,-72.16%,-,-,Upgrade
4,Cost of Revenue,1040,836.4,902.3,-,882.08,776.3,592.97,1004,737.99,433.17,740.5,685.63,740.52,633.08,618.36,589.33,53.57,0.85,-,-0.21,Upgrade
5,Gross Profit,42.25,37.87,67.92,-,47.68,28.99,29.47,54.98,62.31,44.57,46.21,47.61,53.06,50.1,61.67,50.65,5.51,0.05,-,0.29,Upgrade
6,"Selling, General & Admin",29.08,32.52,29.02,-,20.18,24.34,16.18,35,21.64,17.39,13.4,16.53,17.85,27,21.44,19.53,3.69,5.22,5.45,37.22,Upgrade
7,Research & Development,1.49,2.11,1.93,-,3.41,4.8,4.94,10.95,5.74,4.54,6.29,6.63,5.9,3.22,2.14,1.73,1.32,0.59,0.81,3.21,Upgrade
8,Other Operating Expenses,0.29,0.4,0.54,-,0.22,0.32,0.29,1.25,-0.55,0.01,-0.44,1.36,0,0.58,0.65,-0.94,0.04,0.34,0,0.92,Upgrade
9,Operating Expenses,30.86,34.93,31.55,-,23.79,29.64,21.46,47.16,26.8,22.14,19.47,24.18,23.83,30.65,24.34,11.88,5.07,6.4,2.09,46.36,Upgrade
10,Operating Income,11.39,2.94,36.37,-,23.89,-0.65,8.02,7.82,35.5,22.43,26.74,23.44,29.23,19.46,37.33,38.77,0.44,-6.36,-2.09,-46.07,Upgrade
11,Interest Expense,-11.09,-10.37,-13.91,-,-13.19,-11.73,-10.01,-9.35,-8.08,-7.84,-6.8,-5.28,-6.75,-5.31,-6.41,-6.91,-0.07,-,-,-,Upgrade
12,Interest & Investment Income,0.01,0.01,0.01,-,0.01,0.02,0.01,0.09,0.11,0.04,0.01,0.01,0.07,0.81,0.52,5.95,4.96,0.02,0.01,0,Upgrade
13,Currency Exchange Gain (Loss),0.38,-0.38,-,-,-1.87,1.87,-,6.39,-5.19,5.19,-,0.27,-0.45,0.45,-,-2.88,-0.98,0.98,-,1.72,Upgrade
14,Other Non Operating Income (Expenses),-1.28,-0.9,0.74,-,1.23,-0.97,0.86,-9.26,9.19,-0.12,0,-1.2,0.89,-4.65,4.37,0.29,-0.28,-0.97,0.97,-6.08,Upgrade
15,EBT Excluding Unusual Items,-0.59,-8.7,23.21,-,10.07,-11.45,-1.13,-4.31,31.53,19.7,19.96,17.24,22.99,10.76,35.81,35.22,4.07,-6.34,-1.11,-50.42,Upgrade
16,Gain (Loss) on Sale of Investments,-0.97,-1.32,-2.05,-,-0.8,-0.7,-0.86,28.99,-0.45,-0.46,-0.96,-0.42,-0.43,-2.33,-,-,-,-,-,-,Upgrade
17,Gain (Loss) on Sale of Assets,-,0.01,-,-,0.12,0.03,-,-,-,-,-,0,-,0.01,-,-0.08,-,-,-,-0,Upgrade
18,Asset Writedown,-1.77,-0,-,-,-0.02,-0.01,-,0.87,-0.89,-0,0,0.08,-0.08,-0.04,-,0.01,-0.01,-,-,-107.15,Upgrade
19,Legal Settlements,-,-,-,-,-,-,-,-0.21,-,-,-,-,-,-,-,-0.11,-,-,-,-,Upgrade
20,Other Unusual Items,-0.08,0.07,0.01,-,0.11,-0.11,-,1,-0.98,-,-,1.08,-,-,-,0.82,-,-,-,0.1,Upgrade
21,Pretax Income,-3.42,-9.94,21.18,-,9.47,-12.24,-1.99,26.34,29.23,19.24,19,17.99,22.48,8.4,35.81,35.86,4.06,-6.34,-1.11,-157.48,Upgrade
22,Income Tax Expense,4.45,2.6,8.28,-,5.96,2.16,2.9,7.11,10.94,6.4,5.2,5.21,6.72,7.12,9.79,5.97,1.64,-,-,0,Upgrade
23,Earnings From Continuing Operations,-7.87,-12.54,12.9,-,3.51,-14.41,-4.89,19.24,18.28,12.83,13.8,12.77,15.76,1.28,26.01,29.89,2.42,-6.34,-1.11,-157.48,Upgrade
24,Minority Interest in Earnings,-6.25,-6.59,-16.18,-,-10.1,-3.78,-5.47,-9.68,-18.68,-10.89,-9.99,-12.26,-13.8,-8.68,-17.85,-10.75,-4.07,0,0.08,0.7,Upgrade
25,Net Income,-14.12,-19.13,-3.28,-,-6.59,-18.19,-10.37,9.56,-0.39,1.94,3.81,0.52,1.96,-7.4,8.16,19.13,-1.65,-6.34,-1.03,-156.78,Upgrade
26,Net Income to Common,-14.12,-19.13,-3.28,-,-6.59,-18.19,-10.37,9.56,-0.39,1.94,3.81,0.52,1.96,-7.4,8.16,19.13,-1.65,-6.34,-1.03,-156.78,Upgrade
27,Net Income Growth,-,-,-,-,-,-,-,1744.86%,-,-,-53.38%,-97.29%,-,-,-,-,-,-,-,-,Upgrade
28,Shares Outstanding (Basic),816,816,819,-,820,816,816,790,828,831,810,765,788,868,816,806,986,684,789,816,Upgrade
29,Shares Outstanding (Diluted),816,816,819,-,820,816,816,790,828,831,810,765,788,868,816,806,986,684,789,816,Upgrade
30,Shares Change (YoY),-0.55%,0.08%,0.35%,-,-0.90%,-1.85%,0.81%,3.17%,5.01%,-4.27%,-0.82%,-5.03%,-20.09%,26.98%,3.51%,-1.27%,20.50%,-16.14%,-3.53%,0.17%,Upgrade
31,EPS (Basic),-0.02,-0.02,-0.00,-,-0.01,-0.02,-0.01,0.01,-0.00,0.00,0.00,0.00,0.00,-0.01,0.01,0.02,-0.00,-0.01,-0.00,-0.19,Upgrade
32,EPS (Diluted),-0.02,-0.02,-0.00,-,-0.01,-0.02,-0.01,0.01,-0.00,0.00,0.00,0.00,0.00,-0.01,0.01,0.02,-0.00,-0.01,-0.00,-0.19,Upgrade
33,EPS Growth,-,-,-,-,-,-,-,1690.53%,-,-,-53.00%,-97.15%,-,-,-,-,-,-,-,-,Upgrade
34,Free Cash Flow,-101.15,109.38,93.01,-,69.41,-79.48,44.84,-218.18,161.71,19.83,-96.7,-5.49,-51.75,-33.63,-46.46,-1.96,-89.11,-4.09,-4.85,1.58,Upgrade
35,Free Cash Flow Per Share,-0.12,0.13,0.11,-,0.08,-0.10,0.05,-0.28,0.20,0.02,-0.12,-0.01,-0.07,-0.04,-0.06,-0.00,-0.09,-0.01,-0.01,0.00,Upgrade
36,Gross Margin,3.90%,4.33%,7.00%,-,5.13%,3.60%,4.74%,5.19%,7.79%,9.33%,5.87%,6.49%,6.69%,7.33%,9.07%,7.91%,9.32%,5.16%,-,344.56%,Upgrade
37,Operating Margin,1.05%,0.34%,3.75%,-,2.57%,-0.08%,1.29%,0.74%,4.44%,4.70%,3.40%,3.20%,3.68%,2.85%,5.49%,6.06%,0.74%,-705.57%,-,-54249.85%,Upgrade
38,Profit Margin,-1.30%,-2.19%,-0.34%,-,-0.71%,-2.26%,-1.67%,0.90%,-0.05%,0.41%,0.48%,0.07%,0.25%,-1.08%,1.20%,2.99%,-2.80%,-703.25%,-,-184624.05%,Upgrade
39,Free Cash Flow Margin,-9.34%,12.51%,9.59%,-,7.46%,-9.87%,7.20%,-20.59%,20.21%,4.15%,-12.29%,-0.75%,-6.52%,-4.92%,-6.83%,-0.31%,-150.84%,-453.73%,-,1863.48%,Upgrade
40,EBITDA,12.05,3.59,37.03,-,24.22,-0.01,8.35,8.15,35.66,22.74,26.95,23.65,29.37,19.63,37.47,38.91,5.21,-6.18,2.69,-41.29,Upgrade
41,EBITDA Margin,1.11%,0.41%,3.82%,-,2.60%,-0.00%,1.34%,0.77%,4.46%,4.76%,3.43%,3.23%,3.70%,2.87%,5.51%,6.08%,8.82%,-,-,-,Upgrade
42,D&A For EBITDA,0.66,0.65,0.66,-,0.33,0.64,0.33,0.33,0.16,0.31,0.21,0.21,0.14,0.18,0.14,0.14,4.77,0.18,4.77,4.77,Upgrade
43,EBIT,11.39,2.94,36.37,-,23.89,-0.65,8.02,7.82,35.5,22.43,26.74,23.44,29.23,19.46,37.33,38.77,0.44,-6.36,-2.09,-46.07,Upgrade
44,EBIT Margin,1.05%,0.34%,3.75%,-,2.57%,-0.08%,1.29%,0.74%,4.44%,4.70%,3.40%,3.20%,3.68%,2.85%,5.49%,6.06%,0.74%,-,-,-,Upgrade
45,Effective Tax Rate,-,-,39.08%,-,62.95%,-,-,26.97%,37.44%,33.29%,27.36%,28.98%,29.88%,84.78%,27.35%,16.66%,40.46%,-,-,-,Upgrade
46,Revenue as Reported,1083,874.27,970.22,-,929.76,805.29,622.44,1059,800.29,477.74,786.71,733.24,793.58,683.18,680.04,639.98,59.08,0.9,-,0.08,Upgrade
