,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Nov '24 Nov 27, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,490,590,740,365,530,450,420,410,590,600,315
1,Market Cap Growth,61.64%,61.64%,39.62%,-18.89%,26.19%,9.76%,-28.81%,-31.67%,87.30%,200.00%,16.67%
2,Enterprise Value,227,332,493,127,424,346,209,176,374,388,111
3,Last Close Price,0.49,0.59,0.73,0.36,0.52,0.44,0.41,0.40,0.58,0.59,0.31
4,PE Ratio,41.73,50.25,38.16,15.19,21.28,15.86,18.86,20.61,28.32,20.16,11.96
5,PS Ratio,9.05,10.89,11.80,6.42,10.25,8.17,7.79,8.41,12.77,8.59,4.44
6,PB Ratio,2.02,2.43,2.95,1.51,2.23,1.90,1.82,1.92,2.92,3.39,1.85
7,P/TBV Ratio,2.43,2.43,2.96,1.51,2.23,1.90,1.82,1.92,2.92,3.39,1.85
8,P/FCF Ratio,30.12,36.27,29.53,13.29,32.02,8.60,22.30,-,62.62,63.66,-47.89
9,P/OCF Ratio,28.25,28.25,23.38,12.01,29.30,8.11,18.27,-,50.00,60.36,-51.34
10,EV/Sales Ratio,4.19,6.13,7.86,2.24,8.19,6.29,3.88,3.61,8.11,5.56,1.57
11,EV/EBITDA Ratio,9.99,15.23,16.68,4.32,20.29,14.74,7.74,7.36,17.12,10.70,3.52
12,EV/EBIT Ratio,12.00,17.55,18.17,4.57,21.95,15.75,8.21,7.84,18.22,11.04,3.65
13,EV/FCF Ratio,13.95,20.39,19.66,4.63,25.59,6.62,11.12,-,39.74,41.20,-16.91
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-
15,Debt / FCF Ratio,0.02,0.02,0.02,0.03,0.07,0.02,0.00,-,0.08,0.11,-
16,Return on Capital Employed (ROCE),5.69%,5.69%,7.98%,8.51%,6.01%,6.84%,8.03%,7.60%,7.35%,14.29%,12.80%
17,Earnings Yield,2.40%,1.99%,2.62%,6.58%,4.70%,6.31%,5.30%,4.85%,3.53%,4.96%,8.36%
18,FCF Yield,3.32%,2.76%,3.39%,7.53%,3.12%,11.63%,4.48%,-6.45%,1.60%,1.57%,-2.09%
19,Total Shareholder Return,1.97%,-,-,-,-,-,-,-,-,-,-
