,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,4.56,13.92,9.14,3.55,5.97,87.69,100.02,118.4,132.78,101.17,Upgrade
1,Trading Asset Securities,0.01,14.01,21.01,10.13,31.68,31.41,60.56,76.69,103.48,62.84,Upgrade
2,Cash & Short-Term Investments,4.57,27.93,30.15,13.68,37.65,119.1,160.58,195.09,236.26,164.01,Upgrade
3,Cash Growth,-84.85%,104.14%,-19.92%,-88.51%,-76.56%,-38.95%,-32.03%,18.95%,28.18%,-6.04%,Upgrade
4,Accounts Receivable,1.52,5.55,1.7,6.81,3.24,46.02,23.82,54.11,44.96,70.08,Upgrade
5,Other Receivables,55.91,27.1,23.06,28.42,32.14,29.4,25.54,6.87,14.53,9.59,Upgrade
6,Receivables,57.43,32.65,24.76,35.23,48.79,88.93,72.16,81.05,74.17,166.08,Upgrade
7,Inventory,38.94,37.97,50.25,48.75,42.3,43.47,66.15,87.27,84.38,85.94,Upgrade
8,Prepaid Expenses,-,-,-,-,-,-,-,11.18,-,9.1,Upgrade
9,Other Current Assets,2.71,5.74,3.86,4.77,4.06,17.81,17.49,21.01,27.56,56.68,Upgrade
10,Total Current Assets,103.65,104.28,109.01,102.44,132.8,269.31,316.39,395.6,422.38,481.8,Upgrade
11,"Property, Plant & Equipment",10.89,11.18,35.38,34.6,87.93,76.51,308.49,319.29,389.25,380.21,Upgrade
12,Long-Term Investments,7.33,7.11,15.94,14.05,12.95,-,-,-,25.33,63.72,Upgrade
13,Goodwill,-,-,-,-,-,-,19.01,19.19,20.86,20.44,Upgrade
14,Other Intangible Assets,3.45,3.45,21.02,21.64,46.02,46.46,62.06,68.49,103.73,60.39,Upgrade
15,Other Long-Term Assets,0.95,0.92,1.19,1.14,1.1,6,6.15,6.63,7.07,6.61,Upgrade
16,Total Assets,126.28,126.94,182.54,173.86,280.8,398.28,712.09,809.19,968.62,1013,Upgrade
17,Accounts Payable,13.11,23.45,21.66,25.52,22.99,83.85,53.49,90.88,72.53,89.45,Upgrade
18,Accrued Expenses,14.96,14.87,15.3,14.63,6.42,6.29,-,75.69,0.17,51.83,Upgrade
19,Short-Term Debt,266.46,254.43,259.19,245.31,277.55,221.46,263.06,297.62,479.67,380.54,Upgrade
20,Current Portion of Long-Term Debt,102.97,99.42,107.68,93.55,-,40.17,-,-,-,-,Upgrade
21,Current Portion of Leases,0.18,0.18,0.06,0.12,0.13,0.98,0.25,0.71,1.8,2.17,Upgrade
22,Current Income Taxes Payable,2.87,4.12,4.13,4.14,4.14,3.87,3.32,4.55,3.95,4.17,Upgrade
23,Current Unearned Revenue,5.58,6.81,8.26,6.4,5.45,5.03,3.29,33.28,28.87,28.49,Upgrade
24,Other Current Liabilities,467.45,411.5,317.94,296.92,286.49,259.78,229.89,142.06,249.73,228.48,Upgrade
25,Total Current Liabilities,873.58,814.78,734.22,686.57,603.16,621.43,553.3,644.8,836.72,785.13,Upgrade
26,Long-Term Debt,1.55,1.55,3.61,5.05,116.31,101.98,101.01,92.8,-,126.85,Upgrade
27,Long-Term Leases,0.46,0.51,0.29,0.27,0.19,1.07,-,-,0.47,0.99,Upgrade
28,Long-Term Unearned Revenue,-,-,-,-,-,-,-,0.13,0.15,0.15,Upgrade
29,Long-Term Deferred Tax Liabilities,2.54,0.8,4.33,2.2,10.96,9.09,48.93,49.61,62.02,61.62,Upgrade
30,Total Liabilities,878.14,817.64,742.44,694.09,730.63,733.56,703.23,787.34,899.36,974.74,Upgrade
31,Common Stock,9.57,956.69,956.69,956.69,870.81,870.81,870.81,870.81,648.58,648.58,Upgrade
32,Additional Paid-In Capital,2110,1163,1163,1163,1163,1163,1163,1163,1162,1162,Upgrade
33,Retained Earnings,-2701,-2666,-2552,-2539,-2443,-2357,-2129,-2112,-2027,-1939,Upgrade
34,Comprehensive Income & Other,138.04,155.81,157.94,168.74,184.37,194.45,213.54,205.21,356.33,230.2,Upgrade
35,Total Common Equity,-442.8,-390.16,-273.85,-250.62,-225.63,-128.8,117.89,126.27,140.42,101.69,Upgrade
36,Minority Interest,-309.06,-300.54,-286.05,-269.61,-224.2,-206.48,-109.03,-104.42,-71.15,-63.26,Upgrade
37,Shareholders' Equity,-751.86,-690.7,-559.9,-520.23,-449.84,-335.28,8.86,21.85,69.26,38.43,Upgrade
