,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,452,225,83,153,116,92,109,80,56,62,63,Upgrade
1,Market Cap Growth,46.58%,46.58%,-27.88%,65.91%,5.77%,15.79%,95.00%,28.09%,-11.11%,-44.03%,-57.14%,Upgrade
2,Enterprise Value,351,159,18,81,17,-22,-27,-33,-157,-242,-310,Upgrade
3,Last Close Price,0.43,0.21,0.10,0.19,0.14,0.12,0.14,0.10,0.07,0.08,0.08,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,1.26,-2.98,-,-,Upgrade
5,PS Ratio,1346.15,1346.15,505.09,935.20,-,14.59,16.71,17.61,9.23,9.25,10.21,Upgrade
6,PB Ratio,4.16,2.07,1.16,1.78,1.19,0.54,0.51,0.25,0.20,0.25,0.21,Upgrade
7,P/TBV Ratio,2.22,2.22,1.29,1.94,1.28,0.56,0.53,0.26,0.21,0.26,0.22,Upgrade
8,P/FCF Ratio,-,-,-,12.35,4.71,7.66,-,-2.85,-,-,-,Upgrade
9,P/OCF Ratio,-,-,-,12.35,4.71,7.63,-,-2.86,-,-,-,Upgrade
10,EV/Sales Ratio,954.40,954.40,107.43,494.95,-,-,-,-,-,-,-,Upgrade
11,EV/FCF Ratio,-,-,-,6.54,0.67,-,-,-,-,-,-,Upgrade
12,Debt / Equity Ratio,0.09,0.09,0.14,0.12,0.11,0.14,0.16,0.13,0.15,0.06,0.05,Upgrade
13,Debt / FCF Ratio,-,-,-,0.87,0.43,2.03,-,-1.41,-,-,-,Upgrade
14,Earnings Yield,-7.31%,-14.69%,-30.35%,-55.28%,-101.28%,-154.00%,-58.61%,79.25%,-33.54%,-199.78%,-144.84%,Upgrade
15,FCF Yield,-21.05%,-21.05%,-2.33%,8.10%,21.22%,13.06%,1.11%,-35.08%,-55.77%,-42.50%,-55.47%,Upgrade
16,Buyback Yield / Dilution,1.45%,-6.58%,-,-10.32%,-,-,-,-,-,-,-,Upgrade
17,Total Shareholder Return,1.45%,-6.58%,-,-10.32%,-,-,-,-,-,-,-,Upgrade
