,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,6.62,6.62,-,-
1,Short-Term Investments,0.03,0.03,-,-
2,Cash & Short-Term Investments,6.65,6.65,-,68.66
3,Receivables,1035.0,1035.0,-,-
4,Inventory,0.68,0.68,-,-
5,Other Current Assets,30.63,30.63,-,-
6,Total Current Assets,1073.0,1073.0,-,-
7,"Property, Plant & Equipment",33.81,33.81,-,-
8,Long-Term Investments,7.42,7.42,-,-
9,Long-Term Accounts Receivable,27.14,27.14,-,-
10,Long-Term Deferred Tax Assets,26.91,26.91,-,-
11,Other Long-Term Assets,18.58,18.58,-,-
12,Total Assets,1187.0,1187.0,-,-
13,Accounts Payable,440.78,440.78,-,-
14,Accrued Expenses,88.19,88.19,-,-
15,Short-Term Debt,339.4,339.4,-,-
16,Current Portion of Leases,0.14,0.14,-,-
17,Current Income Taxes Payable,14.94,14.94,-,-
18,Current Unearned Revenue,2.63,2.63,-,-
19,Other Current Liabilities,24.29,24.29,-,-
20,Total Current Liabilities,910.38,910.38,-,-
21,Long-Term Leases,0.06,0.06,-,-
22,Long-Term Unearned Revenue,1.81,1.81,-,-
23,Total Liabilities,912.24,912.24,-,-
24,Common Stock,0.08,0.08,-,-
25,Additional Paid-In Capital,12.11,12.11,-,-
26,Comprehensive Income & Other,262.34,262.34,-,-
27,Total Common Equity,274.53,274.53,-,185.26
28,Shareholders' Equity,274.53,274.53,-,187.27
29,Total Liabilities & Equity,1187.0,1187.0,-,-
30,Total Debt,339.6,339.6,-,375.26
31,Net Cash (Debt),-332.95,-332.95,-,-306.6
32,Net Cash Per Share,-0.69,-0.69,-,-0.64
33,Filing Date Shares Outstanding,640.0,640.0,476,476
34,Total Common Shares Outstanding,640.0,640.0,476,476
35,Working Capital,162.54,162.54,-,-
36,Book Value Per Share,0.43,0.43,-,-
37,Tangible Book Value,274.53,274.53,-,185.26
38,Tangible Book Value Per Share,0.43,0.43,-,-
