,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020,Q3 2019,Q2 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+20 Quarters
0,Revenue,69234,70428,40070,22334,48583,25326,20713,2641,76054,32080,16933,35109,54052,54808,44763,33052,83212,108397,83077,95990,Upgrade
1,Revenue Growth (YoY),42.51%,178.09%,93.45%,745.54%,-36.12%,-21.05%,22.33%,-92.48%,40.71%,-41.47%,-62.17%,6.22%,-35.04%,-49.44%,-46.12%,-65.57%,58.65%,75.57%,10.28%,23.56%,Upgrade
2,Cost of Revenue,65459,66620,35584,19088,45596,23399,16430,1804,72567,30207,15639,29091,53129,54571,43042,33310,76983,99706,68566,83416,Upgrade
3,Gross Profit,3775,3808,4486,3246,2987,1927,4284,836.97,3487,1873,1294,6018,922.77,236.89,1721,-258.08,6229,8691,14511,12575,Upgrade
4,"Selling, General & Admin",3277,3376,3370,3375,3261,3494,4005,3116,3542,3753,4857,5744,4167,3305,3833,2954,5408,7535,12896,7815,Upgrade
5,Operating Expenses,3277,3376,3370,3375,3261,3494,4005,3116,3542,3753,4857,5744,4167,3305,3833,2954,5408,7535,12896,7815,Upgrade
6,Operating Income,498.58,431.78,1115,-128.67,-274.21,-1567,279.05,-2279,-54.97,-1880,-3563,273.97,-3244,-3068,-2112,-3212,821.33,1156,1615,4760,Upgrade
7,Interest Expense,-699.33,-778.66,-,-,-1342,-,-,-,-2006,-546.07,-851.92,-,-,-,-,-,-4564,-140.75,-,-,Upgrade
8,Interest & Investment Income,320.9,208.92,225.15,299.84,-,1229,666.72,2869,4698,504.33,1000,658.21,19968,10319,920.47,1340,618.25,1520,2913,2206,Upgrade
9,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-2033,-3008,-,-,-,-,-,-,Upgrade
10,Currency Exchange Gain (Loss),0.38,-,-,-,-60.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
11,Other Non Operating Income (Expenses),831.02,1789,1527,231.7,1604,561.57,-561.82,-508.17,-39.05,-108.08,3163,-964.73,9709,6389,-4619,1955,1609,-1933,-4039,-2386,Upgrade
12,EBT Excluding Unusual Items,951.56,1651,2867,402.87,-73.01,223.34,383.95,82.53,2598,-2029,-251.75,-32.55,24401,10632,-5811,82.87,-1516,602.27,488.84,4580,Upgrade
13,Gain (Loss) on Sale of Assets,-,-,-,-,1158,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Pretax Income,1619,1651,2867,402.87,1085,223.34,383.95,82.53,2598,-2029,-251.75,-32.55,24401,10632,-5811,82.87,-1516,602.27,488.84,4580,Upgrade
15,Income Tax Expense,290.66,495.28,800.48,319.44,643.34,181.49,244.66,55.38,-1216,-342.69,134.75,-63.39,2511,1197,103.59,-,-172.23,484.45,527.18,5190,Upgrade
16,Earnings From Continuing Operations,1328,1156,2067,83.43,441.5,41.85,139.3,27.15,3814,-1687,-386.51,30.84,21890,9434,-5915,82.87,-1343,117.82,-38.33,-609.99,Upgrade
17,Minority Interest in Earnings,-224.02,74.94,74.05,66.65,40.55,75.95,115.66,61.34,75.51,37.14,99.26,87.37,-735.88,-567.3,301.11,-,1462,299.41,-211.57,801.22,Upgrade
18,Net Income,1104,1230,2141,150.08,482.05,117.8,254.96,88.49,3890,-1650,-287.25,118.21,21154,8867,-5614,82.87,118.74,417.23,-249.9,191.23,Upgrade
19,Net Income to Common,1104,1230,2141,150.08,482.05,117.8,254.96,88.49,3890,-1650,-287.25,118.21,21154,8867,-5614,82.87,118.74,417.23,-249.9,191.23,Upgrade
20,Net Income Growth,129.07%,944.54%,739.76%,69.59%,-87.61%,-,-,-25.14%,-81.61%,-,-,42.64%,17715.51%,2025.16%,-,-56.66%,-71.07%,-56.39%,-,-93.27%,Upgrade
21,Shares Outstanding (Basic),25,25,25,25,25,25,25,25,25,-,17,17,-,-,17,17,17,17,-,-,Upgrade
22,Shares Outstanding (Diluted),25,25,25,25,25,25,25,25,25,-,17,17,-,-,17,17,17,17,-,-,Upgrade
23,Shares Change (YoY),-0.82%,-,0.14%,-1.73%,-,-,47.98%,47.98%,-,-,-,-,-,-,-,-,-,0.68%,-,-,Upgrade
24,EPS (Basic),43.74,48.34,84.00,6.00,18.94,4.63,10.02,3.48,152.82,-,-16.70,6.87,-,-,-326.37,4.82,6.90,24.26,-,-,Upgrade
25,EPS (Diluted),43.41,48.34,84.00,6.00,18.94,4.63,10.02,3.48,152.82,-,-16.70,6.87,-,-,-326.37,4.82,6.90,24.26,-,-,Upgrade
26,EPS Growth,129.20%,944.54%,738.57%,72.57%,-87.61%,-,-,-49.41%,-,-,-,42.64%,-,-,-,-,-,-56.68%,-,-,Upgrade
27,Free Cash Flow,-155085,-6551,-41972,-10177,-60070,14069,-6369,-9713,-,-33415,27747,-6195,-,22734,-117349,-5386,17007,16822,-,-1647,Upgrade
28,Free Cash Flow Per Share,-6143.22,-257.39,-1646.68,-406.88,-2360.08,552.76,-250.25,-381.63,-,-,1613.20,-360.18,-,-,-6822.59,-313.13,988.77,978.00,-,-,Upgrade
29,Gross Margin,5.45%,5.41%,11.19%,14.54%,6.15%,7.61%,20.68%,31.69%,4.58%,5.84%,7.64%,17.14%,1.71%,0.43%,3.85%,-0.78%,7.49%,8.02%,17.47%,13.10%,Upgrade
30,Operating Margin,0.72%,0.61%,2.78%,-0.58%,-0.56%,-6.19%,1.35%,-86.26%,-0.07%,-5.86%,-21.04%,0.78%,-6.00%,-5.60%,-4.72%,-9.72%,0.99%,1.07%,1.94%,4.96%,Upgrade
31,Profit Margin,1.59%,1.75%,5.34%,0.67%,0.99%,0.47%,1.23%,3.35%,5.11%,-5.14%,-1.70%,0.34%,39.14%,16.18%,-12.54%,0.25%,0.14%,0.38%,-0.30%,0.20%,Upgrade
32,Free Cash Flow Margin,-224.00%,-9.30%,-104.75%,-45.57%,-123.64%,55.55%,-30.75%,-367.73%,-,-104.16%,163.87%,-17.65%,-,41.48%,-262.16%,-16.29%,20.44%,15.52%,-,-1.72%,Upgrade
33,EBITDA,2092,-,-,-,1409,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
34,EBITDA Margin,3.02%,-,-,-,2.90%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
35,D&A For EBITDA,1593,-,-,-,1684,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
36,EBIT,498.58,431.78,1115,-128.67,-274.21,-1567,279.05,-2279,-54.97,-1880,-3563,273.97,-3244,-3068,-2112,-3212,821.33,1156,1615,4760,Upgrade
37,EBIT Margin,0.72%,0.61%,2.78%,-0.58%,-0.56%,-6.19%,1.35%,-86.26%,-0.07%,-5.86%,-21.04%,0.78%,-6.00%,-5.60%,-4.72%,-9.72%,0.99%,1.07%,1.94%,4.96%,Upgrade
38,Effective Tax Rate,17.95%,30.00%,27.92%,79.29%,59.30%,81.26%,63.72%,67.10%,-,-,-,-,10.29%,11.26%,-,-,-,80.44%,107.84%,113.32%,Upgrade
39,Revenue as Reported,69234,70428,40070,22334,48583,25326,20713,2641,76054,32080,16933,35109,54052,54808,44763,33052,83212,108397,83077,95990,Upgrade
