,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020,Q3 2019,Q2 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+20 Quarters
0,Cash & Equivalents,8438,3765,8940,48030,57153,14214,33295,19239,37692,-,37450,12885,15022,15022,27979,58913,28495,10910,21423,-,Upgrade
1,Short-Term Investments,13286,18738,18433,18433,18433,37413,9131,22787,27792,-,20905,30240,34315,34315,22461,47752,30053,32383,38506,-,Upgrade
2,Cash & Short-Term Investments,21723,22504,27373,66463,75585,51627,42426,42026,65483,-,58355,43125,49337,49337,50440,106665,58548,43293,59929,-,Upgrade
3,Cash Growth,-71.26%,-56.41%,-35.48%,58.15%,15.43%,-,-27.30%,-2.55%,32.73%,-,15.69%,-59.57%,-15.73%,13.96%,-15.83%,-,-39.37%,-55.17%,-,-,Upgrade
4,Accounts Receivable,24486,38542,17823,44585,59289,50821,73863,63904,111058,-,38147,37286,57778,57778,6602,47690,34990,41349,61356,-,Upgrade
5,Other Receivables,325033,185371,193356,150537,149599,219243,225084,214886,205259,-,182867,167785,145832,145832,131322,24889,60911,58455,66738,-,Upgrade
6,Receivables,349519,223913,211179,195121,208888,270064,298947,278791,316316,-,221014,205070,203610,203610,137923,72579,95900,99805,128094,-,Upgrade
7,Inventory,119693,122468,125447,105094,82994,59911,49505,45229,27799,-,33378,33037,50695,50695,82695,81567,82136,101806,87611,-,Upgrade
8,Prepaid Expenses,376.86,2421,459.75,2597,1600,1371,780.58,799.12,673.2,-,338.87,937.41,1309,1309,2156,2921,661.39,2663,3249,-,Upgrade
9,Other Current Assets,13091,14790,23004,17764,16393,19222,19877,16155,17559,-,16921,15111,15240,15240,23728,26612,55427,59949,61194,-,Upgrade
10,Total Current Assets,504403,386095,387463,387039,385461,402195,411536,383001,427831,-,330007,297280,320190,320190,296943,290343,292673,307515,340078,-,Upgrade
11,"Property, Plant & Equipment",29669,25318,26766,28140,29472,30380,28626,30192,31774,-,11176,12753,5641,5641,3703,4991,143560,142193,147271,-,Upgrade
12,Long-Term Investments,-,-,-,-,-,3492,-,-,-,-,7785,7785,19387,19387,61577,65561,19831,25531,25174,-,Upgrade
13,Goodwill,934.66,1090,1480,1402,1558,1869,1869,2181,2181,-,2492,2648,2804,2804,3116,3271,4050,4050,4206,-,Upgrade
14,Other Intangible Assets,96.62,99.47,102.32,106.91,115,123.08,131.17,22.69,27.93,-,38.4,43.64,48.87,48.87,59.35,64.58,80500,80523,80466,-,Upgrade
15,Long-Term Accounts Receivable,23398,16151,12012,11441,9045,15770,17494,23544,30450,-,30073,31267,29970,29970,27710,25237,25344,25659,22098,-,Upgrade
16,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,475.58,475.58,829.66,-,Upgrade
17,Other Long-Term Assets,1594,2757,2960,1610,1786,2174,2017,1145,1382,-,1876,2056,355.31,355.31,403.09,258.91,3717,3201,7715,-,Upgrade
18,Total Assets,560096,431512,430783,429738,427437,456003,461674,440085,493647,-,383448,353833,378396,378396,393510,389727,570151,589149,627837,-,Upgrade
19,Accounts Payable,41381,41789,37799,27450,29967,25522,28068,47945,38285,-,16308,17094,22359,22359,34360,33382,53817,50693,44179,-,Upgrade
20,Accrued Expenses,9696,21769,17841,18330,7954,17242,13505,12433,23155,-,6986,6920,22685,22685,14253,10058,39090,45786,29534,-,Upgrade
21,Short-Term Debt,40651,25501,23588,14798,9447,2898,15052,16112,29668,-,50164,52326,30097,30097,28621,11624,17690,22011,38676,-,Upgrade
22,Current Portion of Long-Term Debt,2814,-,-,-,3946,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
23,Current Income Taxes Payable,2911,5547,5143,2307,3468,2834,1828,2963,3655,-,2806,3067,5260,5260,964.91,1985,3701,7986,4709,-,Upgrade
24,Current Unearned Revenue,-,-,29.67,29.4,29.35,29.35,29.35,147.69,147.38,-,405.38,405.38,405.38,405.38,692.64,692.64,5886,5886,4485,-,Upgrade
25,Other Current Liabilities,37590,42379,52021,69159,76965,26031,33670,20253,75752,-,60684,25470,54013,54013,67524,80970,121584,127601,164146,-,Upgrade
26,Total Current Liabilities,135044,136985,136422,132074,131775,74556,92152,99853,170662,-,137354,105283,134819,134819,146415,138712,241768,259963,285728,-,Upgrade
27,Long-Term Debt,136119,6502,7072,7222,7474,10891,10891,3077,3536,-,2569,2569,-,-,-,-,82044,82044,90667,-,Upgrade
28,Long-Term Deferred Tax Liabilities,1595,1595,1595,1595,1595,1595,1595,1595,-,-,1484,1484,1804,1804,2743,2660,1756,1756,1768,-,Upgrade
29,Other Long-Term Liabilities,6934,7355,7772,11640,11144,10640,11204,10366,10865,-,12414,14483,15336,15336,13965,13553,12717,12187,11726,-,Upgrade
30,Total Liabilities,279692,152437,152861,152531,151988,97682,115841,114892,185063,-,153821,123819,151959,151959,163123,154925,338286,355951,389889,-,Upgrade
31,Common Stock,254525,254525,254525,254525,254525,254525,254525,254525,254525,-,172000,172000,172000,172000,172000,172000,172000,172000,172000,-,Upgrade
32,Retained Earnings,6367,5263,4034,3245,1421,2224,1928,1709,3268,-,4684,4971,1307,1307,6392,12006,10764,10635,14809,-,Upgrade
33,Comprehensive Income & Other,-441.95,-441.95,-441.95,-441.95,-441.95,-441.95,-441.95,-441.95,-441.95,-,-211.95,-211.95,-211.95,-211.95,-211.95,-211.95,-211.95,-211.95,-211.95,-,Upgrade
34,Total Common Equity,260450,259346,258117,257328,255504,256307,256011,255792,257351,-,176472,176760,173095,173095,178180,183794,182552,182423,186597,-,Upgrade
35,Minority Interest,19953,19729,19805,19879,19945,102014,89821,69402,51233,-,53155,53254,53341,53341,52207,51008,49313,50775,51350,-,Upgrade
36,Shareholders' Equity,280403,279075,277921,277207,275449,358321,345833,325193,308584,-,229627,230014,226437,226437,230387,234802,231865,233199,237947,-,Upgrade
37,Total Liabilities & Equity,560096,431512,430783,429738,427437,456003,461674,440085,493647,-,383448,353833,378396,378396,393510,389727,570151,589149,627837,-,Upgrade
