,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,365.99,297.62,230.13,181.35,152.74,106.43,71.48,25.52,2.11
1,Revenue Growth (YoY),59.04%,64.12%,50.67%,70.39%,113.67%,316.99%,3291.08%,-,-
2,Cost of Revenue,105.08,83.28,59.49,44.16,37.27,26.67,19.36,9.82,1.53
3,Gross Profit,260.91,214.34,170.65,137.19,115.48,79.76,52.12,15.71,0.58
4,"Selling, General & Admin",123.57,152.62,125.3,146.86,102.62,115.96,79.91,39.41,12.04
5,Research & Development,101.54,130.21,130.81,139.42,94.04,119.12,48.98,44.61,27.46
6,Other Operating Expenses,-8.47,-3.47,-3.33,-3.19,-3.59,-13.49,-0.46,-6.32,-3.57
7,Operating Expenses,216.64,279.37,252.78,283.12,193.06,221.61,128.43,77.7,35.92
8,Operating Income,44.27,-65.03,-82.13,-145.92,-77.59,-141.86,-76.31,-62,-35.35
9,Interest Expense,-1.22,-0.91,-0.35,-0.29,-0.43,-0.21,-0.09,-0.22,-0.44
10,Interest & Investment Income,34.58,39.78,39.26,59.26,36.3,10.8,2.29,0.28,0.08
11,Earnings From Equity Investments,-1.1,-,-,-,-,-,-,-,-
12,Currency Exchange Gain (Loss),0.11,-5.87,5.61,5.2,14.43,-6.71,-1.56,-4.49,0.01
13,EBT Excluding Unusual Items,76.64,-32.02,-37.61,-81.76,-27.29,-137.98,-75.68,-66.42,-35.7
14,Gain (Loss) on Sale of Investments,-7.73,-10.9,2.39,3,1.81,7.98,5.97,0.72,0.9
15,Gain (Loss) on Sale of Assets,-0.05,-0.59,-0,-9.29,-0.03,0.03,-0.01,0.03,-
16,Pretax Income,68.87,-43.51,-35.22,-88.05,-25.5,-129.97,-69.72,-65.67,-34.8
17,Income Tax Expense,-,-0.29,0.29,-,-,-,-,-,-
18,Net Income,68.87,-43.22,-35.51,-88.05,-25.5,-129.97,-69.72,-65.67,-34.8
19,Net Income to Common,68.87,-43.22,-35.51,-88.05,-25.5,-129.97,-69.72,-65.67,-34.8
20,Shares Outstanding (Basic),324,328,330,330,331,330,259,207,183
21,Shares Outstanding (Diluted),328,328,330,330,331,330,259,207,183
22,Shares Change (YoY),-0.62%,-0.62%,-0.40%,-0.06%,27.69%,59.49%,41.93%,-,-
23,EPS (Basic),0.21,-0.13,-0.11,-0.27,-0.08,-0.39,-0.27,-0.32,-0.19
24,EPS (Diluted),0.21,-0.13,-0.11,-0.27,-0.08,-0.39,-0.27,-0.32,-0.19
25,Free Cash Flow,-17.87,40.54,-133.02,-106.87,-119.19,-116.68,-77.63,-87.94,-39.53
26,Free Cash Flow Per Share,-0.05,0.12,-0.40,-0.32,-0.36,-0.35,-0.30,-0.43,-0.22
27,Operating Margin,12.10%,-21.85%,-35.69%,-80.47%,-50.80%,-133.29%,-106.75%,-242.90%,-1676.71%
28,Profit Margin,18.82%,-14.52%,-15.43%,-48.55%,-16.70%,-122.12%,-97.53%,-257.29%,-1650.85%
29,Free Cash Flow Margin,-4.88%,13.62%,-57.80%,-58.93%,-78.03%,-109.64%,-108.60%,-344.56%,-1875.38%
30,EBITDA,59.88,-48.89,-69.16,-134.51,-68.97,-136.37,-72.12,-59.02,-31.7
31,D&A For EBITDA,15.61,16.14,12.97,11.42,8.62,5.49,4.19,2.97,3.65
32,EBIT,44.27,-65.03,-82.13,-145.92,-77.59,-141.86,-76.31,-62,-35.35
