,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,4531,3239,4075,4134,4268,4800,8476,-,-,-
1,Market Cap Growth,-21.65%,-21.65%,-4.52%,-13.87%,-49.65%,-,-,-,-,-
2,Enterprise Value,3361,1636,2287,2047,1002,1216,7606,-,-,-
3,Last Close Price,14.16,10.00,12.44,12.54,12.84,14.44,25.50,-,-,-
4,PE Ratio,168.41,117.56,-,-,-,-,-,-,-,-
5,Forward PE,33.81,30.68,62.73,-,-,-,-,-,-,-
6,PS Ratio,6.47,4.54,7.01,9.30,11.30,15.81,38.81,-,-,-
7,PB Ratio,1.38,0.97,1.21,1.24,1.22,1.31,2.20,-,-,-
8,P/TBV Ratio,0.98,0.98,1.22,1.24,1.22,1.31,2.20,-,-,-
9,P/FCF Ratio,185.99,-,-40.00,-,-,-,-,-,-,-
10,P/OCF Ratio,13.64,13.64,37.57,-,-,-,-,-,-,-
11,EV/Sales Ratio,4.71,2.30,3.93,4.60,2.65,4.01,34.83,-,-,-
12,EV/EBITDA Ratio,198.74,138.48,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-73.38,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,137.96,-,-22.45,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.03,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.08,-
16,Debt / FCF Ratio,3.58,-,-0.60,-,-,-,-,-,-,-
17,Return on Capital Employed (ROCE),-,-0.66%,-,-,-,-,-,-,-,-
18,Earnings Yield,0.61%,0.85%,-2.13%,-3.23%,-3.01%,-3.79%,-2.89%,-,-,-
19,FCF Yield,0.54%,0.75%,-2.50%,-6.27%,-5.99%,-5.76%,-2.81%,-,-,-
20,Buyback Yield / Dilution,0.62%,0.62%,0.62%,0.40%,0.06%,-27.69%,-59.49%,-41.93%,-,-
21,Total Shareholder Return,0.62%,0.62%,0.62%,0.40%,0.06%,-27.69%,-59.49%,-41.93%,-,-
