,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,532.61,1087,1307,1205,1057,1418,41.11,59.56,-
1,Short-Term Investments,498.86,355.55,277.98,545.14,1600,1500,3.48,100,-
2,Trading Asset Securities,138.55,68.74,89.53,110.23,142.78,10.52,681.73,157.7,-
3,Cash & Short-Term Investments,1170,1511,1674,1861,2800,2929,726.33,317.26,-
4,Cash Growth,-30.12%,-18.80%,-40.20%,-36.47%,285.48%,823.19%,-,-,-
5,Accounts Receivable,1.84,1.18,0.96,1.01,0.28,0.45,0.29,0.13,-
6,Other Receivables,14.33,12.76,11.2,11.42,5.89,5.07,3,6.7,-
7,Receivables,16.16,13.94,12.16,12.43,6.17,5.52,3.29,6.82,-
8,Inventory,188.26,183.68,188.28,163.05,130.23,80.91,54.25,39.69,-
9,Restricted Cash,-,-,0.82,0.65,-,-,-,-,-
10,Other Current Assets,5.32,8.7,16.16,25.8,21.33,8.91,29.85,6.38,-
11,Total Current Assets,1380,1717,1892,2063,2958,3024,813.72,370.14,-
12,"Property, Plant & Equipment",655,578.36,470.68,338.38,247.55,212.39,148.29,122.17,-
13,Long-Term Investments,1414,1066,919.44,832.44,-,-,-,-,-
14,Other Intangible Assets,34.72,9.69,10.33,9.64,4.04,4.89,6.22,7.56,-
15,Other Long-Term Assets,2.99,4.28,4.84,10.65,26,6.8,7.14,4.1,-
16,Total Assets,3486,3376,3297,3254,3235,3248,975.38,503.97,-
17,Accounts Payable,65.25,42.44,21.02,18.26,10.76,21.58,6.61,5.44,-
18,Accrued Expenses,59.17,70.74,60.64,70.16,48.57,39.86,16.74,19.26,-
19,Current Portion of Long-Term Debt,75,50,9,-,-,-,-,3.75,-
20,Current Portion of Leases,3.88,4.02,5.56,6.54,4.74,2.9,2.63,2.83,-
21,Current Income Taxes Payable,-,-,0.29,-,-,-,-,-,-
22,Current Unearned Revenue,26.38,19.92,16.71,9.6,1.35,3.42,1.81,0.13,-
23,Other Current Liabilities,128.93,130.66,82.44,47.53,32.63,29.35,56.56,20.22,-
24,Total Current Liabilities,358.61,317.78,195.66,152.08,98.05,97.1,84.34,51.63,-
25,Long-Term Debt,-,-,-,-,-,-,-,26.25,-
26,Long-Term Leases,2.37,1.86,4.96,7.46,6.54,6.51,0.03,1.4,-
27,Long-Term Unearned Revenue,15.89,8.67,7.97,-,-,-,-,-,-
28,Total Liabilities,376.86,328.32,208.59,159.54,104.59,103.61,84.37,79.28,-
29,Common Stock,332.4,332.4,332.4,332.4,332.4,332.4,263.4,225.06,-
30,Additional Paid-In Capital,2261,2270,2270,2270,2270,2270,-,-,-
31,Retained Earnings,-413.04,-481.91,-438.69,-403.17,-315.12,-289.62,-159.65,-361.52,-
32,Treasury Stock,-74.6,-87.59,-33.92,-33.79,-31.87,-9.15,-,-,-
33,Comprehensive Income & Other,1003,1014,958.68,928.69,875.15,841.01,787.25,561.15,-
34,Shareholders' Equity,3110,3047,3089,3094,3131,3145,891.01,424.69,-
35,Total Liabilities & Equity,3486,3376,3297,3254,3235,3248,975.38,503.97,-
36,Total Debt,81.24,55.88,19.52,14,11.28,9.41,2.66,34.22,-
37,Net Cash (Debt),1089,1455,1655,1847,2789,2919,723.67,283.04,-
38,Net Cash Growth,-34.21%,-21.21%,-40.66%,-36.75%,285.34%,931.49%,-,-,-
39,Net Cash Per Share,3.32,4.44,5.02,5.60,8.42,8.85,2.79,1.37,-
40,Filing Date Shares Outstanding,324.6,324.05,329.68,329.69,332.4,331.92,263.4,225.06,182.64
41,Total Common Shares Outstanding,324.6,324.05,329.68,329.69,332.4,331.92,263.4,225.06,182.64
42,Working Capital,1021,1399,1696,1911,2860,2927,729.38,318.51,-
43,Book Value Per Share,9.58,9.40,9.37,9.39,9.42,9.47,3.38,1.89,-
44,Tangible Book Value,3075,3038,3078,3085,3127,3140,884.78,417.14,-
45,Tangible Book Value Per Share,9.47,9.37,9.34,9.36,9.41,9.46,3.36,1.85,-
46,Buildings,160.16,160.12,157.13,156.14,139.25,139.25,36.73,-,-
47,Machinery,92.67,89.41,85.16,75.65,56.59,43.25,32.71,23.25,-
48,Construction In Progress,411.05,322.96,215.07,77.99,28.65,5.85,75.43,91.4,-
49,Leasehold Improvements,32.39,32.24,21.92,21.7,18.75,13.97,13.58,13.41,-
