,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,1198,1198,1330,1330
1,Cost of Revenue,817.89,817.89,863.44,863.44
2,Gross Profit,380.03,380.03,466.91,466.91
3,"Selling, General & Admin",161.8,161.8,115.21,115.21
4,Research & Development,7.26,7.26,2.86,2.86
5,Other Operating Expenses,-1.17,-1.17,0.13,0.13
6,Operating Expenses,167.89,167.89,118.19,118.19
7,Operating Income,212.14,212.14,348.71,348.71
8,Interest Expense,-1.33,-1.33,-1,-1
9,Interest & Investment Income,10.81,10.81,0.32,0.32
10,Earnings From Equity Investments,-3.47,-3.47,-,-
11,Currency Exchange Gain (Loss),5.7,5.7,-0.04,-0.04
12,Other Non Operating Income (Expenses),-76.21,-76.21,-1.31,-1.31
13,EBT Excluding Unusual Items,147.65,147.65,346.69,346.69
14,Gain (Loss) on Sale of Investments,7.22,7.22,6,6
15,Gain (Loss) on Sale of Assets,-0.19,-0.19,-,-
16,Pretax Income,154.69,154.69,352.69,352.69
17,Income Tax Expense,35.38,35.38,55.01,55.01
18,Earnings From Continuing Operations,119.31,119.31,297.68,297.68
19,Minority Interest in Earnings,-0.79,-0.79,-3.61,-3.61
20,Net Income,118.52,118.52,294.08,294.08
21,Net Income to Common,118.52,118.52,294.08,294.08
22,Shares Outstanding (Basic),1334,1334,1070,1070
23,Shares Outstanding (Diluted),1337,1337,1072,1072
24,EPS (Basic),0.09,0.09,0.27,0.27
25,EPS (Diluted),0.09,0.09,0.27,0.27
26,Free Cash Flow,-4.59,-4.59,350.74,350.74
27,Free Cash Flow Per Share,-0.00,-0.00,0.33,0.33
28,Gross Margin,31.72%,31.72%,35.10%,35.10%
29,Operating Margin,17.71%,17.71%,26.21%,26.21%
30,Profit Margin,9.89%,9.89%,22.11%,22.11%
31,Free Cash Flow Margin,-0.38%,-0.38%,26.36%,26.36%
32,EBITDA,217.46,217.46,351.91,351.91
33,EBITDA Margin,18.15%,18.15%,26.45%,26.45%
34,D&A For EBITDA,5.32,5.32,3.2,3.2
35,EBIT,212.14,212.14,348.71,348.71
36,EBIT Margin,17.71%,17.71%,26.21%,26.21%
37,Effective Tax Rate,22.87%,22.87%,15.60%,15.60%
